solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
race4-shipped	06.ltl				true	TIMEOUT	17
race4-shipped	07.ltl				true	TIMEOUT	17
race4-shipped	08.ltl				true	TIMEOUT	17
race4-shipped	Alarm_2d1010f8.ltl	17	REALIZABLE	0.0241567479679361	false	REALIZABLE	17
race4-shipped	Alarm_a5f99bc6.ltl				true	TIMEOUT	17
race4-shipped	Automata16S.ltl				true	TIMEOUT	17
race4-shipped	Automata32S.ltl				true	TIMEOUT	17
race4-shipped	CheckAlarm_6bea956e.ltl	17	UNREALIZABLE	0.025037114042788744	false	UNREALIZABLE	17
race4-shipped	CheckCoffeMachineBroken1_a5f99bc6.ltl	17	REALIZABLE	0.03365814097924158	false	REALIZABLE	17
race4-shipped	CheckCoffeMachine_3461125b.ltl	17	UNREALIZABLE	0.04667644499568269	false	UNREALIZABLE	17
race4-shipped	CheckShades_1a2942e3.ltl	17	UNREALIZABLE	0.03562858002260327	false	UNREALIZABLE	17
race4-shipped	CheckTimer_54e1f7d2.ltl	17	UNREALIZABLE	0.03716084099141881	false	UNREALIZABLE	17
race4-shipped	Core_fa4d4ce3.ltl	17	UNREALIZABLE	0.051064589992165565	false	UNREALIZABLE	17
race4-shipped	Demo1_06e9cad4.ltl				true	TIMEOUT	17
race4-shipped	Demo1_2c5b09da.ltl				true	TIMEOUT	17
race4-shipped	Demo1_63831f8c.ltl				true	TIMEOUT	17
race4-shipped	Demo1_c2b9e44d.ltl				true	TIMEOUT	17
race4-shipped	Demo1_d65ed84e.ltl				true	TIMEOUT	17
race4-shipped	EscalatorSmart.ltl	17	REALIZABLE	0.03841268795076758	false	REALIZABLE	17
race4-shipped	F-G-contradiction-110.ltl				true	TIMEOUT	17
race4-shipped	F-G-contradiction-111.ltl				true	TIMEOUT	17
race4-shipped	F-G-contradiction-112.ltl				true	TIMEOUT	17
race4-shipped	F-G-contradiction-113.ltl				true	TIMEOUT	17
race4-shipped	F-G-contradiction-114.ltl				true	TIMEOUT	17
race4-shipped	F-G-contradiction-15.ltl	17	UNREALIZABLE	0.35055172198917717	false	UNREALIZABLE	17
race4-shipped	FelixSpecFixed2.2.core_fa8592c8.ltl	17	UNREALIZABLE	0.018855898000765592	false	UNREALIZABLE	17
race4-shipped	FelixSpecFixed2_fa4d4ce3.ltl				true	TIMEOUT	17
race4-shipped	FelixSpecFixed3.core_b209ff21.ltl	17	UNREALIZABLE	0.06657713203458115	false	UNREALIZABLE	17
race4-shipped	FelixSpecFixed3_b0840146.ltl				true	TIMEOUT	17
race4-shipped	FelixSpecFixed4_3916ec59.ltl				true	TIMEOUT	17
race4-shipped	FelixSpecFixed5_f82794da.ltl				true	TIMEOUT	17
race4-shipped	FelixSpecFixed_2418b67e.ltl				true	TIMEOUT	17
race4-shipped	Full_f1477cc5.ltl				true	TIMEOUT	17
race4-shipped	GF-G-contradiction2.ltl	17	UNREALIZABLE	0.2706178019871004	false	UNREALIZABLE	17
race4-shipped	GF-G-contradiction6.ltl	17	UNREALIZABLE	16.116530290979426	false	UNREALIZABLE	17
race4-shipped	GF-G-contradiction7.ltl				true	TIMEOUT	17
race4-shipped	IntendDemo_42dc4fff.ltl	17	UNREALIZABLE	0.05365624895785004	false	UNREALIZABLE	17
race4-shipped	KitchenTimerV9.ltl	17	REALIZABLE	0.12824793899198994	false	REALIZABLE	17
race4-shipped	LedMatrix.ltl				true	TIMEOUT	17
race4-shipped	Light_a50cadd7.ltl	17	UNREALIZABLE	0.032967878971248865	false	UNREALIZABLE	17
race4-shipped	Lights2_b02056d6.ltl	17	REALIZABLE	0.1923228470259346	false	REALIZABLE	17
race4-shipped	LightsTotal_2c5b09da.ltl	17	UNREALIZABLE	0.051853235985618085	false	UNREALIZABLE	17
race4-shipped	Morning2_06e9cad4.ltl				true	TIMEOUT	17
race4-shipped	Morning2_2c5b09da.ltl				true	TIMEOUT	17
race4-shipped	Morning2_407db2cc.ltl				true	TIMEOUT	17
race4-shipped	Morning2_63831f8c.ltl				true	TIMEOUT	17
race4-shipped	Morning2_68c86764.ltl				true	TIMEOUT	17
race4-shipped	Morning2_d65ed84e.ltl				true	TIMEOUT	17
race4-shipped	Morning2s_06cf2373.ltl				true	TIMEOUT	17
race4-shipped	Morning2s_06e9cad4.ltl				true	TIMEOUT	17
race4-shipped	Morning2s_2c5b09da.ltl				true	TIMEOUT	17
race4-shipped	Morning2s_42dc4fff.ltl				true	TIMEOUT	17
race4-shipped	Morning2s_9cbf2546.ltl				true	TIMEOUT	17
race4-shipped	Morning2s_d6c5ac79.ltl				true	TIMEOUT	17
race4-shipped	MorningMin_d6c5ac79.ltl	17	REALIZABLE	0.03117827099049464	false	REALIZABLE	17
race4-shipped	Morning_88c5c1c3.ltl				true	TIMEOUT	17
race4-shipped	Morning_9cac58d3.ltl				true	TIMEOUT	17
race4-shipped	OneCounter.ltl	17	REALIZABLE	3.027631260047201	false	REALIZABLE	17
race4-shipped	OneCounterGuiA5.ltl	17	UNREALIZABLE	0.10176244901958853	false	UNREALIZABLE	17
race4-shipped	OneCounterInRangeA2.ltl	17	UNREALIZABLE	0.026900805009063333	false	UNREALIZABLE	17
race4-shipped	SPIPureNext.ltl				true	TIMEOUT	17
race4-shipped	SPIReadSdi.ltl	17	REALIZABLE	0.03178501198999584	false	REALIZABLE	17
race4-shipped	Sensor.ltl	17	REALIZABLE	0.15056839998578653	false	REALIZABLE	17
race4-shipped	SingleContoller_d65ed84e.ltl	17	UNREALIZABLE	0.03151739697204903	false	UNREALIZABLE	17
race4-shipped	TwoCounters3.ltl	17	REALIZABLE	1.5486876409850083	false	REALIZABLE	17
race4-shipped	TwoCountersDisButA5.ltl	17	UNREALIZABLE	0.1263584730331786	false	UNREALIZABLE	17
race4-shipped	TwoCountersDisButA9.ltl	17	UNREALIZABLE	0.19005596899660304	false	UNREALIZABLE	17
