instance	build	run	seconds	result
load_balancer_unreal1_pb_5_5_pe_	nosum	1	15.364	UNREALIZABLE
load_balancer_unreal1_pb_5_5_pe_	sum	1	15.712	UNREALIZABLE
load_balancer_unreal1_pb_5_5_pe_	nosum	2	15.711	UNREALIZABLE
load_balancer_unreal1_pb_5_5_pe_	sum	2	15.438	UNREALIZABLE
load_balancer_unreal1_pb_5_5_pe_	nosum	3	15.699	UNREALIZABLE
load_balancer_unreal1_pb_5_5_pe_	sum	3	15.217	UNREALIZABLE
load_balancer_unreal1_pb_5_5_pe_	nosum	4	16.233	UNREALIZABLE
load_balancer_unreal1_pb_5_5_pe_	sum	4	15.700	UNREALIZABLE
load_balancer_unreal1_pb_5_5_pe_	nosum	5	14.884	UNREALIZABLE
load_balancer_unreal1_pb_5_5_pe_	sum	5	14.618	UNREALIZABLE
full_arbiter_unreal1_pb_3_7_pe_	nosum	1	10.111	UNREALIZABLE
full_arbiter_unreal1_pb_3_7_pe_	sum	1	11.240	UNREALIZABLE
full_arbiter_unreal1_pb_3_7_pe_	nosum	2	10.619	UNREALIZABLE
full_arbiter_unreal1_pb_3_7_pe_	sum	2	10.714	UNREALIZABLE
full_arbiter_unreal1_pb_3_7_pe_	nosum	3	11.249	UNREALIZABLE
full_arbiter_unreal1_pb_3_7_pe_	sum	3	10.039	UNREALIZABLE
full_arbiter_unreal1_pb_3_7_pe_	nosum	4	9.715	UNREALIZABLE
full_arbiter_unreal1_pb_3_7_pe_	sum	4	9.901	UNREALIZABLE
full_arbiter_unreal1_pb_3_7_pe_	nosum	5	10.972	UNREALIZABLE
full_arbiter_unreal1_pb_3_7_pe_	sum	5	9.425	UNREALIZABLE
patrolling21	nosum	1	6.963	UNREALIZABLE
patrolling21	sum	1	7.685	UNREALIZABLE
patrolling21	nosum	2	7.161	UNREALIZABLE
patrolling21	sum	2	7.635	UNREALIZABLE
patrolling21	nosum	3	7.541	UNREALIZABLE
patrolling21	sum	3	7.381	UNREALIZABLE
patrolling21	nosum	4	7.019	UNREALIZABLE
patrolling21	sum	4	7.501	UNREALIZABLE
patrolling21	nosum	5	7.641	UNREALIZABLE
patrolling21	sum	5	7.677	UNREALIZABLE
robot-cat-real-1d-real	nosum	1	5.735	REALIZABLE
robot-cat-real-1d-real	sum	1	5.387	REALIZABLE
robot-cat-real-1d-real	nosum	2	5.761	REALIZABLE
robot-cat-real-1d-real	sum	2	5.808	REALIZABLE
robot-cat-real-1d-real	nosum	3	5.684	REALIZABLE
robot-cat-real-1d-real	sum	3	5.724	REALIZABLE
robot-cat-real-1d-real	nosum	4	5.614	REALIZABLE
robot-cat-real-1d-real	sum	4	5.362	REALIZABLE
robot-cat-real-1d-real	nosum	5	5.267	REALIZABLE
robot-cat-real-1d-real	sum	5	5.114	REALIZABLE
infinite-race-unequal-23	nosum	1	4.332	UNREALIZABLE
infinite-race-unequal-23	sum	1	4.323	UNREALIZABLE
infinite-race-unequal-23	nosum	2	4.146	UNREALIZABLE
infinite-race-unequal-23	sum	2	4.400	UNREALIZABLE
infinite-race-unequal-23	nosum	3	4.356	UNREALIZABLE
infinite-race-unequal-23	sum	3	4.402	UNREALIZABLE
infinite-race-unequal-23	nosum	4	4.012	UNREALIZABLE
infinite-race-unequal-23	sum	4	4.331	UNREALIZABLE
infinite-race-unequal-23	nosum	5	4.350	UNREALIZABLE
infinite-race-unequal-23	sum	5	4.300	UNREALIZABLE
patrolling-alarm16	nosum	1	3.289	UNREALIZABLE
patrolling-alarm16	sum	1	3.018	UNREALIZABLE
patrolling-alarm16	nosum	2	2.960	UNREALIZABLE
patrolling-alarm16	sum	2	2.973	UNREALIZABLE
patrolling-alarm16	nosum	3	3.266	UNREALIZABLE
patrolling-alarm16	sum	3	3.021	UNREALIZABLE
patrolling-alarm16	nosum	4	2.916	UNREALIZABLE
patrolling-alarm16	sum	4	3.028	UNREALIZABLE
patrolling-alarm16	nosum	5	2.955	UNREALIZABLE
patrolling-alarm16	sum	5	3.024	UNREALIZABLE
full_arbiter_unreal1_pb_2_15_pe_	nosum	1	1.993	UNREALIZABLE
full_arbiter_unreal1_pb_2_15_pe_	sum	1	1.943	UNREALIZABLE
full_arbiter_unreal1_pb_2_15_pe_	nosum	2	2.160	UNREALIZABLE
full_arbiter_unreal1_pb_2_15_pe_	sum	2	1.981	UNREALIZABLE
full_arbiter_unreal1_pb_2_15_pe_	nosum	3	2.042	UNREALIZABLE
full_arbiter_unreal1_pb_2_15_pe_	sum	3	2.006	UNREALIZABLE
full_arbiter_unreal1_pb_2_15_pe_	nosum	4	2.159	UNREALIZABLE
full_arbiter_unreal1_pb_2_15_pe_	sum	4	2.235	UNREALIZABLE
full_arbiter_unreal1_pb_2_15_pe_	nosum	5	2.191	UNREALIZABLE
full_arbiter_unreal1_pb_2_15_pe_	sum	5	2.155	UNREALIZABLE
LightsTotal_9cbf2546	nosum	1	1.386	REALIZABLE
LightsTotal_9cbf2546	sum	1	1.425	REALIZABLE
LightsTotal_9cbf2546	nosum	2	1.460	REALIZABLE
LightsTotal_9cbf2546	sum	2	1.279	REALIZABLE
LightsTotal_9cbf2546	nosum	3	1.340	REALIZABLE
LightsTotal_9cbf2546	sum	3	1.470	REALIZABLE
LightsTotal_9cbf2546	nosum	4	1.411	REALIZABLE
LightsTotal_9cbf2546	sum	4	1.344	REALIZABLE
LightsTotal_9cbf2546	nosum	5	1.394	REALIZABLE
LightsTotal_9cbf2546	sum	5	1.349	REALIZABLE
