suite	instance	worker	mode	route	aut_states	input_classes	raw_output_paths	unique_residual_roots	minimal_residual_roots	max_output_paths	max_residual_roots	decoded_transition_sets	unique_action_vecs	relation_bdd_nodes	dominance_tests	dominance_declines	census_ms	dominance_ms	decode_ms	max_f	actions_seen	result
syntcomp24	LedMatrix.ltl	unreal-automaton	census	ltl	775	4	28	16	8	4	4	0	0	80	32	0	0	0	0	0	0	unknown
syntcomp24	OneCounter.ltl	real	census	ltl	67	385	40448	7711	7711	79	28	0	0	16639	156782	0	45	0	0	0	0	unknown
syntcomp24	OneCounter.ltl	unreal-formula	census	ltl	27	28	26560	9497	1013	512	392	0	0	29708	278455	0	35	20	0	0	0	unknown
syntcomp24	OneCounter.ltl	unreal-automaton	census	ltl	28	28	23240	3275	1013	448	131	0	0	11157	97119	0	13	2	0	0	0	unknown
syntcomp24	OneCounterGuiA6.ltl	real	census	ltl	55	49	5056	942	942	79	28	0	0	7714	18876	0	6	0	0	0	0	unknown
syntcomp24	OneCounterGuiA6.ltl	unreal-formula	census	ltl	24	28	3320	1287	611	64	56	0	0	4774	22265	0	2	0	0	0	0	unknown
syntcomp24	OneCounterGuiA6.ltl	unreal-automaton	census	ltl	25	28	3320	1161	632	64	50	0	0	4028	22392	0	2	0	0	0	0	unknown
syntcomp24	OneCounterGuiA7.ltl	real	census	ltl	55	97	10112	1869	1869	79	28	0	0	9156	37056	0	13	0	0	0	0	unknown
syntcomp24	OneCounterGuiA7.ltl	unreal-formula	census	ltl	25	28	6640	2465	686	128	104	0	0	8325	48646	0	5	0	0	0	0	unknown
syntcomp24	OneCounterGuiA7.ltl	unreal-automaton	census	ltl	26	28	5810	1469	728	112	62	0	0	4914	31358	0	3	0	0	0	0	unknown
syntcomp24	OneCounterGuiA8.ltl	real	census	ltl	67	193	20224	3837	3837	79	28	0	0	14161	77636	0	35	0	0	0	0	unknown
syntcomp24	OneCounterGuiA8.ltl	unreal-formula	census	ltl	26	28	13280	4821	890	256	200	0	0	15236	123043	0	12	0	0	0	0	unknown
syntcomp24	OneCounterGuiA8.ltl	unreal-automaton	census	ltl	27	28	11620	2577	911	224	104	0	0	8628	70475	0	6	0	0	0	0	unknown
syntcomp24	OneCounterGuiA9.ltl	real	census	ltl	67	385	40448	7711	7711	79	28	0	0	16639	156782	0	46	0	0	0	0	unknown
syntcomp24	OneCounterGuiA9.ltl	unreal-formula	census	ltl	27	28	26560	9497	1013	512	392	0	0	29708	278455	0	34	18	0	0	0	unknown
syntcomp24	OneCounterGuiA9.ltl	unreal-automaton	census	ltl	28	28	23240	3275	1013	448	131	0	0	11157	97119	0	15	5	0	0	0	unknown
syntcomp24	SPI.ltl	real	census	ltl	12	10	27514	2450	353	2706	272	0	0	3533	99992	0	4	0	0	0	0	unknown
syntcomp24	SPI.ltl	unreal-automaton	census	ltl	33	26	11401	260	260	13	10	0	0	1745	2340	0	0	0	0	0	0	unknown
syntcomp24	TwoCountersDisButA8.ltl	real	census	ltl	35	196	106232	3953	3953	271	41	0	0	11047	92334	0	15	0	0	0	0	unknown
syntcomp24	TwoCountersDisButA8.ltl	unreal-formula	census	ltl	43	91	68404	18408	3445	496	219	0	0	32058	567324	0	65	8	0	0	0	unknown
syntcomp24	TwoCountersDisButA8.ltl	unreal-automaton	census	ltl	38	91	51571	6872	1124	496	86	0	0	15542	89844	0	10	0	0	0	0	unknown
syntcomp24	TwoCountersDisButAC.ltl	real	census	ltl	35	406	216800	7751	7751	271	41	0	0	17203	170842	0	25	0	0	0	0	unknown
syntcomp24	TwoCountersDisButAC.ltl	unreal-automaton	census	ltl	55	91	98819	9800	1262	1020	118	0	0	38171	373928	0	58	3	0	0	0	unknown
syntcomp24	abcg_arbiter3.ltl	real	census	ltl	33	8	18432	18432	18432	2304	2304	0	0	204471	0	8	5	0	0	0	0	unknown
syntcomp24	abcg_arbiter3.ltl	unreal-automaton	census	ltl	2235	257	4088	2056	2056	8	8	0	0	41523	14392	0	14	0	0	0	0	unknown
syntcomp24	amba_decomposed_lock10.ltl	real	census	ltl	5	4	40960	8	8	2	2	0	0	6210	8	0	1	0	0	0	0	unknown
syntcomp24	amba_decomposed_lock10.ltl	unreal-automaton	census	ltl	10	2	229376	10	10	114688	5	0	0	12441	40	0	3	0	0	0	0	unknown
syntcomp24	amba_decomposed_lock11.ltl	real	census	ltl	5	4	90112	8	8	2	2	0	0	12358	8	0	5	0	0	0	0	unknown
syntcomp24	amba_decomposed_lock11.ltl	unreal-automaton	census	ltl	10	2	548864	10	10	274432	5	0	0	24737	40	0	6	0	0	0	0	unknown
syntcomp24	amba_decomposed_lock12.ltl	real	census	ltl	5	4	196608	8	8	2	2	0	0	24650	8	0	12	0	0	0	0	unknown
syntcomp24	amba_decomposed_lock12.ltl	unreal-automaton	census	ltl	10	2	1294336	10	10	647168	5	0	0	49321	40	0	16	0	0	0	0	unknown
syntcomp24	amba_decomposed_lock15.ltl	real	census	ltl	5	4	1966080	8	8	2	2	0	0	196694	8	0	152	0	0	0	0	unknown
syntcomp24	amba_decomposed_lock15.ltl	unreal-automaton	census	ltl	10	2	15859712	10	10	7929856	5	0	0	393409	40	0	177	0	0	0	0	unknown
syntcomp24	amba_decomposed_lock16.ltl	real	census	ltl	5	4	4194304	8	8	2	2	0	0	393306	8	0	422	0	0	0	0	unknown
syntcomp24	amba_decomposed_lock16.ltl	unreal-automaton	census	ltl	10	2	35913728	10	10	17956864	5	0	0	786633	40	0	485	0	0	0	0	unknown
syntcomp24	arbiter5.ltl	real	census	ltl	23	32	1024	1024	424	32	32	0	0	5277	17584	0	2	0	0	0	0	unknown
syntcomp24	arbiter5.ltl	unreal-automaton	census	ltl	353	7	512	224	224	32	32	0	0	11075	6944	0	32	30	0	0	0	unknown
syntcomp24	arbiter6.ltl	real	census	ltl	27	64	4096	4096	1164	64	64	0	0	17498	100042	0	16	0	0	0	0	unknown
syntcomp24	arbiter6.ltl	unreal-automaton	census	ltl	929	8	1408	512	512	64	64	0	0	36369	32256	0	387	382	0	0	0	unknown
syntcomp24	arbiter7.ltl	real	census	ltl	31	128	16384	16384	3196	128	128	0	0	63112	568336	0	90	20	0	0	0	unknown
syntcomp24	arbiter8.ltl	real	census	ltl	35	256	65536	65536	8848	256	256	0	0	243655	2928743	0	560	411	0	0	0	unknown
syntcomp24	arbiter_with_buffer5.ltl	real	census	ltl	17	32	32768	32768	32768	1024	1024	0	0	33887	0	32	8	0	0	0	0	unknown
syntcomp24	arbiter_with_buffer6.ltl	real	census	ltl	20	64	262144	262144	262144	4096	4096	0	0	177267	0	64	90	0	0	0	0	unknown
syntcomp24	arbiter_with_cancel5.ltl	real	census	ltl	23	243	7776	7776	3986	32	32	0	0	19224	146261	0	24	0	0	0	0	unknown
syntcomp24	arbiter_with_cancel5.ltl	unreal-automaton	census	ltl	433	7	3888	1490	1085	243	243	0	0	55951	245157	0	793	789	0	0	0	unknown
syntcomp24	arbiter_with_cancel6.ltl	real	census	ltl	27	729	46656	46656	18822	64	64	0	0	81348	1370562	0	214	5	0	0	0	unknown
