suite	instance	worker	states	bool_threshold	inputs	actions	solver_final_maxima	loop	k	checkpoint_maxima	budget	kernel_maxima	verified	search_nodes	dead_ends	envelope_rejections	forward_applications	search_ms
syntcomp24	lift_unary_enc3.ltl	real	221	55	8	472	none	1	2	1	64	1	no	949	811	0	1337618	896
syntcomp24	lift_unary_enc3.ltl	real	221	55	8	472	none	6	2	69	64	1	no	10	3	3844	6491	3
syntcomp24	lift_unary_enc3.ltl	real	221	55	8	472	none	7	2	298	64	1	no	9	2	3700	6021	8
syntcomp24	lift_unary_enc3.ltl	real	221	55	8	472	none	8	2	3274	64	1	no	3	2	806	867	14
syntcomp24	lift_unary_enc3.ltl	real	221	55	8	472	none	11	2	19656	64	1	no	1	1	56	63	6
syntcomp24	lift_unary_enc3.ltl	unreal-formula	500	494	32	256	none	0	0	0	0	0	0	0	0	0	0	timeout
syntcomp24	lift_unary_enc3.ltl	unreal-automaton	216	208	32	256	none	0	0	0	0	0	0	0	0	0	0	timeout
syntcomp24	lift_unary_enc4.ltl	real	796	190	16	1952	none	0	0	0	0	0	0	0	0	0	0	timeout
syntcomp24	lift_unary_enc4.ltl	unreal-formula	3699	3692	70	1120	none	0	0	0	0	0	0	0	0	0	0	timeout
syntcomp24	lift_unary_enc4.ltl	unreal-automaton	1313	1303	70	1120	none	0	0	0	0	0	0	0	0	0	0	timeout
syntcomp24	lift3.ltl	real	169	45	8	236	none	1	2	1	64	1	no	49	34	0	23357	9
syntcomp24	lift3.ltl	real	169	45	8	236	none	6	2	72	64	1	no	1	1	28	35	0
syntcomp24	lift3.ltl	real	169	45	8	236	none	8	2	460	64	1	no	1	1	28	35	0
syntcomp24	lift3.ltl	real	169	45	8	236	none	9	2	1174	64	1	no	1	1	28	35	0
syntcomp24	lift3.ltl	real	169	45	8	236	none	11	2	8266	64	1	no	1	1	28	35	0
syntcomp24	lift3.ltl	real	169	45	8	236	none	26	5	26317	64	26	yes	31	0	37144	43580	5287
