suite	instance	family	cohort	worker	pid	route	source_sha256	options	checkpoint	formula_fnv1a64	backend	phase	k_schedule	translation_pref	translation_ms	preprocessing_ms	action_construction_ms	solve_ms	verification_ms	total_ms	graph_ready	total_q	total_e	search_rows	verification_rows	verification_only_rows	union_rows	union_edges	k	k_union_rows	k_union_edges	search_applications	verification_applications	support_median	support_p95	support_max	decoded_profiles	action_profiles_used	forward_env_nodes	forward_ctrl_nodes	actions_seen	max_f	forward_limit_reason	worker_result	final_reason	rho_q	rho_e	result	seconds	exit_code	timed_out	acacia_sha	binary_sha256	preset	timestamp_utc	status	original_status
syntcomp26	Morning2_06e9cad4.ltl	direct:tlsf/tsl_smart_home_jarvis/extracted-benchmarks:Morning	discovery	real	288098	tlsf	6ff39b07dfe7f647d04ad179c04383a3cd0dbad43e70301d6782452fecf5669d		support-before-translation	1e9b700af2845d0f	forward	translation	linear	small	0	0	0	0	0	3	0																0		0	0	0	0	none	unknown	unknown			TIMEOUT	17.077102	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:23:46.998981Z	translation-failure-timeout	translation-failure-timeout
syntcomp26	Morning2_06e9cad4.ltl	direct:tlsf/tsl_smart_home_jarvis/extracted-benchmarks:Morning	discovery	unreal-formula	288099	tlsf	6ff39b07dfe7f647d04ad179c04383a3cd0dbad43e70301d6782452fecf5669d		alphabet-census	70dfff9cf713a8e3	forward	action-construction	linear	small	4155	1	0	0	0	7094	1	196	3110	0	0	0	0	0	2	0	0	0	0				0	0	0	0	0	0	none	unknown	unknown	0	0	TIMEOUT	17.077102	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:23:46.998981Z	timeout	timeout
syntcomp26	Morning2_06e9cad4.ltl	direct:tlsf/tsl_smart_home_jarvis/extracted-benchmarks:Morning	discovery	unreal-automaton	288100	tlsf	6ff39b07dfe7f647d04ad179c04383a3cd0dbad43e70301d6782452fecf5669d		support-before-translation	f52fc1bfac0670f9	forward	translation	linear	small	0	0	0	0	0	3	0																0		0	0	0	0	none	unknown	unknown			TIMEOUT	17.077102	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:23:46.998981Z	translation-failure-timeout	translation-failure-timeout
syntcomp26	amba_case_study_pb_3_pe_.ltl	param:tlsf/amba/amba/parametric/amba_case_study.tlsf	discovery	real	288130	tlsf	79259f6399a70e92aa32e2a67f8e334971658710677c2d0d8b68772845549a5e		final	fd2d7dea58be5658	forward	search	linear	small	8637	0	5190	6364	0	15009	1	104	478	64	0	0	64	341	2	64	341	838015	0	12	17	20	134784	64189	2581	400001	0	0	forward-resource-limit-ctrl-nodes	unknown	forward-resource-limit-ctrl-nodes	0.615384615	0.713389121	TIMEOUT	17.021360	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:24:04.032916Z	unknown	unknown
syntcomp26	amba_case_study_pb_3_pe_.ltl	param:tlsf/amba/amba/parametric/amba_case_study.tlsf	discovery	unreal-formula	288131	tlsf	79259f6399a70e92aa32e2a67f8e334971658710677c2d0d8b68772845549a5e		support-before-translation	d86bbc5a06e4257c	forward	translation	linear	small	0	0	0	0	0	6	0																0		0	0	0	0	none	unknown	unknown			TIMEOUT	17.021360	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:24:04.032916Z	translation-failure-timeout	translation-failure-timeout
syntcomp26	amba_case_study_pb_3_pe_.ltl	param:tlsf/amba/amba/parametric/amba_case_study.tlsf	discovery	unreal-automaton	288132	tlsf	79259f6399a70e92aa32e2a67f8e334971658710677c2d0d8b68772845549a5e		support-before-translation	ed58052a4ec90786	forward	translation	linear	small	0	0	0	0	0	6	0																0		0	0	0	0	none	unknown	unknown			TIMEOUT	17.021360	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:24:04.032916Z	translation-failure-timeout	translation-failure-timeout
syntcomp26	amba_decomposed_arbiter_pb_7_pe_.ltl	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	discovery	real	288156	tlsf	fda31b5f2a4bde749b5d1b046fb270bc298ea64ae19da1adf41e2f14a77ada22		final	bfcb9a7f0bf57cd	forward	search	linear	small	243	0	218	14677	0	14924	1	39	98	24	0	0	24	81	5	24	81	43386091	0	8	17	20	35456	35185	6929	400001	0	0	forward-resource-limit-ctrl-nodes	unknown	forward-resource-limit-ctrl-nodes	0.615384615	0.826530612	TIMEOUT	17.020430	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:24:21.069135Z	unknown	unknown
syntcomp26	amba_decomposed_arbiter_pb_7_pe_.ltl	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	discovery	unreal-formula	288157	tlsf	fda31b5f2a4bde749b5d1b046fb270bc298ea64ae19da1adf41e2f14a77ada22		support-before-translation	51f33af64ba6a86b	forward	translation	linear	small	0	0	0	0	0	3	0																0		0	0	0	0	none	unknown	unknown			TIMEOUT	17.020430	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:24:21.069135Z	translation-failure-timeout	translation-failure-timeout
syntcomp26	amba_decomposed_arbiter_pb_7_pe_.ltl	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	discovery	unreal-automaton	288158	tlsf	fda31b5f2a4bde749b5d1b046fb270bc298ea64ae19da1adf41e2f14a77ada22		support-before-action-construction	14d9ab44c3e91ab1	forward	action-construction	linear	small	236	56	0	0	0	812	1	3107	214957	0	0	0	0	0	2	0	0	0	0				0	0	0	0	0	0	none	unknown	unknown	0	0	TIMEOUT	17.020430	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:24:21.069135Z	timeout	timeout
syntcomp26	amba_decomposed_encode_pb_20_pe_.ltl	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	discovery	real	288168	tlsf	2ba6b5c167664586dbb32752d2b42ea75ea5e3b0a63338eb8a6c69e87e19f88f		support-before-translation	34d1f4459d054f30	forward	translation	linear	small	0	0	0	0	0	7	0																0		0	0	0	0	none	unknown	unknown			TIMEOUT	17.077374	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:24:38.188636Z	translation-failure-timeout	translation-failure-timeout
