cohort	instance	arm	c0_result	c0_seconds	c3_result	c3_seconds	delta_class	acacia_sha	binary_sha256_c0	binary_sha256_c3	preset	timestamp_utc	status
discovery	Morning2_06e9cad4.ltl	real+unreal	TIMEOUT	17.053	TIMEOUT	17.080	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	amba_case_study_pb_3_pe_.ltl	real+unreal	TIMEOUT	17.094	TIMEOUT	17.037	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	amba_decomposed_arbiter_pb_7_pe_.ltl	real+unreal	TIMEOUT	17.038	TIMEOUT	17.037	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	amba_decomposed_encode_pb_20_pe_.ltl	real+unreal	TIMEOUT	17.053	TIMEOUT	17.093	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	arbiter_on_inpchange_pb_5_pe_.ltl	real+unreal	TIMEOUT	17.054	TIMEOUT	17.044	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	arbiter_pb_6_pe_.ltl	real+unreal	TIMEOUT	17.037	TIMEOUT	17.052	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	arbiter_with_buffer_pb_6_pe_.ltl	real+unreal	TIMEOUT	17.053	TIMEOUT	17.052	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	arbiter_with_cancel_pb_6_pe_.ltl	real+unreal	TIMEOUT	17.037	TIMEOUT	17.053	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	chomp_pb_2_4_pe_.ltl	real+unreal	TIMEOUT	17.037	TIMEOUT	17.054	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	collector_v1_pb_11_pe_.ltl	real+unreal	TIMEOUT	17.037	TIMEOUT	17.054	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
discovery	collector_v3_pb_9_pe_.ltl	real+unreal	TIMEOUT	17.037	TIMEOUT	17.042	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
