instance	family_key	family_display	source_sha256	origin	parameter_values_json
Morning2_06e9cad4.ltl	direct:tlsf/tsl_smart_home_jarvis/extracted-benchmarks:Morning	Morning	6ff39b07dfe7f647d04ad179c04383a3cd0dbad43e70301d6782452fecf5669d	direct:tlsf/tsl_smart_home_jarvis/extracted-benchmarks/Morning2_06e9cad4.tlsf	{}
amba_case_study_pb_3_pe_.ltl	param:tlsf/amba/amba/parametric/amba_case_study.tlsf	amba_case_study	79259f6399a70e92aa32e2a67f8e334971658710677c2d0d8b68772845549a5e	param:tlsf/amba/amba/parametric/amba_case_study.tlsf:n=3	"{""n"": 3}"
amba_decomposed_arbiter_pb_7_pe_.ltl	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	amba_decomposed_arbiter	fda31b5f2a4bde749b5d1b046fb270bc298ea64ae19da1adf41e2f14a77ada22	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf:n=7	"{""n"": 7}"
amba_decomposed_encode_pb_20_pe_.ltl	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	amba_decomposed_encode	2ba6b5c167664586dbb32752d2b42ea75ea5e3b0a63338eb8a6c69e87e19f88f	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf:n=20	"{""n"": 20}"
arbiter_on_inpchange_pb_5_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	arbiter_on_inpchange	e68ed433173e761e18fc2b8a7e3d0bf4b6e04f30d46815825946233d9ae60821	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf:n=5	"{""n"": 5}"
arbiter_pb_6_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	arbiter	0a52db34c1299888dfec022d8e8bcc97fd7c9cf4ec5574c2ba575771f00434a9	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf:n=6	"{""n"": 6}"
arbiter_with_buffer_pb_6_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	arbiter_with_buffer	6a6950d834803935e25112683e596da666b89c64a3224efca3eb18db70763d44	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf:n=6	"{""n"": 6}"
arbiter_with_cancel_pb_6_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	arbiter_with_cancel	528e4f799ed78658bc67c95bd74f96eabd6057384dd57a5fbbfdb5e0d3765f0b	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf:n=6	"{""n"": 6}"
chomp_pb_2_4_pe_.ltl	param:tlsf/chomp_game/parametric/chomp.tlsf	chomp	abcc8c886aa58b67ded512620684d16a6e5947c0c17b528b2e870aea4028f66c	param:tlsf/chomp_game/parametric/chomp.tlsf:N=2,M=4	"{""N"": 2, ""M"": 4}"
collector_v1_pb_11_pe_.ltl	param:tlsf/collector/parametric/collector_v1.tlsf	collector_v1	6735c4ac0cca92f2a2e91c8bd0d716dc7418a751258f29e0fcb1f428ebb2892a	param:tlsf/collector/parametric/collector_v1.tlsf:n=11	"{""n"": 11}"
collector_v3_pb_9_pe_.ltl	param:tlsf/collector/parametric/collector_v3.tlsf	collector_v3	19c52e58c858a5dbaecf52d1e05b3de1dd41ecf6ea17095d919c82df40e0d9e9	param:tlsf/collector/parametric/collector_v3.tlsf:n=9	"{""n"": 9}"
full_arbiter_unreal1_pb_3_8_pe_.ltl	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1	e22ac85932cf4c1be65ba7d33a19e2ddcb38581e3f7971b17395ddf2c0199479	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf:n=3,u=8	"{""n"": 3, ""u"": 8}"
full_arbiter_unreal2_pb_5_pe_.ltl	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal2.tlsf	full_arbiter_unreal2	a6837b76a1f9b75eee4d28a39275f73e1b4722a195954d73711e035ca2797b8b	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal2.tlsf:n=5	"{""n"": 5}"
lift_gr1+_pb_3_pe_.ltl	param:tlsf/lift/parametric/lift_gr1+.tlsf	lift_gr1+	ff3cd9ca15b7634f5d277cae60d9d951320e9743f21173703333faaec3439d67	param:tlsf/lift/parametric/lift_gr1+.tlsf:n=3	"{""n"": 3}"
lift_gr1_pb_3_pe_.ltl	param:tlsf/lift/parametric/lift_gr1.tlsf	lift_gr1	1ff1097d227e5785854edb1be09fcda5fd6785ba0f33f3aef9982a3f39ee1126	param:tlsf/lift/parametric/lift_gr1.tlsf:n=3	"{""n"": 3}"
lift_pb_4_pe_.ltl	param:tlsf/lift/parametric/lift.tlsf	lift	893ef6dc7f85c438b96bad29929ba6255eb468ab0b0bb4487e7b8c2008c290d3	param:tlsf/lift/parametric/lift.tlsf:n=4	"{""n"": 4}"
lift_unary_enc_pb_4_pe_.ltl	param:tlsf/lift/parametric/lift_unary_enc.tlsf	lift_unary_enc	4c0607135909c32f5d7dd19146892145ac0459e5b3c7383f74c86a41353e6bd3	param:tlsf/lift/parametric/lift_unary_enc.tlsf:n=4	"{""n"": 4}"
load_balancer_unreal1_pb_4_8_pe_.ltl	param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1	fa161ccbc4c7f6a4174212ca0120f434e2b891aa5206dcaf2a8a80c6ac5e76bf	param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf:n=4,u=8	"{""n"": 4, ""u"": 8}"
prioritized_arbiter_pb_7_pe_.ltl	param:tlsf/prioritized_arbiter/parametric/prioritized_arbiter.tlsf	prioritized_arbiter	5dad9c093748d6b392a401873c5b0c582878d4aa621cc4aa2f0af3b7fe819da4	param:tlsf/prioritized_arbiter/parametric/prioritized_arbiter.tlsf:n=7	"{""n"": 7}"
prioritized_arbiter_unreal2_pb_30_pe_.ltl	param:tlsf/prioritized_arbiter_unreal/parametric/prioritized_arbiter_unreal2.tlsf	prioritized_arbiter_unreal2	5d6a924e50ba5e0a4541f10dc5889417f1a6c754fa6bb7e05124b83d04b06014	param:tlsf/prioritized_arbiter_unreal/parametric/prioritized_arbiter_unreal2.tlsf:n=30	"{""n"": 30}"
robot-resource-2d16.ltl	direct:tlsf/sweap:robot-resource-2d	robot-resource-2d	8286e95151374cf48307f2fc8b21a153dd73cc95eee3320cfd28b95b33eb92b5	direct:tlsf/sweap/robot-resource-2d16.tlsf	{}
robot-to-target-charging3.ltl	direct:tlsf/sweap:robot-to-target-charging	robot-to-target-charging	7508dd51595000293b5a6dfddc21357d605d1db523016edfe1170174f39da650	direct:tlsf/sweap/robot-to-target-charging3.tlsf	{}
robot_grid_pb_3_3_pe_.ltl	param:tlsf/robot_grid/parametric/robot_grid.tlsf	robot_grid	a62b51ad95c88b72ea6deb8299dbbca5dfe28ee1b3203843deda5494b9260d28	param:tlsf/robot_grid/parametric/robot_grid.tlsf:xN=3,yN=3	"{""xN"": 3, ""yN"": 3}"
tasks-unreal0.ltl	direct:tlsf/sweap:tasks-unreal	tasks-unreal	414b85f00f85a1a6006500fbacbc5b6b200fc826b438c9a3f310fc62f3179850	direct:tlsf/sweap/tasks-unreal0.tlsf	{}
arbiter_on_inpchange_pb_4_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	arbiter_on_inpchange	954e0dd365dd2f8c863109e9a8f169862b780b7dca1ffc9df1e32465bcda3eaa	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf:n=4	"{""n"": 4}"
full_arbiter_unreal1_pb_2_8_pe_.ltl	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1	b8ea7b5138b951c673e50cd8257864a58ac8f41b666f03ee46397cb84e88e855	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf:n=2,u=8	"{""n"": 2, ""u"": 8}"
full_arbiter_unreal2_pb_4_pe_.ltl	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal2.tlsf	full_arbiter_unreal2	2f5dbf3c0d4c0770fdaf0221081fabd63bf2143cb767f2e2df197a805ad63366	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal2.tlsf:n=4	"{""n"": 4}"
prioritized_arbiter_pb_6_pe_.ltl	param:tlsf/prioritized_arbiter/parametric/prioritized_arbiter.tlsf	prioritized_arbiter	c16fb0f0d204917e4a21633cb3112fbc1c0f3b1a00229c495b6e0b3ae1ed812f	param:tlsf/prioritized_arbiter/parametric/prioritized_arbiter.tlsf:n=6	"{""n"": 6}"
amba_case_study_pb_2_pe_.ltl	param:tlsf/amba/amba/parametric/amba_case_study.tlsf	amba_case_study	4da5edeb720c78d52219b4186d99ee4372ef421c8da15dfe6b6096456ff4ae80	param:tlsf/amba/amba/parametric/amba_case_study.tlsf:n=2	"{""n"": 2}"
lift_gr1+_pb_2_pe_.ltl	param:tlsf/lift/parametric/lift_gr1+.tlsf	lift_gr1+	aa20b375adc409c8e7e2374dc01ef88cbe6c5c6c2e21fbc15fcd1754ea4c50db	param:tlsf/lift/parametric/lift_gr1+.tlsf:n=2	"{""n"": 2}"
lift_gr1_pb_2_pe_.ltl	param:tlsf/lift/parametric/lift_gr1.tlsf	lift_gr1	ce7d5521c64d36eadc8e66564c61727a660bc13d4abbaffb495df266ab3a6373	param:tlsf/lift/parametric/lift_gr1.tlsf:n=2	"{""n"": 2}"
robot_grid_pb_2_2_pe_.ltl	param:tlsf/robot_grid/parametric/robot_grid.tlsf	robot_grid	ffe426ad0760e977e140e72c004ce8402c4f24ce78ae89315f8d22aafe2c1170	param:tlsf/robot_grid/parametric/robot_grid.tlsf:xN=2,yN=2	"{""xN"": 2, ""yN"": 2}"
arbiter_with_buffer_pb_5_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	arbiter_with_buffer	5764ab23b8be0bd4282247f7389063b27d61c92fcb6fcbdea1b86082ced800cf	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf:n=5	"{""n"": 5}"
arbiter_with_cancel_pb_5_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	arbiter_with_cancel	ce69a3fd67e37b79ae9ab631128abdea310eb256681037bb77280950be780be3	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf:n=5	"{""n"": 5}"
collector_v1_pb_9_pe_.ltl	param:tlsf/collector/parametric/collector_v1.tlsf	collector_v1	97420c343a53c34529775be646644a4b61ad3e5a1e83bdfef228e3abc98acead	param:tlsf/collector/parametric/collector_v1.tlsf:n=9	"{""n"": 9}"
collector_v3_pb_7_pe_.ltl	param:tlsf/collector/parametric/collector_v3.tlsf	collector_v3	ad8f1e00135c2b37721f049dd7cc92b83b677c7b80fbd5aa7547313fea865de7	param:tlsf/collector/parametric/collector_v3.tlsf:n=7	"{""n"": 7}"
