rank	score	instance	tlsf_file	family_key	family_display	origin_kind	parameter_values_json	parameter_dimension	tlsf_bytes	expectation	unsolved_result	failure_kind	selection_reason	neighbour_instance	neighbour_params_json	neighbour_seconds	neighbour_result	pair_kind	score_breakdown
1	40	round_robin_arbiter_unreal2_pb_5_pe_.ltl	round_robin_arbiter_unreal2_pb_5_pe_.tlsf	param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal2.tlsf	round_robin_arbiter_unreal2	param	"{""n"": 5}"	1	1976	unrealizable	TIMEOUT	time_limit	score	round_robin_arbiter_unreal2_pb_4_pe_.ltl	"{""n"":4}"	0.460778112988919	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
2	40	rw_arbiter_pb_4_pe_.ltl	rw_arbiter_pb_4_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	rw_arbiter	param	"{""n"": 4}"	1	2123	none	TIMEOUT	time_limit	score	rw_arbiter_pb_3_pe_.ltl	"{""n"":3}"	0.7697880920022726	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
3	40	simple_arbiter_with_hints_pb_8_pe_.ltl	simple_arbiter_with_hints_pb_8_pe_.tlsf	param:tlsf/ltl_with_hints/parametric/simple_arbiter_with_hints.tlsf	simple_arbiter_with_hints	param	"{""n"": 8}"	1	2330	none	TIMEOUT	time_limit	score	simple_arbiter_with_hints_pb_6_pe_.ltl	"{""n"":6}"	2.2578052220633253	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
4	37	collector_v2_pb_27_pe_.ltl	collector_v2_pb_27_pe_.tlsf	param:tlsf/collector/parametric/collector_v2.tlsf	collector_v2	param	"{""n"": 27}"	1	511	none	TIMEOUT	time_limit	score	collector_v2_pb_15_pe_.ltl	"{""n"":15}"	12.335180721012875	REALIZABLE	cover	minimal+12,unsolved60+10,nbr17s+5,family3+6,tlsf20k+4
5	37	generalized_buffer_pb_5_pe_.ltl	generalized_buffer_pb_5_pe_.tlsf	param:tlsf/generalized_buffer/parametric/generalized_buffer.tlsf	generalized_buffer	param	"{""n"": 5}"	1	2185	none	TIMEOUT	time_limit	score	generalized_buffer_pb_4_pe_.ltl	"{""n"":4}"	11.897390626952983	REALIZABLE	cover	minimal+12,unsolved60+10,nbr17s+5,family3+6,tlsf20k+4
6	37	load_balancer_pb_8_pe_.ltl	load_balancer_pb_8_pe_.tlsf	param:tlsf/load_balancer/parametric/load_balancer.tlsf	load_balancer	param	"{""n"": 8}"	1	1613	realizable	TIMEOUT	time_limit	score	load_balancer_pb_7_pe_.ltl	"{""n"":7}"	5.385427915956825	REALIZABLE	cover	minimal+12,unsolved60+10,nbr17s+5,family3+6,tlsf20k+4
7	37	round_robin_arbiter_pb_5_pe_.ltl	round_robin_arbiter_pb_5_pe_.tlsf	param:tlsf/round_robin_arbiter/parametric/round_robin_arbiter.tlsf	round_robin_arbiter	param	"{""n"": 5}"	1	1750	realizable	TIMEOUT	time_limit	score	round_robin_arbiter_pb_4_pe_.ltl	"{""n"":4}"	11.729962211102247	REALIZABLE	cover	minimal+12,unsolved60+10,nbr17s+5,family3+6,tlsf20k+4
8	32	abcg_arbiter_pb_4_pe_.ltl	abcg_arbiter_pb_4_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	abcg_arbiter	param	"{""n"": 4}"	1	1429	none	TIMEOUT	time_limit	score	abcg_arbiter_pb_3_pe_.ltl	"{""n"":3}"	36.370379983098246	REALIZABLE	cover	minimal+12,unsolved60+10,family3+6,tlsf20k+4
9	32	amba_decomposed_lock_pb_14_pe_.ltl	amba_decomposed_lock_pb_14_pe_.tlsf	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	amba_decomposed_lock	param	"{""n"": 14}"	1	2100	realizable	TIMEOUT	time_limit	score	amba_decomposed_lock_pb_13_pe_.ltl	"{""n"":13}"	20.220548374927603	REALIZABLE	cover	minimal+12,unsolved60+10,family3+6,tlsf20k+4
10	10	F-G-contradiction-112.ltl	F-G-contradiction-112.tlsf	direct:tlsf/sweap:F-G-contradiction	F-G-contradiction	direct	{}	0	243640	none	MEMOUT	memory_limit	score					none	unsolved60+10
11	10	GF-G-contradiction6.ltl	GF-G-contradiction6.tlsf	direct:tlsf/sweap:GF-G-contradiction	GF-G-contradiction	direct	{}	0	115361	none	MEMOUT	memory_limit	score					none	unsolved60+10
12	10	GF-G-contradiction7.ltl	GF-G-contradiction7.tlsf	direct:tlsf/sweap:GF-G-contradiction	GF-G-contradiction	direct	{}	0	126211	none	MEMOUT	memory_limit	score					none	unsolved60+10
13	10	g-unreal-311.ltl	g-unreal-311.tlsf	direct:tlsf/sweap:g-unreal	g-unreal	direct	{}	0	225555	none	MEMOUT	memory_limit	score					none	unsolved60+10
14	10	g-unreal-39.ltl	g-unreal-39.tlsf	direct:tlsf/sweap:g-unreal	g-unreal	direct	{}	0	156986	none	MEMOUT	memory_limit	score					none	unsolved60+10
15	10	thermostat-GF-unreal2.ltl	thermostat-GF-unreal2.tlsf	direct:tlsf/sweap:thermostat-GF-unreal	thermostat-GF-unreal	direct	{}	0	114757	none	MEMOUT	memory_limit	score					none	unsolved60+10
