label	instance	worker_pid	result	completed_k	last_stage	accounting	translation_ms	preprocessing_ms	whole_solve_ms	guarded_prep_ms	factory_ms	eager_ms	completed_search_ms	completed_verification_ms	row_generation_ms	guarded_choices_sum	search_peak_live_nodes_max	verify_peak_live_nodes_max	rank_interner_bytes_max	search_cache_rank_bytes_max	verify_cache_rank_bytes_max	underlying_rows_generated	wrapper_rows_generated	verification_additional_rows	peak_rss_bytes	diagnostic_job_seconds	capture_sha256
C3-real	01.ltl	367048	REALIZABLE	2,5	verified-attempt	complete_attempt_totals	2	0	1	0.007836	NA	NA	1.055100	0.272807	NA	64.000000	3462	NA	NA	NA	NA	NA	NA	NA	NA	0.032130	a7a848abede078a14163cfd2666ec834967ae937a2b59fa04671ddf4a158b224
C3-real	robot_grid_pb_2_2_pe_.ltl	367055	REALIZABLE	2	verified-attempt	complete_attempt_totals	13	0	4	0.009316	NA	NA	2.450231	1.454093	NA	79.000000	10739	NA	NA	NA	NA	NA	NA	NA	NA	0.065125	95c8fdf378e50488ba8e05b03bb27df5ac27e262189cf6cbeae98853e21ef844
C3s-real	01.ltl	367065	REALIZABLE	2,5	verified-attempt	complete_attempt_totals	2	0	1	0.012398	NA	NA	1.047396	0.279365	0.040798	64.000000	3462	3488	2024	14784	4624	NA	NA	NA	NA	0.032331	3423aa715ba6487c0349a808fbf640b9b0afd01d745af568a439ec60a494ea04
C3s-real	robot_grid_pb_2_2_pe_.ltl	367072	REALIZABLE	2	verified-attempt	complete_attempt_totals	7	0	4	0.013979	NA	NA	2.718910	1.454590	0.178851	79.000000	10739	11575	1176	12344	6032	NA	NA	NA	NA	0.065235	26cbbe65fe3bd15e98f4d8dae87a911a1bfe66234ee84759843f4a9de93343c0
C3s-real	round_robin_arbiter_pb_5_pe_.ltl	367079	REALIZABLE	2,5	verified-attempt	complete_attempt_totals	149	34	10209	0.260409	NA	NA	6516.253498	3209.986116	22.312801	30204.000000	524285	524287	349664	31954232	22297184	NA	NA	NA	NA	10.492708	a0540df320191e51c72738b1961d0e0ec62ac900d413e04a132f407c4d34fb6d
C3-unreal-formula	GF-G-contradiction6.ltl	367090	UNREALIZABLE	2,5,8,11	verified-attempt	complete_attempt_totals	3851	0	9879	0.056542	NA	NA	5822.229454	3827.201271	NA	10635.000000	2947230	NA	NA	NA	NA	NA	NA	NA	NA	13.853240	0c3bbc3a98ad72faad612a427bd444ff73c2a80c16f6a741fe54ffce031746e4
C3-unreal-formula	GF-G-contradiction7.ltl	367133	UNREALIZABLE	2,5,8,11	verified-attempt	complete_attempt_totals	3881	0	10927	0.059723	NA	NA	6405.678255	4274.219616	NA	10851.000000	3145722	NA	NA	NA	NA	NA	NA	NA	NA	14.958149	f299ee227da34554b5387428ac971142f280644809d85ae66f77f97249e57b4a
C3-unreal-formula	g-unreal-39.ltl	367141	UNREALIZABLE	2,5,8,11,14	verified-attempt	complete_attempt_totals	1916	0	8353	0.081084	NA	NA	4918.011014	3205.792223	NA	12705.000000	597375	NA	NA	NA	NA	NA	NA	NA	NA	10.393851	ea3378bea04918002e998f118394c8efd2bf7c1d4542145cdc608c818fb739e4
C3-unreal-formula	robot-resource-2d16.ltl	367148	UNREALIZABLE	2,5	verified-attempt	complete_attempt_totals	4356	0	16	0.023855	NA	NA	4.789844	10.734373	NA	35.000000	470416	NA	NA	NA	NA	NA	NA	NA	NA	4.425818	0af696a6f9155b220d3cc9ce9a88dfe421198e30158ce7466fa49cb7dfd0b925
C3-unreal-formula	robot-to-target-charging3.ltl	367155	UNREALIZABLE	2,5,8	verified-attempt	complete_attempt_totals	3416	0	107	0.025913	NA	NA	87.772421	12.451915	NA	353.000000	2500064	NA	NA	NA	NA	NA	NA	NA	NA	3.574989	505ff38669616186295667391462e5622cf7bcbb1675f42638c84134a7d3965c
C3s-unreal-formula	GF-G-contradiction6.ltl	367179	UNREALIZABLE	2,5,8,11	verified-attempt	complete_attempt_totals	3807	0	8898	0.079806	NA	NA	5110.670910	3409.235202	1.119335	10635.000000	2947230	2947582	410160	187755272	173913352	NA	NA	NA	NA	12.796622	f0b6ceaf89a8d8ed48975d5bcd46db344b42bf2b21f4a0237cf1f01a58ffbb20
C3s-unreal-formula	GF-G-contradiction7.ltl	367189	UNREALIZABLE	2,5,8,11	verified-attempt	complete_attempt_totals	3891	0	9284	0.087970	NA	NA	5346.759200	3543.664628	1.188507	10851.000000	3145722	3133541	426304	208327744	194810760	NA	NA	NA	NA	13.299523	2129d7aa280ca52dae30db0978442415e7d06c5fb8af5c1a54e2465fc19929a2
C3s-unreal-formula	g-unreal-39.ltl	367217	UNREALIZABLE	2,5,8,11,14	verified-attempt	complete_attempt_totals	1932	0	7552	0.115008	NA	NA	4429.297790	2799.604015	1.464631	12705.000000	597375	597580	498976	116839888	103609792	NA	NA	NA	NA	9.588186	6c08af7031d1636506dd4094cf2130d7977e5526d4ee153b542577f39906f8a1
C3s-unreal-formula	robot-resource-2d16.ltl	367241	UNREALIZABLE	2,5	verified-attempt	complete_attempt_totals	4326	0	17	0.038218	NA	NA	5.218956	11.190371	0.150763	35.000000	470416	470423	5872	29640	108856	NA	NA	NA	NA	4.424617	8389d2f5f20199d8baa321bce1384ce9fa0c7f28d1f39d7397324d4f20b0b7c9
C3s-unreal-formula	robot-to-target-charging3.ltl	367249	UNREALIZABLE	2,5,8	verified-attempt	complete_attempt_totals	3393	0	107	0.039591	NA	NA	87.827265	12.188335	0.349126	353.000000	2500064	2500076	66792	3188432	279864	NA	NA	NA	NA	3.574724	10b1d726fa9a9fa00167f7e3fbc0b988d3a77ccec14ce32fcd0b11064f3c2138
C3-unreal-automaton	full_arbiter_unreal1_pb_2_8_pe_.ltl	367259	UNREALIZABLE	2	verified-attempt	complete_attempt_totals	194	0	1	0.012940	NA	NA	0.574010	0.314284	NA	14.000000	223805	NA	NA	NA	NA	NA	NA	NA	NA	0.265059	21d25d8e5a691637b86965a01c9bd5e978e2d989bc968610c7b813db27bce250
C3-unreal-automaton	g-unreal-39.ltl	367266	UNREALIZABLE	2,5,8,11,14	verified-attempt	complete_attempt_totals	2084	0	8113	0.064564	NA	NA	4845.626104	3015.650413	NA	13450.000000	1572848	NA	NA	NA	NA	NA	NA	NA	NA	10.343313	d2b860e24c8b0428bdcd88659933d7136b5bd4057e51604240d1b935eb8dab82
C3-unreal-automaton	robot-resource-2d16.ltl	367274	UNREALIZABLE	2,5	verified-attempt	complete_attempt_totals	1151	0	15	0.018604	NA	NA	4.367224	9.697592	NA	35.000000	56624	NA	NA	NA	NA	NA	NA	NA	NA	1.217705	e03705117f447595d7337d0c88747124faa4e00e69f6f832bd5b01c5fe525135
C3-unreal-automaton	robot-to-target-charging3.ltl	367281	UNREALIZABLE	2,5,8	verified-attempt	complete_attempt_totals	3324	0	101	0.023658	NA	NA	82.600957	11.769288	NA	351.000000	2055593	NA	NA	NA	NA	NA	NA	NA	NA	3.474691	9b94ee84b3601151c28c042a4e9b2f26d54e3e3c5cf9875ed504fe89d040e291
C3s-unreal-automaton	GF-G-contradiction6.ltl	367293	UNREALIZABLE	2,5,8,11	verified-attempt	complete_attempt_totals	6961	0	9051	0.082682	NA	NA	5373.000692	3279.759273	1.017341	11316.000000	2276255	2276614	433248	188697128	172382040	NA	NA	NA	NA	16.106517	35b654206c42a898152cc12535279ffc4ab107faa4715f6e1bef4ee7060fa04a
C3s-unreal-automaton	GF-G-contradiction7.ltl	367304	TIMEOUT	2,5,8	search	completed_prefix_lower_bound	7058	0	0	0.050811	NA	NA	5190.754718	3573.549487	0.872855	8153.000000	3145708	3114800	445760	212987336	197749192	NA	NA	NA	NA	17.069513	3779e1c90e51cd18512035850f3375b9a0cfb330bd471819a45633919c6504ae
C3s-unreal-automaton	full_arbiter_unreal1_pb_2_8_pe_.ltl	367316	UNREALIZABLE	2	verified-attempt	complete_attempt_totals	187	0	1	0.018161	NA	NA	0.674171	0.305124	0.076771	14.000000	223805	223812	600	1696	1936	NA	NA	NA	NA	0.265451	a31c35204d99bcd73bf633d3dd6505a4ebbf9ca1534d836b9d2a72b4bbbb7631
C3s-unreal-automaton	g-unreal-39.ltl	367323	UNREALIZABLE	2,5,8,11,14	verified-attempt	complete_attempt_totals	2083	0	7441	0.111059	NA	NA	4467.518319	2629.794775	1.391763	13450.000000	1572848	1548604	512744	113064064	97011208	NA	NA	NA	NA	9.639039	002f495881863f83bf94bae0cfe28503241350e118bab4230fc4d92a93f20e9e
C3s-unreal-automaton	robot-resource-2d16.ltl	367347	UNREALIZABLE	2,5	verified-attempt	complete_attempt_totals	1133	0	15	0.028043	NA	NA	4.606737	10.166994	0.130988	35.000000	56624	56631	5872	29640	108856	NA	NA	NA	NA	1.218078	8ec5a75dc402693e42e9aa22a8878fb4e5280bc3b0b587e334a125cfe5f075d4
C3s-unreal-automaton	robot-to-target-charging3.ltl	367354	UNREALIZABLE	2,5,8	verified-attempt	complete_attempt_totals	3347	0	106	0.036850	NA	NA	86.370457	12.238029	0.344957	351.000000	2055593	2055599	66304	3155720	279864	NA	NA	NA	NA	3.524063	f3a900308a0b2c45e003fbe00a90608d74ad8b5cd72f35bf51555b5f37a6d158
C4-real	amba_decomposed_encode_pb_20_pe_.ltl	367381	REALIZABLE	2,5	verified-attempt	completed_prefix_lower_bound	0	0	0	NA	76.264104	7580.593190	213.474042	46.948346	7580.164474	2366.000000	85786	96162	41448	2551512	843216	78	78	0	42147840	7.984691	d731e0f94be8d8d299f2fec3c1725871d8cda9b17dac005b44a05d798d1e89e7
C4-real	amba_decomposed_lock_pb_14_pe_.ltl	367418	REALIZABLE	2,5	verified-attempt	completed_prefix_lower_bound	0	0	0	NA	16.528369	207.316019	465.421007	227.525237	207.088249	54.000000	412771	478283	2904	16560	7024	62	62	0	25747456	0.966965	a2996e8603c0c7b609df1983b7c3ffa2f1839bbae0528795523456e756d2e309
C5-real	amba_decomposed_encode_pb_20_pe_.ltl	367428	REALIZABLE	2,5	verified-attempt	completed_prefix_lower_bound	0	0	0	NA	80.668211	NA	8014.487737	48.429080	7790.172579	2366.000000	85786	96162	41448	2551512	843216	78	78	0	42258432	8.186242	1b70eff02be932cd1348d7f49c3c35e13711b3ca3f3c41b4c1bd73ba0c52b494
C5-real	amba_decomposed_lock_pb_14_pe_.ltl	367435	REALIZABLE	2,5	verified-attempt	completed_prefix_lower_bound	0	0	0	NA	16.843151	NA	699.080977	233.737642	212.456320	54.000000	412771	478283	2904	16560	7024	62	62	0	25710592	1.016801	226315e671511d260a60dce8ae2575c2ed1ec51b5164ab181d967e963b0e6310
