arm	worker_formula	provider	spot_version	refined_rules	wrapper	initial_convention	rank_domain	partition	ap_order	k	kmin	kmax	kinc	k_schedule	caps	worker_pid	status	certificate	worker_result	reason	stage	factory_measurement	factory_ms	factory_baseline_peak_bytes	factory_peak_bytes	factory_rss_before_bytes	factory_rss_after_bytes	factory_scope	acceptance_setup_ms	acceptance_setup_peak_bytes	acceptance_sets	provider_acceptance	underlying_rows_requested	underlying_rows_generated	wrapper_rows_requested	wrapper_rows_generated	underlying_states_discovered	wrapper_states_discovered	wrapper_edges_generated	eager_rows_generated	search_rows_requested	search_only_rows_requested	verification_rows_requested	verification_additional_rows	verification_rows_rebuilt	search_generated_rows	verification_generated_rows	search_rows_generated_cumulative	verification_rows_generated_cumulative	row_generation_ms	total_status	total_underlying_rows	total_wrapper_rows	total_wrapper_edges	rank_support_distribution	rank_support_sum	rank_support_max	rank_bytes	rank_bytes_scope	game_node_rank_bytes	certificate_rank_bytes	rank_interner_bytes	losing_antichain_rank_bytes	search_cache_rank_bytes	verify_cache_rank_bytes	search_queries	search_steps	search_bdd_operations	search_peak_live_nodes	search_peak_result_nodes	search_threshold_hits	search_preimage_hits	verify_queries	verify_steps	verify_bdd_operations	verify_peak_live_nodes	verify_peak_result_nodes	verify_threshold_hits	verify_preimage_hits	game_states	guarded_choices	expansions	losing_proofs	strategy_generators	parse_ms	eager_ms	search_ms	verification_ms	attempt_ms	end_to_end_ms	process_wall_ms	peak_rss_bytes	measurement	exit_code
c4	1	ltl_to_taa	2.15.1.dev	false	P5_single_cursor_one_obligation_per_edge_v1	cursor=0,rank=0	all_numeric_sparse			2	2	2	3	linear	time_s=10;memory_mib=1024;states=10000;rows=10000;row_edges=100000;acceptance_sets=64;live_bdd_nodes=1000000;rank_nodes=10000;choices=100000;expansions=100000;query_steps=1000000;verifier_rows=10000;verifier_query_steps=1000000	5	LOSE_K	verified	inconclusive	none	attempt_complete	complete	0.055157	14229504	15015936	14716928	15241216	TAA_formula_skeleton_including_all_internal_factor_setup_no_external_factors	0.032541	15015936	0	t	2	2	2	2	2	2	2	2	2	0	2	0	2	0	0	0	0	0.058771	complete	2	2	2	1:2	2	1	480	sum_of_retained_component_payload_snapshots_excludes_allocator_and_map_overhead	64	128	64	64	128	96	27	231	75	6	0	3	0	8	91	30	6	0	0	0	2	1	3	2	0	0.065435	0.101813	0.050568	0.042645	0.147310	3.955413	3.999881	15208448	complete	2
c5	1	ltl_to_taa	2.15.1.dev	false	P5_single_cursor_one_obligation_per_edge_v1	cursor=0,rank=0	all_numeric_sparse			2	2	2	3	linear	time_s=10;memory_mib=1024;states=10000;rows=10000;row_edges=100000;acceptance_sets=64;live_bdd_nodes=1000000;rank_nodes=10000;choices=100000;expansions=100000;query_steps=1000000;verifier_rows=10000;verifier_query_steps=1000000	7	LOSE_K	verified	inconclusive	none	attempt_complete	complete	0.032215	14151680	14970880	14671872	15196160	TAA_formula_skeleton_including_all_internal_factor_setup_no_external_factors	0.021157	14970880	0	t	2	2	2	2	2	2	2	0	2	0	2	0	2	2	0	2	0	0.067633	not_enumerated	NA	NA	NA	1:2	2	1	480	sum_of_retained_component_payload_snapshots_excludes_allocator_and_map_overhead	64	128	64	64	128	96	27	231	75	6	0	3	0	8	91	30	6	0	0	0	2	1	3	2	0	0.041000	0.000000	0.154658	0.049779	0.265232	3.839324	3.889762	15163392	complete	2
c4	0	ltl_to_taa	2.15.1.dev	false	P5_single_cursor_one_obligation_per_edge_v1	cursor=0,rank=0	all_numeric_sparse			2	2	2	3	linear	time_s=10;memory_mib=1024;states=10000;rows=10000;row_edges=100000;acceptance_sets=64;live_bdd_nodes=1000000;rank_nodes=10000;choices=100000;expansions=100000;query_steps=1000000;verifier_rows=10000;verifier_query_steps=1000000	9	WIN_K	verified	win	none	attempt_complete	complete	0.064346	14290944	14946304	14684160	15208448	TAA_formula_skeleton_including_all_internal_factor_setup_no_external_factors	0.036200	15138816	0	t	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0.040818	complete	1	1	0	0:1,1:1	1	1	384	sum_of_retained_component_payload_snapshots_excludes_allocator_and_map_overhead	56	88	56	0	104	136	30	215	73	6	0	0	0	10	98	34	6	0	0	0	2	2	3	0	1	0.047841	0.081021	0.041080	0.053686	0.179814	4.703941	4.784414	15138816	complete	0
c5	0	ltl_to_taa	2.15.1.dev	false	P5_single_cursor_one_obligation_per_edge_v1	cursor=0,rank=0	all_numeric_sparse			2	2	2	3	linear	time_s=10;memory_mib=1024;states=10000;rows=10000;row_edges=100000;acceptance_sets=64;live_bdd_nodes=1000000;rank_nodes=10000;choices=100000;expansions=100000;query_steps=1000000;verifier_rows=10000;verifier_query_steps=1000000	11	WIN_K	verified	win	none	attempt_complete	complete	0.051642	14290944	14946304	14712832	15237120	TAA_formula_skeleton_including_all_internal_factor_setup_no_external_factors	0.031686	15138816	0	t	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0.041065	not_enumerated	NA	NA	NA	0:1,1:1	1	1	384	sum_of_retained_component_payload_snapshots_excludes_allocator_and_map_overhead	56	88	56	0	104	136	30	215	73	6	0	0	0	10	98	34	6	0	0	0	2	2	3	0	1	0.075929	0.000000	0.108035	0.053486	0.247294	5.443358	5.522468	15138816	complete	0
c4	Fa	ltl_to_taa	2.15.1.dev	false	P5_single_cursor_one_obligation_per_edge_v1	cursor=0,rank=0	all_numeric_sparse	c	1:a	2	2	2	3	linear	time_s=10;memory_mib=1024;states=10000;rows=10000;row_edges=100000;acceptance_sets=64;live_bdd_nodes=1000000;rank_nodes=10000;choices=100000;expansions=100000;query_steps=1000000;verifier_rows=10000;verifier_query_steps=1000000	13	WIN_K	verified	win	none	attempt_complete	complete	0.060305	14397440	15245312	14827520	15417344	TAA_formula_skeleton_including_all_internal_factor_setup_no_external_factors	0.031790	15376384	1	Inf(0)	2	2	2	2	2	2	3	2	1	0	1	0	1	0	0	0	0	0.058609	complete	2	2	3	1:1	1	1	256	sum_of_retained_component_payload_snapshots_excludes_allocator_and_map_overhead	32	64	32	0	64	96	16	184	64	6	1	0	0	6	113	39	6	1	2	0	1	1	2	0	1	0.049320	0.100331	0.030295	0.039683	0.117497	3.143461	3.181512	15507456	complete	0
c5	Fa	ltl_to_taa	2.15.1.dev	false	P5_single_cursor_one_obligation_per_edge_v1	cursor=0,rank=0	all_numeric_sparse	c	1:a	2	2	2	3	linear	time_s=10;memory_mib=1024;states=10000;rows=10000;row_edges=100000;acceptance_sets=64;live_bdd_nodes=1000000;rank_nodes=10000;choices=100000;expansions=100000;query_steps=1000000;verifier_rows=10000;verifier_query_steps=1000000	15	WIN_K	verified	win	none	attempt_complete	complete	0.044945	14356480	15142912	14848000	15437824	TAA_formula_skeleton_including_all_internal_factor_setup_no_external_factors	0.035599	15466496	1	Inf(0)	1	1	1	1	2	2	2	0	1	0	1	0	1	1	0	1	0	0.035424	not_enumerated	NA	NA	NA	1:1	1	1	256	sum_of_retained_component_payload_snapshots_excludes_allocator_and_map_overhead	32	64	32	0	64	96	16	184	64	6	1	0	0	6	113	39	6	1	2	0	1	1	2	0	1	0.053827	0.000000	0.085103	0.047340	0.183642	3.317566	3.355846	15466496	complete	0
c4	Ga	ltl_to_taa	2.15.1.dev	false	P5_single_cursor_one_obligation_per_edge_v1	cursor=0,rank=0	all_numeric_sparse	c	1:a	2	2	2	3	linear	time_s=10;memory_mib=1024;states=10000;rows=10000;row_edges=100000;acceptance_sets=64;live_bdd_nodes=1000000;rank_nodes=10000;choices=100000;expansions=100000;query_steps=1000000;verifier_rows=10000;verifier_query_steps=1000000	17	WIN_K	verified	win	none	attempt_complete	complete	0.040566	14340096	15126528	14831616	15421440	TAA_formula_skeleton_including_all_internal_factor_setup_no_external_factors	0.021473	15319040	0	t	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0.029281	complete	1	1	1	0:1,1:1	1	1	384	sum_of_retained_component_payload_snapshots_excludes_allocator_and_map_overhead	56	88	56	0	104	136	30	260	91	6	1	0	0	10	121	42	6	1	0	0	2	2	3	0	1	0.049319	0.054356	0.035601	0.041596	0.128212	3.892991	3.934081	15319040	complete	0
c5	Ga	ltl_to_taa	2.15.1.dev	false	P5_single_cursor_one_obligation_per_edge_v1	cursor=0,rank=0	all_numeric_sparse	c	1:a	2	2	2	3	linear	time_s=10;memory_mib=1024;states=10000;rows=10000;row_edges=100000;acceptance_sets=64;live_bdd_nodes=1000000;rank_nodes=10000;choices=100000;expansions=100000;query_steps=1000000;verifier_rows=10000;verifier_query_steps=1000000	19	WIN_K	verified	win	none	attempt_complete	complete	0.038822	14397440	15245312	14827520	15417344	TAA_formula_skeleton_including_all_internal_factor_setup_no_external_factors	0.021564	15245312	0	t	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0.029455	not_enumerated	NA	NA	NA	0:1,1:1	1	1	384	sum_of_retained_component_payload_snapshots_excludes_allocator_and_map_overhead	56	88	56	0	104	136	30	260	91	6	1	0	0	10	121	42	6	1	0	0	2	2	3	0	1	0.050263	0.000000	0.082045	0.041147	0.173384	3.516370	3.557042	15376384	complete	0
c4	GFa	ltl_to_taa	2.15.1.dev	false	P5_single_cursor_one_obligation_per_edge_v1	cursor=0,rank=0	all_numeric_sparse	c	1:a	2	2	2	3	linear	time_s=10;memory_mib=1024;states=10000;rows=10000;row_edges=100000;acceptance_sets=64;live_bdd_nodes=1000000;rank_nodes=10000;choices=100000;expansions=100000;query_steps=1000000;verifier_rows=10000;verifier_query_steps=1000000	21	WIN_K	verified	win	none	attempt_complete	complete	0.044623	14237696	15056896	14766080	15355904	TAA_formula_skeleton_including_all_internal_factor_setup_no_external_factors	0.026161	15380480	1	Inf(0)	2	2	2	2	2	2	5	2	2	0	2	0	2	0	0	0	0	0.065848	complete	2	2	5	1:2	2	1	576	sum_of_retained_component_payload_snapshots_excludes_allocator_and_map_overhead	64	128	64	0	128	256	30	358	126	6	1	2	0	10	283	98	6	1	4	0	2	2	3	0	2	0.048325	0.109663	0.046844	0.071435	0.170176	3.322160	3.361348	15380480	complete	0
c5	GFa	ltl_to_taa	2.15.1.dev	false	P5_single_cursor_one_obligation_per_edge_v1	cursor=0,rank=0	all_numeric_sparse	c	1:a	2	2	2	3	linear	time_s=10;memory_mib=1024;states=10000;rows=10000;row_edges=100000;acceptance_sets=64;live_bdd_nodes=1000000;rank_nodes=10000;choices=100000;expansions=100000;query_steps=1000000;verifier_rows=10000;verifier_query_steps=1000000	23	WIN_K	verified	win	none	attempt_complete	complete	0.041444	14397440	15245312	14823424	15413248	TAA_formula_skeleton_including_all_internal_factor_setup_no_external_factors	0.025427	15376384	1	Inf(0)	2	2	2	2	2	2	5	0	2	0	2	0	2	2	0	2	0	0.074151	not_enumerated	NA	NA	NA	1:2	2	1	576	sum_of_retained_component_payload_snapshots_excludes_allocator_and_map_overhead	64	128	64	0	128	256	30	358	126	6	1	2	0	10	283	98	6	1	4	0	2	2	3	0	2	0.060776	0.000000	0.168099	0.070587	0.290459	3.885218	3.922661	15507456	complete	0
