series	binary	binary_sha256	instance	kind	baseline_status	baseline_seconds	candidate_status	candidate_seconds	delta_seconds
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	Alarm_06e9cad4.ltl	faster	REALIZABLE	1.771	REALIZABLE	1.636	-0.135
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	AllLights_06e9cad4.ltl	faster	UNREALIZABLE	1.612	UNREALIZABLE	1.498	-0.114
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	AllLights_aeb1d897.ltl	slower	UNREALIZABLE	2.461	UNREALIZABLE	2.862	+0.401
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	F-G-contradiction-110.ltl	gain	TIMEOUT		UNREALIZABLE	16.962	
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	F-G-contradiction-16.ltl	faster	UNREALIZABLE	9.114	UNREALIZABLE	5.261	-3.853
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	F-G-contradiction-17.ltl	faster	UNREALIZABLE	10.484	UNREALIZABLE	6.178	-4.306
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	F-G-contradiction-18.ltl	faster	UNREALIZABLE	11.942	UNREALIZABLE	7.332	-4.610
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	F-G-contradiction-19.ltl	faster	UNREALIZABLE	12.688	UNREALIZABLE	7.560	-5.128
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	GF-G-contradiction3.ltl	faster	UNREALIZABLE	1.532	UNREALIZABLE	1.303	-0.229
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	GF-G-contradiction4.ltl	faster	UNREALIZABLE	1.790	UNREALIZABLE	1.473	-0.317
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	GF-G-contradiction5.ltl	faster	UNREALIZABLE	2.180	UNREALIZABLE	1.792	-0.388
P0+P1a (not admitted)	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	GF-G-contradiction6.ltl	faster	UNREALIZABLE	15.866	UNREALIZABLE	12.254	-3.613
