instance	benefit_target	control_statuses	control_verdicts	control_solved_count	control_solved	treatment_statuses	treatment_verdicts	treatment_solved_count	treatment_solved	control_seconds	treatment_seconds	paired_delta_seconds	control_median_seconds	treatment_median_seconds	control_noise_seconds	lower_rounds_seconds	higher_rounds_seconds	faster_rounds	slower_rounds	control_scope_memory_peak_bytes	treatment_scope_memory_peak_bytes	paired_delta_scope_memory_peak_bytes	control_median_scope_memory_peak_bytes	treatment_median_scope_memory_peak_bytes	control_noise_scope_memory_peak_bytes	lower_rounds_scope_memory_peak_bytes	higher_rounds_scope_memory_peak_bytes	control_max_process_rss_bytes	treatment_max_process_rss_bytes	paired_delta_max_process_rss_bytes	control_median_max_process_rss_bytes	treatment_median_max_process_rss_bytes	control_noise_max_process_rss_bytes	lower_rounds_max_process_rss_bytes	higher_rounds_max_process_rss_bytes	correctness_fail	lost_verdict_rounds	new_failures	regression_threshold_seconds	regression_flag_seconds	validated_regression_seconds	regression_threshold_scope_memory_peak_bytes	regression_flag_scope_memory_peak_bytes	validated_regression_scope_memory_peak_bytes	regression_failures	regression_unresolved	flags	coverage_benefit	runtime_benefit	memory_benefit
SPIPureNext.ltl	true	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[0.5387842689960962, 0.5411175360059133, 0.5276151379948715, 0.5344107590062777, 0.5366826120007318]	[-16.461215731003904, -16.458882463994087, -16.47238486200513, -16.465589240993722, -16.46331738799927]	17.0	0.5366826120007318	0.0	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	[30081024, 29999104, 30093312, 30171136, 30093312]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	30093312	unavailable	unavailable	unavailable	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	"[""changed round statuses""]"	true	false	false
heim-double-x-real.ltl	true	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[0.44594468000286724, 0.41863569999986794, 0.4180163580022054, 0.40073970599041786, 0.4057074639858911]	[-16.554055319997133, -16.581364300000132, -16.581983641997795, -16.599260294009582, -16.59429253601411]	17.0	0.4180163580022054	0.0	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	[47411200, 47194112, 47599616, 47910912, 48898048]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	47599616	unavailable	unavailable	unavailable	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	"[""changed round statuses""]"	true	false	false
ordered-visits-choice-real.ltl	true	"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]"	[]	0	0/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[0.02466499300498981, 0.025127064989646897, 0.020398583001224324, 0.022770719006075524, 0.021881306995055638]	[-16.97533500699501, -16.974872935010353, -16.979601416998776, -16.977229280993924, -16.978118693004944]	17.0	0.022770719006075524	0.0	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[22278144, 22257664, 22269952, 22245376, 22278144]	[20045824, 19935232, 20062208, 19968000, 19992576]	[-2232320, -2322432, -2207744, -2277376, -2285568]	22269952	19992576	8192	5	0	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	"[""changed round statuses""]"	true	false	false
robot_grid_pb_5_5_pe_.ltl	true	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[9.350562706997152, 9.898126967993448, 9.195453088992508, 8.957006500000716, 9.46167227299884]	[-7.649437293002848, -7.1018730320065515, -7.804546911007492, -8.042993499999284, -7.53832772700116]	17.0	9.350562706997152	0.0	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	[1272737792, 1271296000, 1272864768, 1273253888, 1270755328]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	1272737792	unavailable	unavailable	unavailable	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	"[""changed round statuses""]"	true	false	false
thermostat-F-real.ltl	true	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[1.455773423993378, 1.5267412579996744, 1.4732000270014396, 1.4593164090038044, 1.4570486339944182]	[-15.544226576006622, -15.473258742000326, -15.52679997299856, -15.540683590996196, -15.542951366005582]	17.0	1.4593164090038044	0.0	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	[140664832, 143413248, 141053952, 139829248, 140898304]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	140898304	unavailable	unavailable	unavailable	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	"[""changed round statuses""]"	true	false	false
workstation_resupply_pb_3_pe_.ltl	true	"[""TIMEOUT"", ""REALIZABLE"", ""TIMEOUT"", ""REALIZABLE"", ""TIMEOUT""]"	"[""REALIZABLE""]"	2	2/5	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	[17.0, 16.446976052000537, 17.0, 16.53094240700011, 17.0]	[17.0, 17.0, 17.0, 17.0, 17.0]	[0.0, 0.5530239479994634, 0.0, 0.4690575929998886, 0.0]	17.0	17.0	0.0	0	2	[]	[2, 4]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", 320966656, ""unavailable"", 320733184, ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	false	[2, 4]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	"[""lower success rate — unresolved, blocks admission""]"	"[""lost verdict in paired rounds [2, 4]"", ""changed round statuses"", ""lower success rate — unresolved, blocks admission""]"	false	false	false
sort50.ltl	true	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[14.361098875000607, 14.33484998899803, 14.104580612998689, 14.16425548499683, 15.004395552998176]	[14.412471123010619, 14.978863224008819, 14.297679341005278, 14.353471456997795, 15.110875134007074]	[0.05137224801001139, 0.6440132350107888, 0.19309872800658923, 0.18921597200096585, 0.1064795810088981]	14.33484998899803	14.412471123010619	0.17059450400120113	0	5	[]	[1, 2, 3, 4, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[577712128, 577568768, 577839104, 577568768, 577593344]	[577642496, 577642496, 577638400, 577646592, 577630208]	[-69632, 73728, -200704, 77824, 36864]	577593344	577642496	24576	2	3	false	[]	[]	0.7167424994499015	false	false	unavailable	false	false	[]	[]	[]	false	false	false
amba_decomposed_arbiter_pb_5_pe_.ltl	true	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[0.10936109400063287, 0.1075294359907275, 0.11490512399177533, 0.10904734900395852, 0.11303170199971646]	[0.11116400000173599, 0.11518426499969792, 0.11459069700504187, 0.11437201900116634, 0.11164100900350604]	[0.0018029060011031106, 0.00765482900897041, -0.0003144269867334515, 0.00532466999720782, -0.0013906929962104186]	0.10936109400063287	0.11437201900116634	0.001831658009905368	2	3	[3, 5]	[1, 2, 4]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[31846400, 31838208, 31793152, 31744000, 31797248]	[31854592, 31875072, 31801344, 31883264, 31883264]	[8192, 36864, 8192, 139264, 86016]	31797248	31875072	40960	0	5	false	[]	[]	0.05	false	false	unavailable	false	false	[]	[]	[]	false	false	false
collector_v2_pb_12_pe_.ltl	true	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[0.7441745309915859, 0.7666524980013492, 0.815026898009819, 0.7957837650028523, 0.7804699760017684]	[0.7722094779892359, 0.7577956640016055, 0.7933942119998392, 0.7388882249942981, 0.7578186210012063]	[0.028034946997649968, -0.008856833999743685, -0.021632686009979807, -0.056895540008554235, -0.022651355000562035]	0.7804699760017684	0.7578186210012063	0.015313789001083933	4	1	[2, 3, 4, 5]	[1]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[101171200, 101453824, 101195776, 95440896, 101335040]	[101335040, 101167104, 101244928, 101285888, 101113856]	[163840, -286720, 49152, 5844992, -221184]	101195776	101244928	139264	2	3	false	[]	[]	0.05	false	false	unavailable	false	false	[]	[]	[]	false	false	false
Alarm_a5f99bc6.ltl	true	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[17.0, 17.0, 17.0, 17.0, 17.0]	[0.0, 0.0, 0.0, 0.0, 0.0]	17.0	17.0	0.0	0	0	[]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	[]	false	false	false
