solver_label	instance	tlsf_file	cap_s	result	seconds	exit_code	timed_out	resource_reason	expectation_source	stdout_bytes	stderr_bytes	run_index	acacia_sha	binary_sha256	preset	timestamp_utc	flags	cpu_seconds	max_process_rss_bytes	scope_memory_peak_bytes	memory_max	memory_swap_max	allowed_cpus	cpu_quota	collect_rusage	worker_records_dir	scope_unit
p4sel-treatment-r1	SPIPureNext.ltl	SPIPureNext.tlsf	17	REALIZABLE	0.5387842689960962	0	false		none	11	30	0	31144e84ff83fba3256ab4febd71b8c46f3061a7	147782251aac9556d6eac4fb3ac87b69da2e346b1fa56ce5169db6a53e2d97fa	otf_sparse_formula	2026-09-17T21:21:32.364241Z		2.070000	30081024		8G	0			true		acacia-syntcomp26-coverage-362157-09b04510f24e.scope
p4sel-treatment-r1	heim-double-x-real.ltl	heim-double-x-real.tlsf	17	REALIZABLE	0.44594468000286724	0	false		none	11	30	1	31144e84ff83fba3256ab4febd71b8c46f3061a7	147782251aac9556d6eac4fb3ac87b69da2e346b1fa56ce5169db6a53e2d97fa	otf_sparse_formula	2026-09-17T21:21:32.826478Z		1.700000	47411200		8G	0			true		acacia-syntcomp26-coverage-362157-4c6005b815a3.scope
p4sel-treatment-r1	ordered-visits-choice-real.ltl	ordered-visits-choice-real.tlsf	17	REALIZABLE	0.02466499300498981	0	false		none	11	30	2	31144e84ff83fba3256ab4febd71b8c46f3061a7	147782251aac9556d6eac4fb3ac87b69da2e346b1fa56ce5169db6a53e2d97fa	otf_sparse_formula	2026-09-17T21:21:32.863109Z		0.040000	20045824		8G	0			true		acacia-syntcomp26-coverage-362157-0d9c049193fc.scope
p4sel-treatment-r1	robot_grid_pb_5_5_pe_.ltl	robot_grid_pb_5_5_pe_.tlsf	17	REALIZABLE	9.350562706997152	0	false		none	11	33	3	31144e84ff83fba3256ab4febd71b8c46f3061a7	147782251aac9556d6eac4fb3ac87b69da2e346b1fa56ce5169db6a53e2d97fa	otf_sparse_formula	2026-09-17T21:21:42.224742Z		36.960000	1272737792		8G	0			true		acacia-syntcomp26-coverage-362157-eee94736d4e6.scope
p4sel-treatment-r1	thermostat-F-real.ltl	thermostat-F-real.tlsf	17	REALIZABLE	1.455773423993378	0	false		none	11	31	4	31144e84ff83fba3256ab4febd71b8c46f3061a7	147782251aac9556d6eac4fb3ac87b69da2e346b1fa56ce5169db6a53e2d97fa	otf_sparse_formula	2026-09-17T21:21:43.692206Z		5.730000	140664832		8G	0			true		acacia-syntcomp26-coverage-362157-35bdd4528a3d.scope
p4sel-treatment-r1	workstation_resupply_pb_3_pe_.ltl	workstation_resupply_pb_3_pe_.tlsf	17	TIMEOUT	17.050085030990886	124	true	timeout	none	0	8	5	31144e84ff83fba3256ab4febd71b8c46f3061a7	147782251aac9556d6eac4fb3ac87b69da2e346b1fa56ce5169db6a53e2d97fa	otf_sparse_formula	2026-09-17T21:22:00.752378Z					8G	0			true		acacia-syntcomp26-coverage-362157-b4406897a196.scope
p4sel-treatment-r1	sort50.ltl	sort50.tlsf	17	UNREALIZABLE	14.412471123010619	1	false		none	13	32	6	31144e84ff83fba3256ab4febd71b8c46f3061a7	147782251aac9556d6eac4fb3ac87b69da2e346b1fa56ce5169db6a53e2d97fa	otf_sparse_formula	2026-09-17T21:22:15.176179Z		57.290000	577642496		8G	0			true		acacia-syntcomp26-coverage-362157-c3018198d67f.scope
p4sel-treatment-r1	amba_decomposed_arbiter_pb_5_pe_.ltl	amba_decomposed_arbiter_pb_5_pe_.tlsf	17	REALIZABLE	0.11116400000173599	0	false		status	11	30	7	31144e84ff83fba3256ab4febd71b8c46f3061a7	147782251aac9556d6eac4fb3ac87b69da2e346b1fa56ce5169db6a53e2d97fa	otf_sparse_formula	2026-09-17T21:22:15.298860Z		0.370000	31854592		8G	0			true		acacia-syntcomp26-coverage-362157-8bf62c09c5c5.scope
p4sel-treatment-r1	collector_v2_pb_12_pe_.ltl	collector_v2_pb_12_pe_.tlsf	17	REALIZABLE	0.7722094779892359	0	false		none	11	30	8	31144e84ff83fba3256ab4febd71b8c46f3061a7	147782251aac9556d6eac4fb3ac87b69da2e346b1fa56ce5169db6a53e2d97fa	otf_sparse_formula	2026-09-17T21:22:16.082494Z		3.020000	101335040		8G	0			true		acacia-syntcomp26-coverage-362157-e713f8c52d66.scope
p4sel-treatment-r1	Alarm_a5f99bc6.ltl	Alarm_a5f99bc6.tlsf	17	TIMEOUT	17.14440601800743	124	true	timeout	status	0	8	9	31144e84ff83fba3256ab4febd71b8c46f3061a7	147782251aac9556d6eac4fb3ac87b69da2e346b1fa56ce5169db6a53e2d97fa	otf_sparse_formula	2026-09-17T21:22:33.263899Z					8G	0			true		acacia-syntcomp26-coverage-362157-140eb5b09ab9.scope
