solver_label	instance	tlsf_file	cap_s	result	seconds	exit_code	timed_out	resource_reason	expectation_source	stdout_bytes	stderr_bytes	run_index	acacia_sha	binary_sha256	preset	timestamp_utc	flags	cpu_seconds	max_process_rss_bytes	scope_memory_peak_bytes	memory_max	memory_swap_max	allowed_cpus	cpu_quota	collect_rusage	worker_records_dir	scope_unit
p4sel-control-r2	SPIPureNext.ltl	SPIPureNext.tlsf	17	TIMEOUT	17.054244173006737	124	true	timeout	none	0	8	0	31144e84ff83fba3256ab4febd71b8c46f3061a7	436e1a789c0e289c5a4a50843df9bad74a7d12ecd0bf23ff349a5abe7905ceda	otf_sparse_formula	2026-09-17T21:23:53.149367Z					8G	0			true		acacia-syntcomp26-coverage-362654-4a06ad1f02fe.scope
p4sel-control-r2	heim-double-x-real.ltl	heim-double-x-real.tlsf	17	TIMEOUT	17.0945251200028	124	true	timeout	none	0	8	1	31144e84ff83fba3256ab4febd71b8c46f3061a7	436e1a789c0e289c5a4a50843df9bad74a7d12ecd0bf23ff349a5abe7905ceda	otf_sparse_formula	2026-09-17T21:24:10.282701Z					8G	0			true		acacia-syntcomp26-coverage-362654-71bd952f80ac.scope
p4sel-control-r2	ordered-visits-choice-real.ltl	ordered-visits-choice-real.tlsf	17	UNKNOWN	0.4756765320053091	2	false		none	0	38	2	31144e84ff83fba3256ab4febd71b8c46f3061a7	436e1a789c0e289c5a4a50843df9bad74a7d12ecd0bf23ff349a5abe7905ceda	otf_sparse_formula	2026-09-17T21:24:10.770173Z		0.620000	22257664		8G	0			true		acacia-syntcomp26-coverage-362654-4cb3faf874e6.scope
p4sel-control-r2	robot_grid_pb_5_5_pe_.ltl	robot_grid_pb_5_5_pe_.tlsf	17	TIMEOUT	17.146122398000443	124	true	timeout	none	0	8	3	31144e84ff83fba3256ab4febd71b8c46f3061a7	436e1a789c0e289c5a4a50843df9bad74a7d12ecd0bf23ff349a5abe7905ceda	otf_sparse_formula	2026-09-17T21:24:27.954054Z					8G	0			true		acacia-syntcomp26-coverage-362654-21e237b2990c.scope
p4sel-control-r2	thermostat-F-real.ltl	thermostat-F-real.tlsf	17	TIMEOUT	17.085628934990382	124	true	timeout	none	0	8	4	31144e84ff83fba3256ab4febd71b8c46f3061a7	436e1a789c0e289c5a4a50843df9bad74a7d12ecd0bf23ff349a5abe7905ceda	otf_sparse_formula	2026-09-17T21:24:45.058435Z					8G	0			true		acacia-syntcomp26-coverage-362654-8ca8a397e505.scope
p4sel-control-r2	workstation_resupply_pb_3_pe_.ltl	workstation_resupply_pb_3_pe_.tlsf	17	REALIZABLE	16.446976052000537	0	false		none	11	32	5	31144e84ff83fba3256ab4febd71b8c46f3061a7	436e1a789c0e289c5a4a50843df9bad74a7d12ecd0bf23ff349a5abe7905ceda	otf_sparse_formula	2026-09-17T21:25:01.516519Z		50.410000	320966656		8G	0			true		acacia-syntcomp26-coverage-362654-a489db9e99e4.scope
p4sel-control-r2	sort50.ltl	sort50.tlsf	17	UNREALIZABLE	14.33484998899803	1	false		none	13	32	6	31144e84ff83fba3256ab4febd71b8c46f3061a7	436e1a789c0e289c5a4a50843df9bad74a7d12ecd0bf23ff349a5abe7905ceda	otf_sparse_formula	2026-09-17T21:25:15.862189Z		56.940000	577568768		8G	0			true		acacia-syntcomp26-coverage-362654-0650a13e715a.scope
p4sel-control-r2	amba_decomposed_arbiter_pb_5_pe_.ltl	amba_decomposed_arbiter_pb_5_pe_.tlsf	17	REALIZABLE	0.1075294359907275	0	false		status	11	30	7	31144e84ff83fba3256ab4febd71b8c46f3061a7	436e1a789c0e289c5a4a50843df9bad74a7d12ecd0bf23ff349a5abe7905ceda	otf_sparse_formula	2026-09-17T21:25:15.981321Z		0.380000	31838208		8G	0			true		acacia-syntcomp26-coverage-362654-4a3257896d58.scope
p4sel-control-r2	collector_v2_pb_12_pe_.ltl	collector_v2_pb_12_pe_.tlsf	17	REALIZABLE	0.7666524980013492	0	false		none	11	30	8	31144e84ff83fba3256ab4febd71b8c46f3061a7	436e1a789c0e289c5a4a50843df9bad74a7d12ecd0bf23ff349a5abe7905ceda	otf_sparse_formula	2026-09-17T21:25:16.759201Z		2.960000	101453824		8G	0			true		acacia-syntcomp26-coverage-362654-c09654374b5e.scope
p4sel-control-r2	Alarm_a5f99bc6.ltl	Alarm_a5f99bc6.tlsf	17	TIMEOUT	17.14404988400929	124	true	timeout	status	0	8	9	31144e84ff83fba3256ab4febd71b8c46f3061a7	436e1a789c0e289c5a4a50843df9bad74a7d12ecd0bf23ff349a5abe7905ceda	otf_sparse_formula	2026-09-17T21:25:33.939075Z					8G	0			true		acacia-syntcomp26-coverage-362654-25bdc47cc5ca.scope
