instance	benefit_target	control_statuses	control_verdicts	control_solved_count	control_solved	treatment_statuses	treatment_verdicts	treatment_solved_count	treatment_solved	control_seconds	treatment_seconds	paired_delta_seconds	control_median_seconds	treatment_median_seconds	control_noise_seconds	lower_rounds_seconds	higher_rounds_seconds	faster_rounds	slower_rounds	control_scope_memory_peak_bytes	treatment_scope_memory_peak_bytes	paired_delta_scope_memory_peak_bytes	control_median_scope_memory_peak_bytes	treatment_median_scope_memory_peak_bytes	control_noise_scope_memory_peak_bytes	lower_rounds_scope_memory_peak_bytes	higher_rounds_scope_memory_peak_bytes	control_max_process_rss_bytes	treatment_max_process_rss_bytes	paired_delta_max_process_rss_bytes	control_median_max_process_rss_bytes	treatment_median_max_process_rss_bytes	control_noise_max_process_rss_bytes	lower_rounds_max_process_rss_bytes	higher_rounds_max_process_rss_bytes	correctness_fail	lost_verdict_rounds	new_failures	regression_threshold_seconds	regression_flag_seconds	validated_regression_seconds	regression_threshold_scope_memory_peak_bytes	regression_flag_scope_memory_peak_bytes	validated_regression_scope_memory_peak_bytes	regression_failures	regression_unresolved	flags	coverage_benefit	runtime_benefit	memory_benefit
SPIPureNext.ltl	true	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[0.5229566509951837, 0.4972918200073764, 0.5166501709900331, 0.49357291699561756, 0.5313075360027142]	[-16.477043349004816, -16.502708179992624, -16.483349829009967, -16.506427083004382, -16.468692463997286]	17.0	0.5166501709900331	0.0	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	[30490624, 30420992, 30601216, 30502912, 30330880]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	30490624	unavailable	unavailable	unavailable	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	"[""changed round statuses""]"	true	false	false
heim-double-x-real.ltl	true	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[0.4631865130068036, 0.4106156200141413, 0.4417365670087747, 0.4306419740023557, 0.42888400999072473]	[-16.536813486993196, -16.58938437998586, -16.558263432991225, -16.569358025997644, -16.571115990009275]	17.0	0.4306419740023557	0.0	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	[48766976, 47476736, 49000448, 47546368, 47742976]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	47742976	unavailable	unavailable	unavailable	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	"[""changed round statuses""]"	true	false	false
ordered-visits-choice-real.ltl	true	"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]"	[]	0	0/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[0.038547652002307586, 0.02519188199948985, 0.04241786499915179, 0.025482312994427048, 0.023035539998090826]	[-16.961452347997692, -16.97480811800051, -16.957582135000848, -16.974517687005573, -16.97696446000191]	17.0	0.025482312994427048	0.0	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[22507520, 22544384, 22568960, 22544384, 22568960]	[20340736, 20246528, 20361216, 20312064, 20377600]	[-2166784, -2297856, -2207744, -2232320, -2191360]	22544384	20340736	24576	5	0	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	"[""changed round statuses""]"	true	false	false
robot_grid_pb_5_5_pe_.ltl	true	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[10.105811041998095, 8.973075070010964, 9.557614424003987, 8.876137655010098, 9.130670445010765]	[-6.894188958001905, -8.026924929989036, -7.442385575996013, -8.123862344989902, -7.8693295549892355]	17.0	9.130670445010765	0.0	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	[1268801536, 1273597952, 1272037376, 1273765888, 1272631296]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	1272631296	unavailable	unavailable	unavailable	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	"[""changed round statuses""]"	true	false	false
thermostat-F-real.ltl	true	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[1.534398431002046, 1.6716975510062184, 1.5443465129937977, 1.5486193289980292, 1.4817758620047243]	[-15.465601568997954, -15.328302448993782, -15.455653487006202, -15.45138067100197, -15.518224137995276]	17.0	1.5443465129937977	0.0	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	[145485824, 146141184, 142082048, 143704064, 139972608]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	143704064	unavailable	unavailable	unavailable	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	"[""changed round statuses""]"	true	false	false
workstation_resupply_pb_3_pe_.ltl	true	"[""REALIZABLE"", ""REALIZABLE"", ""TIMEOUT"", ""TIMEOUT"", ""REALIZABLE""]"	"[""REALIZABLE""]"	3	3/5	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	[16.55285309100873, 16.31134448001103, 17.0, 17.0, 16.511689599006786]	[17.0, 17.0, 17.0, 17.0, 17.0]	[0.44714690899127163, 0.6886555199889699, 0.0, 0.0, 0.488310400993214]	16.55285309100873	17.0	0.24150861099769827	0	3	[]	[1, 2, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[321224704, 321236992, ""unavailable"", ""unavailable"", 321224704]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	false	[1, 2, 5]	[]	0.8276426545504365	false	false	unavailable	false	false	[]	"[""lower success rate — unresolved, blocks admission""]"	"[""lost verdict in paired rounds [1, 2, 5]"", ""changed round statuses"", ""lower success rate — unresolved, blocks admission""]"	false	false	false
sort50.ltl	true	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[15.008613934987807, 14.93878226299421, 14.563236866990337, 13.956586269996478, 15.052632975988672]	[14.700942084004055, 14.641166918998351, 14.810620717995334, 14.181070933991577, 14.36337680798897]	[-0.30767185098375194, -0.297615343995858, 0.24738385100499727, 0.22448466399509925, -0.6892561679997016]	14.93878226299421	14.641166918998351	0.11385071299446281	3	2	[1, 2, 5]	[3, 4]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[577814528, 577761280, 577896448, 577863680, 577810432]	[577884160, 577843200, 577781760, 577843200, 578031616]	[69632, 81920, -114688, -20480, 221184]	577814528	577843200	49152	2	3	false	[]	[]	0.7469391131497105	false	false	unavailable	false	false	[]	[]	[]	false	false	false
amba_decomposed_arbiter_pb_5_pe_.ltl	true	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[0.11240453299251385, 0.11181600298732519, 0.11968792301195208, 0.12393386499024928, 0.11688622599467635]	[0.11287795699900016, 0.10959449899382889, 0.11943573399912566, 0.11710381599550601, 0.11851634200138506]	[0.00047342400648631155, -0.002221503993496299, -0.00025218901282642037, -0.006830048994743265, 0.001630116006708704]	0.11688622599467635	0.11710381599550601	0.004481693002162501	3	2	[2, 3, 4]	[1, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[31903744, 32059392, 32055296, 31993856, 32059392]	[21708800, 21577728, 21561344, 21495808, 21483520]	[-10194944, -10481664, -10493952, -10498048, -10575872]	32055296	21561344	4096	5	0	false	[]	[]	0.05	false	false	unavailable	false	false	[]	[]	[]	false	false	false
collector_v2_pb_12_pe_.ltl	true	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[0.7816463449998992, 0.7303532700025244, 0.7506504310003947, 0.8047607019980205, 0.7509984979988076]	[0.7288347510038875, 0.7829783609922742, 0.7827309450076427, 0.7683331700100098, 0.7962422130076448]	[-0.05281159399601165, 0.05262509098974988, 0.032080514007247984, -0.03642753198801074, 0.04524371500883717]	0.7509984979988076	0.7827309450076427	0.02064522799628321	2	3	[1, 4]	[2, 3, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[101232640, 101359616, 101376000, 101367808, 101359616]	[62681088, 62668800, 62570496, 62746624, 62652416]	[-38551552, -38690816, -38805504, -38621184, -38707200]	101359616	62668800	8192	5	0	false	[]	[]	0.05	false	false	unavailable	false	false	[]	[]	[]	false	false	false
Alarm_a5f99bc6.ltl	true	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[17.0, 17.0, 17.0, 17.0, 17.0]	[0.0, 0.0, 0.0, 0.0, 0.0]	17.0	17.0	0.0	0	0	[]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	[]	false	false	false
