solver_label	instance	tlsf_file	cap_s	result	seconds	exit_code	timed_out	resource_reason	expectation_source	stdout_bytes	stderr_bytes	run_index	acacia_sha	binary_sha256	preset	timestamp_utc	flags	cpu_seconds	max_process_rss_bytes	scope_memory_peak_bytes	memory_max	memory_swap_max	allowed_cpus	cpu_quota	collect_rusage	worker_records_dir	scope_unit
p4va-control-r2	SPIPureNext.ltl	SPIPureNext.tlsf	17	TIMEOUT	17.052965349997976	124	true	timeout	none	0	8	0	31144e84ff83fba3256ab4febd71b8c46f3061a7	e387ad22411e3b429a62b1559ad29216d301c57182aeebd960712d15dd75307f	otf_sparse_formula	2026-09-17T19:50:46.535586Z					8G	0			true		acacia-syntcomp26-coverage-336809-df4b221da2d7.scope
p4va-control-r2	heim-double-x-real.ltl	heim-double-x-real.tlsf	17	TIMEOUT	17.09115994500462	124	true	timeout	none	0	8	1	31144e84ff83fba3256ab4febd71b8c46f3061a7	e387ad22411e3b429a62b1559ad29216d301c57182aeebd960712d15dd75307f	otf_sparse_formula	2026-09-17T19:51:03.645196Z					8G	0			true		acacia-syntcomp26-coverage-336809-d92770071c81.scope
p4va-control-r2	ordered-visits-choice-real.ltl	ordered-visits-choice-real.tlsf	17	UNKNOWN	0.46176060699508525	2	false		none	0	38	2	31144e84ff83fba3256ab4febd71b8c46f3061a7	e387ad22411e3b429a62b1559ad29216d301c57182aeebd960712d15dd75307f	otf_sparse_formula	2026-09-17T19:51:04.118047Z		0.620000	22544384		8G	0			true		acacia-syntcomp26-coverage-336809-e230ad1e7a6d.scope
p4va-control-r2	robot_grid_pb_5_5_pe_.ltl	robot_grid_pb_5_5_pe_.tlsf	17	TIMEOUT	17.144252113997936	124	true	timeout	none	0	8	3	31144e84ff83fba3256ab4febd71b8c46f3061a7	e387ad22411e3b429a62b1559ad29216d301c57182aeebd960712d15dd75307f	otf_sparse_formula	2026-09-17T19:51:21.301367Z					8G	0			true		acacia-syntcomp26-coverage-336809-022ec53e24ae.scope
p4va-control-r2	thermostat-F-real.ltl	thermostat-F-real.tlsf	17	TIMEOUT	17.074640355989686	124	true	timeout	none	0	8	4	31144e84ff83fba3256ab4febd71b8c46f3061a7	e387ad22411e3b429a62b1559ad29216d301c57182aeebd960712d15dd75307f	otf_sparse_formula	2026-09-17T19:51:38.388322Z					8G	0			true		acacia-syntcomp26-coverage-336809-5a719edb5051.scope
p4va-control-r2	workstation_resupply_pb_3_pe_.ltl	workstation_resupply_pb_3_pe_.tlsf	17	REALIZABLE	16.31134448001103	0	false		none	11	32	5	31144e84ff83fba3256ab4febd71b8c46f3061a7	e387ad22411e3b429a62b1559ad29216d301c57182aeebd960712d15dd75307f	otf_sparse_formula	2026-09-17T19:51:54.710505Z		50.050000	321236992		8G	0			true		acacia-syntcomp26-coverage-336809-210d396b51c0.scope
p4va-control-r2	sort50.ltl	sort50.tlsf	17	UNREALIZABLE	14.93878226299421	1	false		none	13	32	6	31144e84ff83fba3256ab4febd71b8c46f3061a7	e387ad22411e3b429a62b1559ad29216d301c57182aeebd960712d15dd75307f	otf_sparse_formula	2026-09-17T19:52:09.660438Z		59.300000	577761280		8G	0			true		acacia-syntcomp26-coverage-336809-bdeab75bfbf3.scope
p4va-control-r2	amba_decomposed_arbiter_pb_5_pe_.ltl	amba_decomposed_arbiter_pb_5_pe_.tlsf	17	REALIZABLE	0.11181600298732519	0	false		status	11	30	7	31144e84ff83fba3256ab4febd71b8c46f3061a7	e387ad22411e3b429a62b1559ad29216d301c57182aeebd960712d15dd75307f	otf_sparse_formula	2026-09-17T19:52:09.783712Z		0.380000	32059392		8G	0			true		acacia-syntcomp26-coverage-336809-3272b41e141d.scope
p4va-control-r2	collector_v2_pb_12_pe_.ltl	collector_v2_pb_12_pe_.tlsf	17	REALIZABLE	0.7303532700025244	0	false		none	11	30	8	31144e84ff83fba3256ab4febd71b8c46f3061a7	e387ad22411e3b429a62b1559ad29216d301c57182aeebd960712d15dd75307f	otf_sparse_formula	2026-09-17T19:52:10.525172Z		2.860000	101359616		8G	0			true		acacia-syntcomp26-coverage-336809-05f04e346417.scope
p4va-control-r2	Alarm_a5f99bc6.ltl	Alarm_a5f99bc6.tlsf	17	TIMEOUT	17.145089402998565	124	true	timeout	status	0	8	9	31144e84ff83fba3256ab4febd71b8c46f3061a7	e387ad22411e3b429a62b1559ad29216d301c57182aeebd960712d15dd75307f	otf_sparse_formula	2026-09-17T19:52:27.704999Z					8G	0			true		acacia-syntcomp26-coverage-336809-e065dd576dad.scope
