solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
p4va-control-r5	SPIPureNext.ltl				true	TIMEOUT	17
p4va-control-r5	heim-double-x-real.ltl				true	TIMEOUT	17
p4va-control-r5	ordered-visits-choice-real.ltl				true	UNKNOWN	17
p4va-control-r5	robot_grid_pb_5_5_pe_.ltl				true	TIMEOUT	17
p4va-control-r5	thermostat-F-real.ltl				true	TIMEOUT	17
p4va-control-r5	workstation_resupply_pb_3_pe_.ltl	17	REALIZABLE	16.511689599006786	false	REALIZABLE	17
p4va-control-r5	sort50.ltl	17	UNREALIZABLE	15.052632975988672	false	UNREALIZABLE	17
p4va-control-r5	amba_decomposed_arbiter_pb_5_pe_.ltl	17	REALIZABLE	0.11688622599467635	false	REALIZABLE	17
p4va-control-r5	collector_v2_pb_12_pe_.ltl	17	REALIZABLE	0.7509984979988076	false	REALIZABLE	17
p4va-control-r5	Alarm_a5f99bc6.ltl				true	TIMEOUT	17
