target	mode	status	reason	row_generation_ms	closure_branches_considered	closure_guards_generated	boolean_conversion_calls	boolean_cache_hits	wall_s
06.ltl[1/1]	enumerative	ROW_FAILED	closure-buchi:guard_limit	0.000000	1723642	2000020	0	0	0.426
06.ltl[1/1]	symbolic-boolean	ROW_FAILED	closure-buchi:guard_limit	0.000000	1490589	2000020	0	1114439	0.377
07.ltl[1/1]	enumerative	ROW_FAILED	closure-buchi:guard_limit	0.000000	1723640	2000020	0	0	0.434
07.ltl[1/1]	symbolic-boolean	ROW_FAILED	closure-buchi:guard_limit	0.000000	1490588	2000020	0	1114438	0.385
arbiter-paper-unreal-unreal.ltl[1/1]	enumerative	ROW_FAILED	closure-buchi:guard_limit	0.000000	968539	2000024	0	0	0.24
arbiter-paper-unreal-unreal.ltl[1/1]	symbolic-boolean	ROW_FAILED	closure-buchi:guard_limit	0.000000	968538	2000024	0	1262709	0.243
chain-60.ltl[1/1]	enumerative	ROW_FAILED	closure-buchi:guard_limit	0.000000	381556	2000070	0	0	0.212
chain-60.ltl[1/1]	symbolic-boolean	ROW_FAILED	closure-buchi:guard_limit	0.000000	381555	2000070	1	1673549	0.209
CheckAlarm_6bea956e.ltl[1/1]	enumerative	ROW_COMPLETE	none	0.000000	114	71	0	0	0.005
CheckAlarm_6bea956e.ltl[1/1]	symbolic-boolean	ROW_COMPLETE	none	0.000000	114	79	0	8	0.005
collector_v1_pb_11_pe_.ltl[1/1]	enumerative	ROW_COMPLETE	none	0.000000	49153	22552	0	0	0.043
collector_v1_pb_11_pe_.ltl[1/1]	symbolic-boolean	ROW_COMPLETE	none	0.000000	49153	47129	0	47105	0.044
Demo1_06e9cad4.ltl[1/1]	enumerative	ROW_FAILED	closure-buchi:branch_limit	0.000000	1875157	1845291	0	0	0.892
Demo1_06e9cad4.ltl[1/1]	symbolic-boolean	ROW_FAILED	closure-buchi:branch_limit	0.000000	1875157	1845292	0	3	0.895
follow0.ltl[1/1]	enumerative	ROW_FAILED	closure-buchi:guard_limit	0.000000	860461	2000050	0	0	0.279
follow0.ltl[1/1]	symbolic-boolean	ROW_FAILED	closure-buchi:guard_limit	0.000000	860443	2000050	3	1232918	0.27
