instance	tlsf_file	family_key	family_display	origin_kind	parameter_confidence	parameter_names	parameter_values_json	parameter_dimension	tlsf_bytes	B_result	B_smallest_cap	B_seconds	S_result	S_smallest_cap	S_seconds	P_result	P_smallest_cap	P_seconds	P_winning_solver
amba_decomposed_decode.ltl	amba_decomposed_decode.tlsf	direct:tlsf/amba/amba_decomposed:amba_decomposed_decode	amba_decomposed_decode	direct	none		{}	0	614	REALIZABLE	1	0.01394759095273912	REALIZABLE	1	0.02081548993010074	REALIZABLE	1	0.01394759095273912	B
amba_decomposed_shift.ltl	amba_decomposed_shift.tlsf	direct:tlsf/amba/amba_decomposed:amba_decomposed_shift	amba_decomposed_shift	direct	none		{}	0	563	REALIZABLE	1	0.01706212293356657	REALIZABLE	1	0.014824204030446708	REALIZABLE	1	0.014824204030446708	B
amba_decomposed_tburst4.ltl	amba_decomposed_tburst4.tlsf	direct:tlsf/amba/amba_decomposed:amba_decomposed_tburst	amba_decomposed_tburst	direct	none		{}	0	1370	REALIZABLE	1	0.019681149977259338	REALIZABLE	1	0.023778636939823627	REALIZABLE	1	0.019681149977259338	B
amba_decomposed_tincr.ltl	amba_decomposed_tincr.tlsf	direct:tlsf/amba/amba_decomposed:amba_decomposed_tincr	amba_decomposed_tincr	direct	none		{}	0	1174	REALIZABLE	1	0.034153503947891295	REALIZABLE	1	0.03213165490888059	REALIZABLE	1	0.03213165490888059	B
amba_decomposed_tsingle.ltl	amba_decomposed_tsingle.tlsf	direct:tlsf/amba/amba_decomposed:amba_decomposed_tsingle	amba_decomposed_tsingle	direct	none		{}	0	1138	REALIZABLE	1	0.047144878073595464	REALIZABLE	1	0.037938060937449336	REALIZABLE	1	0.037938060937449336	B
amba_gr+_pb_2_pe_.ltl	amba_gr+_pb_2_pe_.tlsf	direct:tlsf/amba/amba_gr1/specs:amba_gr+_pb_2_pe	amba_gr+_pb_2_pe	direct	none		{}	0	5057	TIMEOUT		60.27559329604264	TIMEOUT		60.212558269966394	TIMEOUT			
amba_gr+_pb_3_pe_.ltl	amba_gr+_pb_3_pe_.tlsf	direct:tlsf/amba/amba_gr1/specs:amba_gr+_pb_3_pe	amba_gr+_pb_3_pe	direct	none		{}	0	6019	TIMEOUT		60.17538751102984	TIMEOUT		60.14552867691964	TIMEOUT			
amba_gr_pb_2_pe_.ltl	amba_gr_pb_2_pe_.tlsf	direct:tlsf/amba/amba_gr1/specs:amba_gr_pb_2_pe	amba_gr_pb_2_pe	direct	none		{}	0	5022	TIMEOUT		60.22391062800307	TIMEOUT		60.22564738697838	TIMEOUT			
amba_gr_pb_3_pe_.ltl	amba_gr_pb_3_pe_.tlsf	direct:tlsf/amba/amba_gr1/specs:amba_gr_pb_3_pe	amba_gr_pb_3_pe	direct	none		{}	0	5984	TIMEOUT		60.174982361029834	TIMEOUT		60.08342361100949	TIMEOUT			
amba_gr_pb_4_pe_.ltl	amba_gr_pb_4_pe_.tlsf	direct:tlsf/amba/amba_gr1/specs:amba_gr_pb_4_pe	amba_gr_pb_4_pe	direct	none		{}	0	6764	TIMEOUT		60.12510762002785	TIMEOUT		60.12476144405082	TIMEOUT			
01.ltl	01.tlsf	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct	none		{}	0	1467	REALIZABLE	1	0.03448499401565641	REALIZABLE	1	0.0262037810171023	REALIZABLE	1	0.0262037810171023	B
02.ltl	02.tlsf	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct	none		{}	0	3107	REALIZABLE	1	0.04516907501965761	REALIZABLE	1	0.046989995054900646	REALIZABLE	1	0.04516907501965761	B
03.ltl	03.tlsf	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct	none		{}	0	9590	REALIZABLE	5	2.7433707390446216	REALIZABLE	5	3.0311864599352702	REALIZABLE	5	2.7433707390446216	B
