family_key	family_display	origin_kind	orderable	parameter_names	parameter_dimension	classification	count	solved_count	unsolved_count	min_unsolved_tlsf_bytes	largest_solved_parameter	first_unsolved_parameter	first_unsolved_instance	immediate_solved_predecessor	predecessor_time	minimal_unsolved_points_json	maximal_solved_points_json	hole_witness_pairs_json
direct:tlsf/amba/amba_decomposed:amba_decomposed_decode	amba_decomposed_decode	direct	false			all_solved	1	1	0							[]	[]	[]
direct:tlsf/amba/amba_decomposed:amba_decomposed_shift	amba_decomposed_shift	direct	false			all_solved	1	1	0							[]	[]	[]
direct:tlsf/amba/amba_decomposed:amba_decomposed_tburst	amba_decomposed_tburst	direct	false			all_solved	1	1	0							[]	[]	[]
direct:tlsf/amba/amba_decomposed:amba_decomposed_tincr	amba_decomposed_tincr	direct	false			all_solved	1	1	0							[]	[]	[]
direct:tlsf/amba/amba_decomposed:amba_decomposed_tsingle	amba_decomposed_tsingle	direct	false			all_solved	1	1	0							[]	[]	[]
direct:tlsf/amba/amba_gr1/specs:amba_gr+_pb_2_pe	amba_gr+_pb_2_pe	direct	false			singleton_hard	1	0	1	5057						[]	[]	[]
direct:tlsf/amba/amba_gr1/specs:amba_gr+_pb_3_pe	amba_gr+_pb_3_pe	direct	false			singleton_hard	1	0	1	6019						[]	[]	[]
direct:tlsf/amba/amba_gr1/specs:amba_gr_pb_2_pe	amba_gr_pb_2_pe	direct	false			singleton_hard	1	0	1	5022						[]	[]	[]
direct:tlsf/amba/amba_gr1/specs:amba_gr_pb_3_pe	amba_gr_pb_3_pe	direct	false			singleton_hard	1	0	1	5984						[]	[]	[]
direct:tlsf/amba/amba_gr1/specs:amba_gr_pb_4_pe	amba_gr_pb_4_pe	direct	false			singleton_hard	1	0	1	6764						[]	[]	[]
direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct	false			all_solved	12	12	0							[]	[]	[]
direct:tlsf/lily:lilydemo	lilydemo	direct	false			all_solved	23	23	0							[]	[]	[]
direct:tlsf/lily:lilydemo04_modified	lilydemo04_modified	direct	false			all_solved	1	1	0							[]	[]	[]
direct:tlsf/ltl2dba/non_parametric_from_acacia:ltl2dba	ltl2dba	direct	false			all_solved	26	26	0							[]	[]	[]
direct:tlsf/ltl2dpa:ltl2dpa	ltl2dpa	direct	false			all_solved	23	23	0							[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:finding_nemo_pb_1_pe	finding_nemo_pb_1_pe	direct	false			all_solved	1	1	0							[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:finding_nemo_pb_2_pe	finding_nemo_pb_2_pe	direct	false			all_solved	1	1	0							[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:finding_nemo_pb_3_pe	finding_nemo_pb_3_pe	direct	false			singleton_hard	1	0	1	6195						[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:finding_nemo_pb_4_pe	finding_nemo_pb_4_pe	direct	false			singleton_hard	1	0	1	8982						[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:finding_nemo_pb_5_pe	finding_nemo_pb_5_pe	direct	false			singleton_hard	1	0	1	12345						[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:finding_nemo_pb_6_pe	finding_nemo_pb_6_pe	direct	false			singleton_hard	1	0	1	16374						[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:finding_nemo_pb_7_pe	finding_nemo_pb_7_pe	direct	false			singleton_hard	1	0	1	21003						[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:workstation_resupply_pb_1_pe	workstation_resupply_pb_1_pe	direct	false			all_solved	1	1	0							[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:workstation_resupply_pb_2_pe	workstation_resupply_pb_2_pe	direct	false			all_solved	1	1	0							[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:workstation_resupply_pb_3_pe	workstation_resupply_pb_3_pe	direct	false			singleton_hard	1	0	1	5987						[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:workstation_resupply_pb_4_pe	workstation_resupply_pb_4_pe	direct	false			singleton_hard	1	0	1	8430						[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:workstation_resupply_pb_5_pe	workstation_resupply_pb_5_pe	direct	false			singleton_hard	1	0	1	11309						[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:workstation_resupply_pb_6_pe	workstation_resupply_pb_6_pe	direct	false			singleton_hard	1	0	1	14624						[]	[]	[]
direct:tlsf/ltl_f/generated_TLSF:workstation_resupply_pb_7_pe	workstation_resupply_pb_7_pe	direct	false			singleton_hard	1	0	1	18375						[]	[]	[]
direct:tlsf/sweap:F-G-contradiction	F-G-contradiction	direct	false			mixed_direct	15	6	9	94022						[]	[]	[]
direct:tlsf/sweap:F-G-contradiction-2-unreal	F-G-contradiction-2-unreal	direct	false			all_solved	1	1	0							[]	[]	[]
direct:tlsf/sweap:GF-G-contradiction	GF-G-contradiction	direct	false			mixed_direct	8	3	5	59785						[]	[]	[]
