target,diag_index,diag_kind,checkpoint,wrapper_returncode,wrapper_timed_out,wrapper_stdout_bytes,wrapper_stderr_bytes,pid,instance,path,translation_pref,rsimp_ms,rsimp_changed,syntactic_bypass,syntactic_bypass_ms,translation_ms,aut_states,aut_edges,fast_class,fast_class_ms,fast_solve_ms,fast_verdict,preproc,preproc_ms,preproc_states_before,preproc_states_after,preproc_edges_before,preproc_edges_after,cap_census_ms,cap_k,cap_states_at_k,cap_states_finite,cap_states_zero,cap_counting_states,cap_finite_counting_states,simulation_census_ms,simulation_states_after,simulation_states_removed,bool_threshold,max_f,max_f_size,loops,k_attempts,local_probe_runs,local_probe_status,local_probe_forward_apps,local_probe_skipped_over_budget,local_probe_nodes,cpre_skipped,k_bumped_by_local_refutation,cpre_ms,picker_ms,apply_ms,downset_ms,actions_seen,meets_computed,meet_batches,alphabet_input_paths,alphabet_input_nodes,alphabet_output_paths,alphabet_output_nodes,alphabet_bdd_nodes,alphabet_max_output_paths,alphabet_max_output_nodes,alphabet_minimal_output_nodes,alphabet_dominance_tests,alphabet_dominance_declines,alphabet_census_ms,alphabet_dominance_ms,decoded_transition_sets,decoded_unique_transition_sets,decode_ms,equivariant,eq_clients,eq_blocks,eq_orbits,sym_families,sym_indices,sym_matrix,sym_subsets,sym_selected,sym_orbit_sizes,sym_blocks,sym_shared,solve_ms,total_ms,result,final_reason,source_format,tlsf_effective_target,tlsf_gr_level,tlsf_semantics,tlsf_target
amba_case_study_pb_3_pe_.ltl,1,progress,after-action-construction,124,1,0,123442,1627948,amba_case_study_pb_3_pe_.ltl,real,small,2,0,fallback,0,7625,104,478,gfg-disabled,0,0,fallback,aut_preprocessors::standard,0,104,104,478,478,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,162,162,165888,134784,418773,1024,832,0,0,0,30,0,134784,134784,3464,declined:too few indexed clients,0,0,0,-,-,-,-,-,-,-,-,0,12309,unknown,unknown,tlsf,Mealy,-1,Mealy,Mealy
amba_case_study_pb_3_pe_.ltl,2,progress,after-decomposition,124,1,0,123442,1627948,amba_case_study_pb_3_pe_.ltl,real,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,tlsf,Mealy,-1,Mealy,Mealy
amba_case_study_pb_3_pe_.ltl,3,progress,after-preprocessing,124,1,0,123442,1627948,amba_case_study_pb_3_pe_.ltl,real,small,2,0,fallback,0,7625,104,478,gfg-disabled,0,0,fallback,aut_preprocessors::standard,0,104,104,478,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,7628,unknown,unknown,tlsf,Mealy,-1,Mealy,Mealy
amba_case_study_pb_3_pe_.ltl,4,progress,after-rsimp,124,1,0,123442,1627948,amba_case_study_pb_3_pe_.ltl,real,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,tlsf,Mealy,-1,Mealy,Mealy
amba_case_study_pb_3_pe_.ltl,5,progress,after-spot-fast,124,1,0,123442,1627948,amba_case_study_pb_3_pe_.ltl,real,small,2,0,fallback,0,7625,104,478,gfg-disabled,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,7628,unknown,unknown,tlsf,Mealy,-1,Mealy,Mealy
amba_case_study_pb_3_pe_.ltl,6,progress,after-translation,124,1,0,123442,1627948,amba_case_study_pb_3_pe_.ltl,real,small,2,0,fallback,0,7625,104,478,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,7628,unknown,unknown,tlsf,Mealy,-1,Mealy,Mealy
amba_case_study_pb_3_pe_.ltl,7,progress,alphabet-census,124,1,0,123442,1627948,amba_case_study_pb_3_pe_.ltl,real,small,2,0,fallback,0,7625,104,478,gfg-disabled,0,0,fallback,aut_preprocessors::standard,0,104,104,478,478,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,162,162,165888,134784,418773,1024,832,0,0,0,30,0,0,0,0,declined:too few indexed clients,0,0,0,-,-,-,-,-,-,-,-,0,8322,unknown,unknown,tlsf,Mealy,-1,Mealy,Mealy
amba_case_study_pb_3_pe_.ltl,8,progress,before-solve,124,1,0,123442,1627948,amba_case_study_pb_3_pe_.ltl,real,small,2,0,fallback,0,7625,104,478,gfg-disabled,0,0,fallback,aut_preprocessors::standard,0,104,104,478,478,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,7628,unknown,unknown,tlsf,Mealy,-1,Mealy,Mealy
amba_case_study_pb_3_pe_.ltl,9,progress,classic-after-cpre,124,1,0,123442,1627948,amba_case_study_pb_3_pe_.ltl,real,small,2,0,fallback,0,7625,104,478,gfg-disabled,0,0,fallback,aut_preprocessors::standard,0,104,104,478,478,0,0,0,0,0,0,0,0,0,0,20,2840,2840,64,2,0,none,0,0,0,0,0,36298.2,5249.83,12072.4,24219.2,53248,57654279,64,162,162,165888,134784,418773,1024,832,0,0,0,30,0,134784,134784,3464,declined:too few indexed clients,0,0,0,-,-,-,-,-,-,-,-,0,53858,unknown,unknown,tlsf,Mealy,-1,Mealy,Mealy
amba_case_study_pb_3_pe_.ltl,10,progress,classic-after-picker,124,1,0,123442,1627948,amba_case_study_pb_3_pe_.ltl,real,small,2,0,fallback,0,7625,104,478,gfg-disabled,0,0,fallback,aut_preprocessors::standard,0,104,104,478,478,0,0,0,0,0,0,0,0,0,0,20,2840,2840,64,2,0,none,0,0,0,0,0,35994,5249.83,11896.5,24091.1,52416,57310273,63,162,162,165888,134784,418773,1024,832,0,0,0,30,0,134784,134784,3464,declined:too few indexed clients,0,0,0,-,-,-,-,-,-,-,-,0,53554,unknown,unknown,tlsf,Mealy,-1,Mealy,Mealy
