rank	score	instance	tlsf_file	family_key	family_display	origin_kind	parameter_values_json	parameter_dimension	tlsf_bytes	expectation	unsolved_result	failure_kind	neighbour_instance	neighbour_params_json	neighbour_seconds	neighbour_result	pair_kind	score_breakdown
1	40	amba_case_study_pb_3_pe_.ltl	amba_case_study_pb_3_pe_.tlsf	param:tlsf/amba/amba/parametric/amba_case_study.tlsf	amba_case_study	param	"{""n"": 3}"	1	7395	none	TIMEOUT	time_limit	amba_case_study_pb_2_pe_.ltl	"{""n"":2}"	0.9308039869647473	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
2	40	amba_decomposed_arbiter_pb_7_pe_.ltl	amba_decomposed_arbiter_pb_7_pe_.tlsf	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	amba_decomposed_arbiter	param	"{""n"": 7}"	1	2269	realizable	TIMEOUT	time_limit	amba_decomposed_arbiter_pb_6_pe_.ltl	"{""n"":6}"	1.1554492310388014	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
3	40	amba_decomposed_encode_pb_20_pe_.ltl	amba_decomposed_encode_pb_20_pe_.tlsf	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	amba_decomposed_encode	param	"{""n"": 20}"	1	2432	realizable	TIMEOUT	time_limit	amba_decomposed_encode_pb_16_pe_.ltl	"{""n"":16}"	0.8028807360678911	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
4	40	arbiter_on_inpchange_pb_5_pe_.ltl	arbiter_on_inpchange_pb_5_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	arbiter_on_inpchange	param	"{""n"": 5}"	1	1327	none	TIMEOUT	time_limit	arbiter_on_inpchange_pb_4_pe_.ltl	"{""n"":4}"	1.2906023460673168	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
5	40	arbiter_pb_6_pe_.ltl	arbiter_pb_6_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	arbiter	param	"{""n"": 6}"	1	1352	none	TIMEOUT	time_limit	arbiter_pb_5_pe_.ltl	"{""n"":5}"	0.41484881192445755	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
6	40	arbiter_with_buffer_pb_6_pe_.ltl	arbiter_with_buffer_pb_6_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	arbiter_with_buffer	param	"{""n"": 6}"	1	1129	none	TIMEOUT	time_limit	arbiter_with_buffer_pb_5_pe_.ltl	"{""n"":5}"	4.657058052020147	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
7	40	arbiter_with_cancel_pb_6_pe_.ltl	arbiter_with_cancel_pb_6_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	arbiter_with_cancel	param	"{""n"": 6}"	1	1848	none	TIMEOUT	time_limit	arbiter_with_cancel_pb_5_pe_.ltl	"{""n"":5}"	1.3234717140439898	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
8	40	chomp_pb_2_4_pe_.ltl	chomp_pb_2_4_pe_.tlsf	param:tlsf/chomp_game/parametric/chomp.tlsf	chomp	param	"{""N"": 2, ""M"": 4}"	2	2970	realizable	TIMEOUT	time_limit	chomp_pb_2_3_pe_.ltl	"{""N"":2,""M"":3}"	3.2606341149657965	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
9	40	chomp_pb_3_3_pe_.ltl	chomp_pb_3_3_pe_.tlsf	param:tlsf/chomp_game/parametric/chomp.tlsf	chomp	param	"{""N"": 3, ""M"": 3}"	2	2970	realizable	TIMEOUT	time_limit	chomp_pb_3_2_pe_.ltl	"{""N"":3,""M"":2}"	3.1990205920301378	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
10	40	chomp_pb_4_2_pe_.ltl	chomp_pb_4_2_pe_.tlsf	param:tlsf/chomp_game/parametric/chomp.tlsf	chomp	param	"{""N"": 4, ""M"": 2}"	2	2970	realizable	TIMEOUT	time_limit	chomp_pb_3_2_pe_.ltl	"{""N"":3,""M"":2}"	3.1990205920301378	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
