rank	score	score_breakdown	selection_reason	instance	tlsf_file	family_key	family_display	parameter_values_json	tlsf_bytes	unsolved_result	failure_kind	aut_states_max	aut_edges_max	numeric_rank_coordinates	actions_seen_sum	max_f_size_max	loops_max	k_attempts_max	worker_count	diagnostics_present	neighbour_instance	neighbour_params_json	neighbour_seconds	neighbour_result	pair_kind
1	49	minimal+12,unsolved+10,nbr5s+8,aut100+6,act2000+3,rank64+4,tlsf20k+3,cutoff+3	score	arbiter_on_inpchange_pb_5_pe_.ltl	arbiter_on_inpchange_pb_5_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	arbiter_on_inpchange	"{""n"": 5}"	1327	TIMEOUT	time_limit	53	130	16	736	243	5	1	18	true	arbiter_on_inpchange_pb_4_pe_.ltl	"{""n"":4}"	1.2906023460673168	REALIZABLE	cover
2	46	minimal+12,unsolved+10,nbr5s+8,aut100+6,rank64+4,tlsf20k+3,cutoff+3	score	chomp_pb_4_2_pe_.ltl	chomp_pb_4_2_pe_.tlsf	param:tlsf/chomp_game/parametric/chomp.tlsf	chomp	"{""N"": 4, ""M"": 2}"	2970	TIMEOUT	time_limit	75	470	22	30070	2	1902	34	21	true	chomp_pb_3_2_pe_.ltl	"{""N"":3,""M"":2}"	3.1990205920301378	REALIZABLE	cover
3	46	minimal+12,unsolved+10,nbr5s+8,aut100+6,rank64+4,tlsf20k+3,cutoff+3	score	full_arbiter_unreal1_pb_3_8_pe_.ltl	full_arbiter_unreal1_pb_3_8_pe_.tlsf	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1	"{""n"": 3, ""u"": 8}"	1842	TIMEOUT	time_limit	40	65	7	14120	19	373	34	18	true	full_arbiter_unreal1_pb_2_8_pe_.ltl	"{""n"":2,""u"":8}"	0.023844068055041134	UNREALIZABLE	cover
4	46	minimal+12,unsolved+10,nbr5s+8,aut100+6,rank64+4,tlsf20k+3,cutoff+3	score	full_arbiter_unreal1_pb_4_6_pe_.ltl	full_arbiter_unreal1_pb_4_6_pe_.tlsf	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1	"{""n"": 4, ""u"": 6}"	1836	TIMEOUT	time_limit	52	86	9	25968	43	301	34	18	true	full_arbiter_unreal1_pb_3_6_pe_.ltl	"{""n"":3,""u"":6}"	1.3740547569468617	UNREALIZABLE	cover
5	46	minimal+12,unsolved+10,nbr5s+8,aut100+6,rank64+4,tlsf20k+3,cutoff+3	score	full_arbiter_unreal2_pb_5_pe_.ltl	full_arbiter_unreal2_pb_5_pe_.tlsf	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal2.tlsf	full_arbiter_unreal2	"{""n"": 5}"	1823	TIMEOUT	time_limit	43	95	21	249408	315	1850	34	18	true	full_arbiter_unreal2_pb_4_pe_.ltl	"{""n"":4}"	4.799529746058397	UNREALIZABLE	cover
6	46	minimal+12,unsolved+10,nbr5s+8,aut100+6,rank64+4,tlsf20k+3,cutoff+3	score	prioritized_arbiter_pb_7_pe_.ltl	prioritized_arbiter_pb_7_pe_.tlsf	param:tlsf/prioritized_arbiter/parametric/prioritized_arbiter.tlsf	prioritized_arbiter	"{""n"": 7}"	1855	TIMEOUT	time_limit	47	139	43	30100344	1051	1664657	34	42	true	prioritized_arbiter_pb_6_pe_.ltl	"{""n"":6}"	0.41450733493547887	REALIZABLE	cover
7	46	minimal+12,unsolved+10,nbr5s+8,aut100+6,rank64+4,tlsf20k+3,cutoff+3	score	rw_arbiter_pb_4_pe_.ltl	rw_arbiter_pb_4_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	rw_arbiter	"{""n"": 4}"	2123	TIMEOUT	time_limit	39	105	17	17664	2000	16	2	17	true	rw_arbiter_pb_3_pe_.ltl	"{""n"":3}"	0.7697880920022726	REALIZABLE	cover
8	44	minimal+12,unsolved+10,nbr5s+8,aut300+4,rank64+4,tlsf20k+3,cutoff+3	score	amba_case_study_pb_3_pe_.ltl	amba_case_study_pb_3_pe_.tlsf	param:tlsf/amba/amba/parametric/amba_case_study.tlsf	amba_case_study	"{""n"": 3}"	7395	TIMEOUT	time_limit	104	478	20	253248	2840	75	3	17	true	amba_case_study_pb_2_pe_.ltl	"{""n"":2}"	0.9308039869647473	REALIZABLE	cover
9	44	minimal+12,unsolved+10,nbr5s+8,aut300+4,rank64+4,tlsf20k+3,cutoff+3	score	load_balancer_unreal1_pb_5_6_pe_.ltl	load_balancer_unreal1_pb_5_6_pe_.tlsf	param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1	"{""n"": 5, ""u"": 6}"	1871	TIMEOUT	time_limit	210	739	17	50110	118	305	34	18	true	load_balancer_unreal1_pb_4_6_pe_.ltl	"{""n"":4,""u"":6}"	1.012876237044111	UNREALIZABLE	cover
10	42	minimal+12,unsolved+10,nbr5s+8,aut300+4,rank256+2,tlsf20k+3,cutoff+3	score	lift_gr1+_pb_3_pe_.ltl	lift_gr1+_pb_3_pe_.tlsf	param:tlsf/lift/parametric/lift_gr1+.tlsf	lift_gr1+	"{""n"": 3}"	3234	TIMEOUT	time_limit	270	3710	136	87281993	9262	340775	18	40	true	lift_gr1+_pb_2_pe_.ltl	"{""n"":2}"	0.039298087009228766	REALIZABLE	cover
11	42	minimal+12,unsolved+10,nbr5s+8,aut300+4,rank256+2,tlsf20k+3,cutoff+3	score	lift_gr1_pb_3_pe_.ltl	lift_gr1_pb_3_pe_.tlsf	param:tlsf/lift/parametric/lift_gr1.tlsf	lift_gr1	"{""n"": 3}"	3294	TIMEOUT	time_limit	225	2758	91	115278358	21588	773730	34	42	true	lift_gr1_pb_2_pe_.ltl	"{""n"":2}"	0.025112343952059746	REALIZABLE	cover
12	41	minimal+12,unsolved+10,nbr5s+8,act2000+3,rank256+2,tlsf20k+3,cutoff+3	score	robot_grid_pb_3_3_pe_.ltl	robot_grid_pb_3_3_pe_.tlsf	param:tlsf/robot_grid/parametric/robot_grid.tlsf	robot_grid	"{""xN"": 3, ""yN"": 3}"	5795	TIMEOUT	time_limit	10514	384827	82	721	8192	16	1	19	true	robot_grid_pb_2_2_pe_.ltl	"{""xN"":2,""yN"":2}"	0.028204491012729704	REALIZABLE	cover
13	41	minimal+12,unsolved+10,nbr5s+8,act2000+3,rank256+2,tlsf20k+3,cutoff+3	score	round_robin_arbiter_unreal1_pb_3_9_pe_.ltl	round_robin_arbiter_unreal1_pb_3_9_pe_.tlsf	param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1	"{""n"": 3, ""u"": 9}"	1989	TIMEOUT	time_limit	755	10148	99	1288	12959	35	2	17	true	round_robin_arbiter_unreal1_pb_2_9_pe_.ltl	"{""n"":2,""u"":9}"	0.04020173498429358	UNREALIZABLE	cover
14	40	minimal+12,unsolved+10,nbr5s+8,rank64+4,tlsf20k+3,cutoff+3	score	arbiter_with_buffer_pb_6_pe_.ltl	arbiter_with_buffer_pb_6_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	arbiter_with_buffer	"{""n"": 6}"	1129	TIMEOUT	time_limit	1377	352512	19	188416	1984	8	2	21	true	arbiter_with_buffer_pb_5_pe_.ltl	"{""n"":5}"	4.657058052020147	REALIZABLE	cover
15	40	minimal+12,unsolved+10,nbr5s+8,rank64+4,tlsf20k+3,cutoff+3	score	arbiter_with_cancel_pb_6_pe_.ltl	arbiter_with_cancel_pb_6_pe_.tlsf	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	arbiter_with_cancel	"{""n"": 6}"	1848	TIMEOUT	time_limit	1120	320368	13	5952	3501	16	2	20	true	arbiter_with_cancel_pb_5_pe_.ltl	"{""n"":5}"	1.3234717140439898	REALIZABLE	cover
16	40	minimal+12,unsolved+10,nbr5s+8,act500+4,tlsf20k+3,cutoff+3	score	collector_v1_pb_11_pe_.ltl	collector_v1_pb_11_pe_.tlsf	param:tlsf/collector/parametric/collector_v1.tlsf	collector_v1	"{""n"": 11}"	492	TIMEOUT	time_limit	15372	1041744	15371	90	64	15	1	23	true	collector_v1_pb_9_pe_.ltl	"{""n"":9}"	2.7098509030183777	REALIZABLE	cover
17	40	minimal+12,unsolved+10,nbr5s+8,rank64+4,tlsf20k+3,cutoff+3	score	collector_v3_pb_9_pe_.ltl	collector_v3_pb_9_pe_.tlsf	param:tlsf/collector/parametric/collector_v3.tlsf	collector_v3	"{""n"": 9}"	566	TIMEOUT	time_limit	2835	147025	10	0	0	0	0	10	true	collector_v3_pb_7_pe_.ltl	"{""n"":7}"	0.9186115009943023	REALIZABLE	cover
18	40	minimal+12,unsolved+10,nbr5s+8,rank64+4,tlsf20k+3,cutoff+3	score	simple_arbiter_with_hints_pb_8_pe_.ltl	simple_arbiter_with_hints_pb_8_pe_.tlsf	param:tlsf/ltl_with_hints/parametric/simple_arbiter_with_hints.tlsf	simple_arbiter_with_hints	"{""n"": 8}"	2330	TIMEOUT	time_limit	1607	148666	9	22272	8806	25	3	21	true	simple_arbiter_with_hints_pb_6_pe_.ltl	"{""n"":6}"	2.2578052220633253	REALIZABLE	cover
19	20	unsolved+10,aut100+6,rank64+4	memory_quota	robot-to-target-charging3.ltl	robot-to-target-charging3.tlsf	direct:tlsf/sweap:robot-to-target-charging	robot-to-target-charging	{}	33987	MEMOUT	memory_limit	99	226	20	1558304	1	2	1	22	true					none
20	19	unsolved+10,aut300+4,rank256+2,tlsf20k+3	memory_quota	Morning2_06e9cad4.ltl	Morning2_06e9cad4.tlsf	direct:tlsf/tsl_smart_home_jarvis/extracted-benchmarks:Morning	Morning	{}	5976	MEMOUT	memory_limit	198	3114	183	0	0	0	0	17	true					none
