instance	result	exit_code	seconds	cap_s
01.ltl	REALIZABLE	0	0.024557874996389728	120
02.ltl	REALIZABLE	0	0.0406583719959599	120
03.ltl	REALIZABLE	0	2.9464555039994593	120
05.ltl	REALIZABLE	0	13.372841657008394	120
06.ltl	REALIZABLE	0	17.922925520000717	120
07.ltl	REALIZABLE	0	20.768214159999843	120
08.ltl	REALIZABLE	0	29.955598024003848	120
09.ltl	REALIZABLE	0	7.793998271998134	120
10.ltl	REALIZABLE	0	3.575173041997914	120
11.ltl	REALIZABLE	0	3.30509820700172	120
12.ltl	REALIZABLE	0	5.278738375996909	120
13.ltl	REALIZABLE	0	5.636402137002733	120
ActionConverter.ltl	REALIZABLE	0	0.01927201999933459	120
AlarmMin_efe2feaf.ltl	REALIZABLE	0	0.020243042999936733	120
Alarm_06e9cad4.ltl	REALIZABLE	0	1.7820108699961565	120
Alarm_2d1010f8.ltl	REALIZABLE	0	0.02160580900090281	120
Alarm_68c86764.ltl	REALIZABLE	0	1.8105178400001023	120
Alarm_70523fbe.ltl	REALIZABLE	0	0.9554274580004858	120
Alarm_88c5c1c3.ltl	REALIZABLE	0	0.02626292800414376	120
Alarm_9cac58d3.ltl	REALIZABLE	0	0.02800674500031164	120
Alarm_a5f99bc6.ltl	REALIZABLE	0	20.832378166000126	120
Alarm_f2774e0b.ltl	REALIZABLE	0	0.9434607279981719	120
AllHeating_d6376bf9.ltl	REALIZABLE	0	0.02101856700028293	120
AllLights_06e9cad4.ltl	UNREALIZABLE	1	1.706423965995782	120
AllLights_2c5b09da.ltl	UNREALIZABLE	1	0.9333428709942382	120
AllLights_63831f8c.ltl	UNREALIZABLE	1	1.6017027989873895	120
AllLights_aeb1d897.ltl	UNREALIZABLE	1	2.554614827997284	120
AllLights_b209ff21.ltl	UNREALIZABLE	1	2.4899107999999615	120
AllLights_d6c5ac79.ltl	UNREALIZABLE	1	2.4679433279998193	120
AllShades_66f450a4.ltl	UNREALIZABLE	1	1.6954881550045684	120
Assumptions_a50cadd7.ltl	UNREALIZABLE	1	0.02278981100243982	120
Automata.ltl	REALIZABLE	0	0.04777055699378252	120
Automata16S.ltl	REALIZABLE	0	65.37591195899586	120
Automata32S.ltl	TIMEOUT	124	120.20513807800307	120
Button.ltl	REALIZABLE	0	0.02187576198775787	120
CheckAlarmBroken1_1a2942e3.ltl	REALIZABLE	0	0.014738593003130518	120
CheckAlarm_6bea956e.ltl	UNREALIZABLE	1	0.022102629999608325	120
CheckCoffeMachineBroken1_a5f99bc6.ltl	REALIZABLE	0	0.023644116998184472	120
CheckCoffeMachine_3461125b.ltl	UNREALIZABLE	1	0.021590659001958556	120
CheckCoffeMachine_f3987563.ltl	UNREALIZABLE	1	0.022298679003142752	120
CheckDoor_c2b9e44d.ltl	UNREALIZABLE	1	0.020631166000384837	120
CheckHeating_2418b67e.ltl	UNREALIZABLE	1	0.019236744999943767	120
CheckHeating_3461125b.ltl	UNREALIZABLE	1	0.020899961004033685	120
CheckLight_007df645.ltl	UNREALIZABLE	1	0.021020045001932885	120
CheckLight_aeb1d897.ltl	UNREALIZABLE	1	0.03470159400603734	120
CheckRoom_06e9cad4.ltl	UNREALIZABLE	1	0.02076318900071783	120
CheckRoom_2c5b09da.ltl	UNREALIZABLE	1	0.0246802470064722	120
CheckRoom_3916ec59.ltl	UNREALIZABLE	1	0.024976238997624023	120
CheckRoom_70523fbe.ltl	UNREALIZABLE	1	0.020726370000375027	120
CheckShades_1a2942e3.ltl	UNREALIZABLE	1	0.02805049400194548	120
CheckShades_3461125b.ltl	UNREALIZABLE	1	0.020931335995555855	120
CheckShades_4d4ca5c4.ltl	UNREALIZABLE	1	0.018969959000060044	120
CheckShades_aeb1d897.ltl	UNREALIZABLE	1	0.019025765999685973	120
CheckTime_3916ec59.ltl	UNREALIZABLE	1	0.021810004996950738	120
CheckTime_4b5e6eaa.ltl	UNREALIZABLE	1	0.029948940995382145	120
CheckTime_54e1f7d2.ltl	UNREALIZABLE	1	0.01714928200817667	120
CheckTimer_54e1f7d2.ltl	UNREALIZABLE	1	0.0257333089975873	120
CheckTimer_fa8592c8.ltl	UNREALIZABLE	1	0.025338403997011483	120
CheckWarnlightBroken1_70523fbe.ltl	REALIZABLE	0	0.01886712000123225	120
CheckWarnlight_1cf58fc1.ltl	UNREALIZABLE	1	0.01833500000066124	120
CheckWarnlight_4b5a2bad.ltl	UNREALIZABLE	1	0.04089586099871667	120
CheckWarnlight_54e1f7d2.ltl	UNREALIZABLE	1	0.018866341997636482	120
CheckWarnlight_6bea956e.ltl	UNREALIZABLE	1	0.02746310799921048	120
CheckWindows_54e1f7d2.ltl	UNREALIZABLE	1	0.02866223599994555	120
Cockpitboard.ltl	REALIZABLE	0	0.016096095001557842	120
Cockpitboard_efe2feaf.ltl	REALIZABLE	0	0.020825537001655903	120
CoffeMachine_974f4a68.ltl	REALIZABLE	0	0.04052075800427701	120
CoffeMachine_a50cadd7.ltl	UNREALIZABLE	1	0.020162224005616736	120
