instance,result,seconds,exit
01.ltl,REALIZABLE,0.026015081006335095,0
02.ltl,REALIZABLE,0.04273856000509113,0
03.ltl,REALIZABLE,3.228723035004805,0
05.ltl,REALIZABLE,13.963627663993975,0
06.ltl,REALIZABLE,18.146374816991738,0
07.ltl,REALIZABLE,20.078307853007573,0
08.ltl,REALIZABLE,29.917744926991872,0
09.ltl,REALIZABLE,8.377740807991358,0
10.ltl,REALIZABLE,3.7011868080007844,0
11.ltl,REALIZABLE,3.2335121399955824,0
12.ltl,REALIZABLE,5.441633089998504,0
13.ltl,REALIZABLE,5.73249322900665,0
ActionConverter.ltl,REALIZABLE,0.018450132993166335,0
AlarmMin_efe2feaf.ltl,REALIZABLE,0.021428567997645587,0
Alarm_06e9cad4.ltl,REALIZABLE,1.5835608470079023,0
Alarm_2d1010f8.ltl,REALIZABLE,0.027676448997226544,0
Alarm_68c86764.ltl,REALIZABLE,1.837455601998954,0
Alarm_70523fbe.ltl,REALIZABLE,0.9400765219761524,0
Alarm_88c5c1c3.ltl,REALIZABLE,0.024189735006075352,0
Alarm_9cac58d3.ltl,REALIZABLE,0.01928449199476745,0
Alarm_a5f99bc6.ltl,REALIZABLE,20.00373999000294,0
Alarm_f2774e0b.ltl,REALIZABLE,0.9387879900168628,0
AllHeating_d6376bf9.ltl,REALIZABLE,0.01950305499485694,0
AllLights_06e9cad4.ltl,UNREALIZABLE,1.5914781799947377,1
AllLights_2c5b09da.ltl,UNREALIZABLE,0.8876319820119534,1
AllLights_63831f8c.ltl,UNREALIZABLE,1.6331167450116482,1
AllLights_aeb1d897.ltl,UNREALIZABLE,2.4954180319909938,1
AllLights_b209ff21.ltl,UNREALIZABLE,2.5661726920079673,1
AllLights_d6c5ac79.ltl,UNREALIZABLE,2.6875592569995206,1
AllShades_66f450a4.ltl,UNREALIZABLE,1.829066940001212,1
Assumptions_a50cadd7.ltl,UNREALIZABLE,0.022832073998870328,1
Automata.ltl,REALIZABLE,0.0552178299985826,0
Automata16S.ltl,REALIZABLE,65.30458419400384,0
Automata32S.ltl,TIMEOUT,120.0,124
Button.ltl,REALIZABLE,0.015896038006758317,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.02355021599214524,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.025384615000803024,1
CheckCoffeMachineBroken1_a5f99bc6.ltl,REALIZABLE,0.026286621010513045,0
CheckCoffeMachine_3461125b.ltl,UNREALIZABLE,0.021888862989726476,1
CheckCoffeMachine_f3987563.ltl,UNREALIZABLE,0.025475734990322962,1
CheckDoor_c2b9e44d.ltl,UNREALIZABLE,0.01883615400583949,1
CheckHeating_2418b67e.ltl,UNREALIZABLE,0.018297005008207634,1
CheckHeating_3461125b.ltl,UNREALIZABLE,0.01910219798446633,1
CheckLight_007df645.ltl,UNREALIZABLE,0.03818119000061415,1
CheckLight_aeb1d897.ltl,UNREALIZABLE,0.025610516997403465,1
CheckRoom_06e9cad4.ltl,UNREALIZABLE,0.018603716991492547,1
CheckRoom_2c5b09da.ltl,UNREALIZABLE,0.01645860400458332,1
CheckRoom_3916ec59.ltl,UNREALIZABLE,0.01668641300057061,1
CheckRoom_70523fbe.ltl,UNREALIZABLE,0.02634337700146716,1
CheckShades_1a2942e3.ltl,UNREALIZABLE,0.018045860997517593,1
CheckShades_3461125b.ltl,UNREALIZABLE,0.020221959974151105,1
CheckShades_4d4ca5c4.ltl,UNREALIZABLE,0.019103441009065136,1
CheckShades_aeb1d897.ltl,UNREALIZABLE,0.029064516013022512,1
CheckTime_3916ec59.ltl,UNREALIZABLE,0.015728544007288292,1
CheckTime_4b5e6eaa.ltl,UNREALIZABLE,0.018961442008730955,1
CheckTime_54e1f7d2.ltl,UNREALIZABLE,0.03598939802031964,1
CheckTimer_54e1f7d2.ltl,UNREALIZABLE,0.022082108014728874,1
CheckTimer_fa8592c8.ltl,UNREALIZABLE,0.01631681900471449,1
CheckWarnlightBroken1_70523fbe.ltl,REALIZABLE,0.027347141003701836,0
CheckWarnlight_1cf58fc1.ltl,UNREALIZABLE,0.02269202400930226,1
CheckWarnlight_4b5a2bad.ltl,UNREALIZABLE,0.03081792200100608,1
CheckWarnlight_54e1f7d2.ltl,UNREALIZABLE,0.019577414001105353,1
CheckWarnlight_6bea956e.ltl,UNREALIZABLE,0.02040670700080227,1
CheckWindows_54e1f7d2.ltl,UNREALIZABLE,0.01545221300330013,1
Cockpitboard.ltl,REALIZABLE,0.026077465998241678,0
Cockpitboard_efe2feaf.ltl,REALIZABLE,0.04003161599393934,0
CoffeMachine_974f4a68.ltl,REALIZABLE,0.028235271995072253,0
CoffeMachine_a50cadd7.ltl,UNREALIZABLE,0.020480942010181025,1
CoffeeMin_88f351a6.ltl,REALIZABLE,0.022666687989840284,0
Coffee_06e9cad4.ltl,REALIZABLE,0.036768646008567885,0
Coffee_235467da.ltl,REALIZABLE,0.022552334994543344,0
Coffee_2c5b09da.ltl,REALIZABLE,0.04116378500475548,0
Coffee_6479ef9a.ltl,REALIZABLE,0.023910122996312566,0
Coffee_d6376bf9.ltl,REALIZABLE,0.02146795400767587,0
Coffee_efe2feaf.ltl,REALIZABLE,0.025224558004993014,0
Coffee_f1477cc5.ltl,UNREALIZABLE,0.026032377005321905,1
Core_4b5a2bad.ltl,UNREALIZABLE,0.029327299998840317,1
Core_66f450a4.ltl,UNREALIZABLE,0.028590396002982743,1
Core_fa4d4ce3.ltl,UNREALIZABLE,0.031226778999553062,1
Core_solved_974f4a68.ltl,REALIZABLE,0.03081465300056152,0
Demo1_06e9cad4.ltl,TIMEOUT,120.0,124
Demo1_2c5b09da.ltl,TIMEOUT,120.0,124
Demo1_63831f8c.ltl,TIMEOUT,120.0,124
Demo1_c2b9e44d.ltl,TIMEOUT,120.0,124
Demo1_d65ed84e.ltl,TIMEOUT,120.0,124
DeviceBehaviorChec_fa8592c8.ltl,UNREALIZABLE,0.022389808000298217,1
Door_2d1010f8.ltl,REALIZABLE,0.03444170200964436,0
EnemeyModule.ltl,REALIZABLE,0.017419334006262943,0
EscalatorBidirectional.ltl,REALIZABLE,0.04020828800275922,0
EscalatorBidirectionalInit.ltl,REALIZABLE,0.020902188000036404,0
EscalatorCounting.ltl,REALIZABLE,0.02101141399180051,0
EscalatorCountingInit.ltl,REALIZABLE,0.016999114013742656,0
EscalatorNonCounting.ltl,REALIZABLE,0.016740243998356164,0
EscalatorNonReactive.ltl,REALIZABLE,0.023986450003576465,0
EscalatorSmart.ltl,REALIZABLE,0.049614509000093676,0
Example1_d6376bf9.ltl,REALIZABLE,0.021650629001669586,0
F-G-contradiction-10.ltl,UNREALIZABLE,0.03414907999103889,1
F-G-contradiction-11.ltl,UNREALIZABLE,0.049932638998143375,1
F-G-contradiction-110.ltl,UNREALIZABLE,28.32856152000022,1
F-G-contradiction-111.ltl,UNREALIZABLE,29.107545564998873,1
F-G-contradiction-112.ltl,RESOURCE_LIMIT,120.0,-15
F-G-contradiction-113.ltl,RESOURCE_LIMIT,120.0,-15
F-G-contradiction-114.ltl,TIMEOUT,120.0,124
F-G-contradiction-12.ltl,UNREALIZABLE,0.06530502201349009,1
F-G-contradiction-13.ltl,UNREALIZABLE,0.1333530050033005,1
F-G-contradiction-14.ltl,UNREALIZABLE,0.299577625002712,1
F-G-contradiction-15.ltl,UNREALIZABLE,0.32603478799865115,1
F-G-contradiction-16.ltl,UNREALIZABLE,9.412618791990099,1
