instance,result,seconds,exit
01.ltl,REALIZABLE,0.02158170801703818,0
02.ltl,REALIZABLE,0.04747117598890327,0
03.ltl,REALIZABLE,3.0401281020021997,0
05.ltl,REALIZABLE,13.34602494200226,0
06.ltl,TIMEOUT,17.0,124
07.ltl,TIMEOUT,17.0,124
08.ltl,TIMEOUT,17.0,124
09.ltl,REALIZABLE,8.255118950997712,0
10.ltl,REALIZABLE,3.6856034889933653,0
11.ltl,REALIZABLE,3.581398327019997,0
12.ltl,REALIZABLE,5.251269835978746,0
13.ltl,REALIZABLE,5.406458548997762,0
ActionConverter.ltl,REALIZABLE,0.019649128982564434,0
AlarmMin_efe2feaf.ltl,REALIZABLE,0.022268226981395856,0
Alarm_06e9cad4.ltl,REALIZABLE,1.73234401200898,0
Alarm_2d1010f8.ltl,REALIZABLE,0.032000773993786424,0
Alarm_68c86764.ltl,REALIZABLE,1.7063121079991106,0
Alarm_70523fbe.ltl,REALIZABLE,0.9468805429933127,0
Alarm_88c5c1c3.ltl,REALIZABLE,0.0174442469724454,0
Alarm_9cac58d3.ltl,REALIZABLE,0.02121442899806425,0
Alarm_a5f99bc6.ltl,TIMEOUT,17.0,124
Alarm_f2774e0b.ltl,REALIZABLE,0.9176830220094416,0
AllHeating_d6376bf9.ltl,REALIZABLE,0.022205351007869467,0
AllLights_06e9cad4.ltl,UNREALIZABLE,1.645963847025996,1
AllLights_2c5b09da.ltl,UNREALIZABLE,0.9414321549993474,1
AllLights_63831f8c.ltl,UNREALIZABLE,1.5882473249803297,1
AllLights_aeb1d897.ltl,UNREALIZABLE,2.7835244169982616,1
AllLights_b209ff21.ltl,UNREALIZABLE,2.5917960810184013,1
AllLights_d6c5ac79.ltl,UNREALIZABLE,2.520500707993051,1
AllShades_66f450a4.ltl,UNREALIZABLE,1.7746045910171233,1
Assumptions_a50cadd7.ltl,UNREALIZABLE,0.022067882993724197,1
Automata.ltl,REALIZABLE,0.04529636600636877,0
