instance	result	exit_code	seconds	cap_s
01.ltl	REALIZABLE	0	0.02158170801703818	17
02.ltl	REALIZABLE	0	0.04747117598890327	17
03.ltl	REALIZABLE	0	3.0401281020021997	17
05.ltl	REALIZABLE	0	13.34602494200226	17
06.ltl	TIMEOUT	124	17.037063235999085	17
07.ltl	TIMEOUT	124	17.037019835988758	17
08.ltl	TIMEOUT	124	17.03715988001204	17
09.ltl	REALIZABLE	0	8.255118950997712	17
10.ltl	REALIZABLE	0	3.6856034889933653	17
11.ltl	REALIZABLE	0	3.581398327019997	17
12.ltl	REALIZABLE	0	5.251269835978746	17
13.ltl	REALIZABLE	0	5.406458548997762	17
ActionConverter.ltl	REALIZABLE	0	0.019649128982564434	17
AlarmMin_efe2feaf.ltl	REALIZABLE	0	0.022268226981395856	17
Alarm_06e9cad4.ltl	REALIZABLE	0	1.73234401200898	17
Alarm_2d1010f8.ltl	REALIZABLE	0	0.032000773993786424	17
Alarm_68c86764.ltl	REALIZABLE	0	1.7063121079991106	17
Alarm_70523fbe.ltl	REALIZABLE	0	0.9468805429933127	17
Alarm_88c5c1c3.ltl	REALIZABLE	0	0.0174442469724454	17
Alarm_9cac58d3.ltl	REALIZABLE	0	0.02121442899806425	17
Alarm_a5f99bc6.ltl	TIMEOUT	124	17.143166686000768	17
Alarm_f2774e0b.ltl	REALIZABLE	0	0.9176830220094416	17
AllHeating_d6376bf9.ltl	REALIZABLE	0	0.022205351007869467	17
AllLights_06e9cad4.ltl	UNREALIZABLE	1	1.645963847025996	17
AllLights_2c5b09da.ltl	UNREALIZABLE	1	0.9414321549993474	17
AllLights_63831f8c.ltl	UNREALIZABLE	1	1.5882473249803297	17
AllLights_aeb1d897.ltl	UNREALIZABLE	1	2.7835244169982616	17
AllLights_b209ff21.ltl	UNREALIZABLE	1	2.5917960810184013	17
AllLights_d6c5ac79.ltl	UNREALIZABLE	1	2.520500707993051	17
AllShades_66f450a4.ltl	UNREALIZABLE	1	1.7746045910171233	17
Assumptions_a50cadd7.ltl	UNREALIZABLE	1	0.022067882993724197	17
Automata.ltl	REALIZABLE	0	0.04529636600636877	17
Automata16S.ltl	TIMEOUT	124	17.092276372015476	17
Automata32S.ltl	TIMEOUT	124	17.08959235198563	17
Button.ltl	REALIZABLE	0	0.018387799005722627	17
CheckAlarmBroken1_1a2942e3.ltl	REALIZABLE	0	0.02682068300782703	17
CheckAlarm_6bea956e.ltl	UNREALIZABLE	1	0.01709893101360649	17
CheckCoffeMachineBroken1_a5f99bc6.ltl	REALIZABLE	0	0.018551036017015576	17
CheckCoffeMachine_3461125b.ltl	UNREALIZABLE	1	0.026747341005830094	17
CheckCoffeMachine_f3987563.ltl	UNREALIZABLE	1	0.020804328989470378	17
CheckDoor_c2b9e44d.ltl	UNREALIZABLE	1	0.02569724401109852	17
CheckHeating_2418b67e.ltl	UNREALIZABLE	1	0.02030102099524811	17
CheckHeating_3461125b.ltl	UNREALIZABLE	1	0.03135388201917522	17
CheckLight_007df645.ltl	UNREALIZABLE	1	0.033126855007139966	17
CheckLight_aeb1d897.ltl	UNREALIZABLE	1	0.016264571982901543	17
CheckRoom_06e9cad4.ltl	UNREALIZABLE	1	0.020099337009014562	17
CheckRoom_2c5b09da.ltl	UNREALIZABLE	1	0.01576962400577031	17
CheckRoom_3916ec59.ltl	UNREALIZABLE	1	0.019528675999026746	17
CheckRoom_70523fbe.ltl	UNREALIZABLE	1	0.014456696022534743	17
CheckShades_1a2942e3.ltl	UNREALIZABLE	1	0.020399959001224488	17
CheckShades_3461125b.ltl	UNREALIZABLE	1	0.02215013199020177	17
CheckShades_4d4ca5c4.ltl	UNREALIZABLE	1	0.02514419797807932	17
CheckShades_aeb1d897.ltl	UNREALIZABLE	1	0.02409677198738791	17
CheckTime_3916ec59.ltl	UNREALIZABLE	1	0.01908397499937564	17
CheckTime_4b5e6eaa.ltl	UNREALIZABLE	1	0.02194668198353611	17
CheckTime_54e1f7d2.ltl	UNREALIZABLE	1	0.03540552800404839	17
CheckTimer_54e1f7d2.ltl	UNREALIZABLE	1	0.025496611022390425	17
CheckTimer_fa8592c8.ltl	UNREALIZABLE	1	0.03317804500693455	17
CheckWarnlightBroken1_70523fbe.ltl	REALIZABLE	0	0.02478015099768527	17
CheckWarnlight_1cf58fc1.ltl	UNREALIZABLE	1	0.01959770600660704	17
CheckWarnlight_4b5a2bad.ltl	UNREALIZABLE	1	0.02552074901177548	17
CheckWarnlight_54e1f7d2.ltl	UNREALIZABLE	1	0.02282404201105237	17
CheckWarnlight_6bea956e.ltl	UNREALIZABLE	1	0.014978463994339108	17
CheckWindows_54e1f7d2.ltl	UNREALIZABLE	1	0.017507832002593204	17
Cockpitboard.ltl	REALIZABLE	0	0.016198244004044682	17
Cockpitboard_efe2feaf.ltl	REALIZABLE	0	0.03639354498591274	17
CoffeMachine_974f4a68.ltl	REALIZABLE	0	0.018598755006678402	17
CoffeMachine_a50cadd7.ltl	UNREALIZABLE	1	0.030049197986954823	17
CoffeeMin_88f351a6.ltl	REALIZABLE	0	0.023060007020831108	17
Coffee_06e9cad4.ltl	REALIZABLE	0	0.03402337300940417	17
Coffee_235467da.ltl	REALIZABLE	0	0.046052633988438174	17
Coffee_2c5b09da.ltl	REALIZABLE	0	0.03489900901331566	17
Coffee_6479ef9a.ltl	REALIZABLE	0	0.028470606019254774	17
Coffee_d6376bf9.ltl	REALIZABLE	0	0.024652497988427058	17
Coffee_efe2feaf.ltl	REALIZABLE	0	0.032235653983661905	17
Coffee_f1477cc5.ltl	UNREALIZABLE	1	0.02407615300035104	17
Core_4b5a2bad.ltl	UNREALIZABLE	1	0.023589339980389923	17
Core_66f450a4.ltl	UNREALIZABLE	1	0.03254204598488286	17
Core_fa4d4ce3.ltl	UNREALIZABLE	1	0.03961184399668127	17
Core_solved_974f4a68.ltl	REALIZABLE	0	0.05096007100655697	17
Demo1_06e9cad4.ltl	TIMEOUT	124	17.092259255994577	17
Demo1_2c5b09da.ltl	TIMEOUT	124	17.09271537497989	17
Demo1_63831f8c.ltl	TIMEOUT	124	17.091841150977416	17
Demo1_c2b9e44d.ltl	TIMEOUT	124	17.08739052899182	17
Demo1_d65ed84e.ltl	TIMEOUT	124	17.095135190000292	17
DeviceBehaviorChec_fa8592c8.ltl	UNREALIZABLE	1	0.023938261001603678	17
Door_2d1010f8.ltl	REALIZABLE	0	0.026741756999399513	17
EnemeyModule.ltl	REALIZABLE	0	0.020508144021732733	17
EscalatorBidirectional.ltl	REALIZABLE	0	0.03695798999979161	17
EscalatorBidirectionalInit.ltl	REALIZABLE	0	0.0314174180093687	17
EscalatorCounting.ltl	REALIZABLE	0	0.018518058990594	17
EscalatorCountingInit.ltl	REALIZABLE	0	0.01740642500226386	17
EscalatorNonCounting.ltl	REALIZABLE	0	0.017886974004795775	17
EscalatorNonReactive.ltl	REALIZABLE	0	0.02640011301264167	17
EscalatorSmart.ltl	REALIZABLE	0	0.044811555999331176	17
Example1_d6376bf9.ltl	REALIZABLE	0	0.018514413997763768	17
F-G-contradiction-10.ltl	UNREALIZABLE	1	0.032172277016798034	17
F-G-contradiction-11.ltl	UNREALIZABLE	1	0.057199934002710506	17
F-G-contradiction-110.ltl	TIMEOUT	124	17.14546734499163	17
F-G-contradiction-111.ltl	TIMEOUT	124	17.143959555978654	17
F-G-contradiction-112.ltl	TIMEOUT	124	17.085802173009142	17
F-G-contradiction-113.ltl	TIMEOUT	124	17.07227521299501	17
F-G-contradiction-114.ltl	TIMEOUT	124	17.090656987013062	17
F-G-contradiction-12.ltl	UNREALIZABLE	1	0.06808023800840601	17
F-G-contradiction-13.ltl	UNREALIZABLE	1	0.14872484799707308	17
F-G-contradiction-14.ltl	UNREALIZABLE	1	0.3118690040137153	17
F-G-contradiction-15.ltl	UNREALIZABLE	1	0.36364775599213317	17
F-G-contradiction-16.ltl	UNREALIZABLE	1	8.852981188014382	17
F-G-contradiction-17.ltl	UNREALIZABLE	1	10.053841188986553	17
F-G-contradiction-18.ltl	UNREALIZABLE	1	12.487160405988107	17
F-G-contradiction-19.ltl	UNREALIZABLE	1	13.025355210993439	17
F-G-contradiction-2-unreal.ltl	UNREALIZABLE	1	0.027118793019326404	17
FelixSpecFixed2.2.core_fa8592c8.ltl	UNREALIZABLE	1	0.0207506779988762	17
FelixSpecFixed2_fa4d4ce3.ltl	TIMEOUT	124	17.0892467010126	17
FelixSpecFixed3.core_b209ff21.ltl	UNREALIZABLE	1	0.05453984800260514	17
FelixSpecFixed3_b0840146.ltl	TIMEOUT	124	17.09005161499954	17
FelixSpecFixed4GuaranteesOnly_88f351a6.ltl	UNREALIZABLE	1	0.020073388004675508	17
FelixSpecFixed4_3916ec59.ltl	TIMEOUT	124	17.08873443401535	17
FelixSpecFixed5_f82794da.ltl	TIMEOUT	124	17.09351084800437	17
FelixSpecFixed_2418b67e.ltl	TIMEOUT	124	17.090244424005505	17
Full_f1477cc5.ltl	TIMEOUT	124	17.09338583398494	17
GF-G-contradiction0.ltl	UNREALIZABLE	1	0.043982862000120804	17
GF-G-contradiction1.ltl	UNREALIZABLE	1	0.062836780998623	17
GF-G-contradiction2.ltl	UNREALIZABLE	1	0.2484839370008558	17
GF-G-contradiction3.ltl	UNREALIZABLE	1	1.7258734369825106	17
GF-G-contradiction4.ltl	UNREALIZABLE	1	1.8162594129971694	17
GF-G-contradiction5.ltl	UNREALIZABLE	1	2.358135743008461	17
GF-G-contradiction6.ltl	UNREALIZABLE	1	15.544192136992933	17
GF-G-contradiction7.ltl	UNREALIZABLE	1	16.653308770008152	17
Gamelogic.ltl	REALIZABLE	0	0.03229789002216421	17
GamemodeChooser.ltl	REALIZABLE	0	0.0208702550153248	17
Gamemodule.ltl	REALIZABLE	0	0.023400195001158863	17
HeatingMin_d6c5ac79.ltl	REALIZABLE	0	0.02503929997328669	17
Heating_235467da.ltl	REALIZABLE	0	0.0352187380194664	17
Heating_974f4a68.ltl	REALIZABLE	0	0.04201346600893885	17
Heating_b02056d6.ltl	REALIZABLE	0	0.026891421002801508	17
Heating_b209ff21.ltl	REALIZABLE	0	0.023838603985495865	17
Increment.ltl	REALIZABLE	0	0.03668379900045693	17
