instance,result,seconds,exit
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.022,1
CheckShades_4d4ca5c4.ltl,UNREALIZABLE,0.04,1
EnemeyModule.ltl,REALIZABLE,0.036,0
EscalatorNonCounting.ltl,REALIZABLE,0.029,0
F-G-contradiction-13.ltl,UNREALIZABLE,0.035,1
F-G-contradiction-15.ltl,UNREALIZABLE,0.031,1
KitchenTimerV7.ltl,REALIZABLE,0.026,0
OneCounterGuiA8.ltl,UNREALIZABLE,0.027,1
SensorPart.ltl,REALIZABLE,0.023,0
TwoCountersDisButA5.ltl,UNREALIZABLE,0.038,1
TwoCountersInRangeM1.ltl,UNREALIZABLE,0.031,1
Window2_aeb1d897.ltl,REALIZABLE,0.043,0
Window_54e1f7d2.ltl,REALIZABLE,0.036,0
amba_decomposed_encode_pb_13_pe_.ltl,REALIZABLE,0.07,0
amba_decomposed_encode_pb_16_pe_.ltl,REALIZABLE,0.927,0
amba_decomposed_encode_pb_7_pe_.ltl,REALIZABLE,0.022,0
amba_gr_pb_3_pe_.ltl,TIMEOUT,17.092,124
arbiter_on_inpchange_pb_6_pe_.ltl,TIMEOUT,17.032,124
arbiter_pb_4_pe_.ltl,REALIZABLE,0.027,0
collector_v2_pb_11_pe_.ltl,TIMEOUT,17.037,124
full_arbiter_unreal1_pb_3_5_pe_.ltl,UNREALIZABLE,0.188,1
gf-unreal21.ltl,UNREALIZABLE,0.032,1
gf-unreal28.ltl,UNREALIZABLE,0.023,1
heim-double-x10.ltl,UNREALIZABLE,0.037,1
heim-double-x11.ltl,UNREALIZABLE,0.032,1
load_balancer_unreal1_pb_3_1_pe_.ltl,UNREALIZABLE,0.033,1
ltl2dba07.ltl,REALIZABLE,0.027,0
ltl2dba16.ltl,REALIZABLE,0.033,0
ltl2dba_E_pb_15_pe_.ltl,REALIZABLE,0.029,0
ltl2dba_Q_pb_15_pe_.ltl,REALIZABLE,0.035,0
ltl2dba_alpha_pb_50_pe_.ltl,REALIZABLE,0.031,0
ltl2dba_theta_pb_12_pe_.ltl,UNREALIZABLE,0.114,1
ltl2dpa11.ltl,REALIZABLE,0.019,0
ltl2dpa17.ltl,REALIZABLE,0.032,0
ltl2dpa24.ltl,REALIZABLE,0.037,0
package-delivery-real.ltl,ERROR,0.684,-6
patrolling-alarm16.ltl,UNREALIZABLE,0.045,1
prioritized_arbiter_unreal1_pb_3_15_pe_.ltl,UNREALIZABLE,0.023,1
prioritized_arbiter_unreal1_pb_3_3_pe_.ltl,UNREALIZABLE,0.035,1
