instance,result,seconds,exit
Alarm_2d1010f8.ltl,REALIZABLE,0.018,0
CheckCoffeMachineBroken1_a5f99bc6.ltl,REALIZABLE,0.034,0
CheckRoom_2c5b09da.ltl,UNREALIZABLE,0.021,1
CheckWarnlight_4b5a2bad.ltl,UNREALIZABLE,0.04,1
Core_fa4d4ce3.ltl,UNREALIZABLE,0.03,1
EscalatorNonReactive.ltl,REALIZABLE,0.034,0
FelixSpecFixed4_3916ec59.ltl,REALIZABLE,0.037,0
LedMatrix.ltl,UNREALIZABLE,0.361,1
Morning2_d65ed84e.ltl,TIMEOUT,17.037,124
TorcsAccelerating.ltl,REALIZABLE,0.026,0
TwoCountersDisButA1.ltl,UNREALIZABLE,0.024,1
TwoCountersDisButA6.ltl,UNREALIZABLE,0.029,1
TwoCountersInRangeA3.ltl,UNREALIZABLE,0.03,1
TwoCountersInRangeM4.ltl,UNREALIZABLE,0.034,1
UnderapproxStrengthenedDemo.ltl,REALIZABLE,0.035,0
Zoo10.ltl,REALIZABLE,0.031,0
abcg_arbiter_pb_2_pe_.ltl,REALIZABLE,0.038,0
amba_decomposed_arbiter_pb_2_pe_.ltl,REALIZABLE,0.021,0
amba_decomposed_arbiter_pb_9_pe_.ltl,TIMEOUT,17.054,124
amba_decomposed_lock_pb_5_pe_.ltl,REALIZABLE,0.024,0
amba_decomposed_shift.ltl,REALIZABLE,0.03,0
arbiter_pb_3_pe_.ltl,REALIZABLE,0.035,0
chomp_pb_3_2_pe_.ltl,REALIZABLE,0.031,0
collector_v1_pb_5_pe_.ltl,REALIZABLE,0.038,0
diagonal-real.ltl,REALIZABLE,0.029,0
full_arbiter_unreal1_pb_2_24_pe_.ltl,TIMEOUT,17.086,124
full_arbiter_unreal1_pb_2_5_pe_.ltl,UNREALIZABLE,0.027,1
g-real0.ltl,UNREALIZABLE,0.044,1
g-unreal-111.ltl,UNREALIZABLE,0.027,1
gf-unreal1.ltl,UNREALIZABLE,0.028,1
gf-unreal22.ltl,UNREALIZABLE,0.036,1
gf-unreal24.ltl,UNREALIZABLE,0.028,1
gf-unreal25.ltl,UNREALIZABLE,0.029,1
heim-fig7-unreal.ltl,UNREALIZABLE,0.031,1
infinite-race-u5.ltl,UNREALIZABLE,0.037,1
infinite-race-unequal-26.ltl,UNREALIZABLE,4.394,1
lift_gr1+_pb_8_pe_.ltl,TIMEOUT,17.053,124
lilydemo21.ltl,REALIZABLE,0.02,0
load_balancer_pb_9_pe_.ltl,TIMEOUT,17.037,124
load_balancer_unreal1_pb_2_11_pe_.ltl,UNREALIZABLE,0.052,1
load_balancer_unreal1_pb_3_7_pe_.ltl,UNREALIZABLE,0.033,1
load_balancer_unreal2_pb_2_pe_.ltl,REALIZABLE,0.026,0
ltl2dba12.ltl,REALIZABLE,0.03,0
ltl2dba17.ltl,REALIZABLE,0.028,0
ltl2dba_C2_unreal_pb_100_pe_.ltl,TIMEOUT,17.089,124
ltl2dba_U1_pb_5_pe_.ltl,REALIZABLE,0.022,0
ltl2dba_beta_pb_2_pe_.ltl,REALIZABLE,0.03,0
mux_pb_175_pe_.ltl,REALIZABLE,0.039,0
patrolling23.ltl,UNREALIZABLE,0.052,1
prioritized_arbiter_enc_pb_13_pe_.ltl,TIMEOUT,17.085,124
prioritized_arbiter_unreal1_pb_2_13_pe_.ltl,UNREALIZABLE,0.017,1
prioritized_arbiter_unreal1_pb_2_16_pe_.ltl,UNREALIZABLE,0.031,1
prioritized_arbiter_unreal1_pb_4_16_pe_.ltl,UNREALIZABLE,0.03,1
robot-cat-unreal-2d-unreal.ltl,UNREALIZABLE,16.26,1
robot-to-target-charging11.ltl,UNREALIZABLE,0.049,1
round_robin_arbiter_pb_5_pe_.ltl,REALIZABLE,0.247,0
round_robin_arbiter_unreal1_pb_2_16_pe_.ltl,UNREALIZABLE,2.277,1
shift_pb_125_pe_.ltl,REALIZABLE,0.017,0
simple_arbiter_unreal1_pb_4_3_pe_.ltl,UNREALIZABLE,0.029,1
simple_arbiter_unreal1_pb_5_1_pe_.ltl,UNREALIZABLE,0.036,1
simple_arbiter_unreal1_pb_5_3_pe_.ltl,UNREALIZABLE,0.031,1
simple_arbiter_unreal1_pb_6_2_pe_.ltl,UNREALIZABLE,0.033,1
simple_arbiter_unreal2_pb_8_pe_.ltl,UNREALIZABLE,0.032,1
square5x50.ltl,UNREALIZABLE,0.063,1
storage-GF-64-real.ltl,REALIZABLE,0.036,0
workstation_resupply_pb_1_pe_.ltl,REALIZABLE,0.032,0
