cap	instance	reason	epoch_1_kind	epoch_2_kind	b_max_rss_epoch1_bytes	s_max_rss_epoch1_bytes	rss_delta_bytes	rss_delta_pct
120	06.ltl	timing		faster	438198272	438071296	-126976	-0.028976837
120	07.ltl	timing|memory-increase		slower	437989376	761360384	323371008	73.830788078
120	09.ltl	timing|memory-increase	slower		270155776	471138304	200982528	74.395051246
120	10.ltl	timing|memory-increase		slower	142409728	207925248	65515520	46.004947078
120	11.ltl	timing|memory-increase		faster	125165568	169627648	44462080	35.522612736
120	Alarm_06e9cad4.ltl	timing	slower		167661568	166883328	-778240	-0.464173161
120	Alarm_68c86764.ltl	timing	slower		167772160	169046016	1273856	0.759277344
120	Alarm_a5f99bc6.ltl	timing	slower		1431166976	1410322432	-20844544	-1.456471841
120	AllLights_2c5b09da.ltl	timing	faster		27873280	27934720	61440	0.220426157
120	AllLights_63831f8c.ltl	timing		faster	45568000	45613056	45056	0.098876404
120	AllLights_aeb1d897.ltl	timing	faster	faster	70823936	70627328	-196608	-0.277601064
120	AllShades_66f450a4.ltl	timing	faster		55791616	55738368	-53248	-0.095440863
120	F-G-contradiction-110.ltl	timing|memory-increase	slower	faster	1621377024	2078322688	456945664	28.18256687
120	F-G-contradiction-111.ltl	timing	faster		1595277312	1634471936	39194624	2.45691603
120	F-G-contradiction-15.ltl	timing	slower		55635968	58720256	3084288	5.543694324
120	F-G-contradiction-16.ltl	memory-increase			659042304	773603328	114561024	17.382954524
120	F-G-contradiction-17.ltl	timing|memory-increase		slower	696541184	901230592	204689408	29.386547802
120	F-G-contradiction-18.ltl	memory-increase			767614976	935706624	168091648	21.897911486
120	F-G-contradiction-19.ltl	timing|memory-increase	slower	faster	813658112	967241728	153583616	18.87569407
120	GF-G-contradiction3.ltl	memory-increase			146636800	171495424	24858624	16.952513966
120	GF-G-contradiction4.ltl	memory-increase			153448448	182882304	29433856	19.181592505
120	GF-G-contradiction5.ltl	timing		faster	102522880	102244352	-278528	-0.271673991
120	Morning2_407db2cc.ltl	changed-status		unsolved-kind-change				
120	OneCounter.ltl	timing		slower	1093980160	1094004736	24576	0.002246476
120	SPIPureNext.ltl	changed-status|declared-benefit	gain	gain		30412800		
120	TwoCounters3.ltl	timing		faster	180445184	180310016	-135168	-0.074908067
120	abcg_arbiter_pb_3_pe_.ltl	memory-increase			245673984	2452852736	2207178752	898.417779556
120	amba_case_study_pb_4_pe_.ltl	changed-status	unsolved-kind-change					
120	amba_decomposed_arbiter_pb_6_pe_.ltl	timing		faster	63606784	63688704	81920	0.128791294
120	amba_decomposed_encode_pb_16_pe_.ltl	timing	slower		102252544	102064128	-188416	-0.184265342
120	amba_gr_pb_2_pe_.ltl	changed-status	gain	gain		2583228416		
120	arbiter_on_inpchange_pb_4_pe_.ltl	timing|memory-increase	slower	slower	55943168	140050432	84107264	150.344120662
120	arbiter_on_inpchange_pb_5_pe_.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	arbiter_on_inpchange_pb_6_pe_.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	arbiter_on_inpchange_pb_7_pe_.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	arbiter_with_buffer_pb_5_pe_.ltl	timing	faster	faster	55570432	55590912	20480	0.036854131
120	arbiter_with_cancel_pb_5_pe_.ltl	timing		faster	66187264	66187264	0	0
120	chain-simple-70-real.ltl	timing	faster	faster	267083776	266981376	-102400	-0.03834003
120	chain-simple-param-70-real.ltl	timing		faster	97222656	83496960	-13725696	-14.117795753
120	collector_v1_pb_9_pe_.ltl	timing		faster	531845120	528699392	-3145728	-0.59147445
120	collector_v2_pb_11_pe_.ltl	timing	slower		76603392	78028800	1425408	1.860763555
120	collector_v2_pb_12_pe_.ltl	timing		faster	101380096	101363712	-16384	-0.016160963
120	evasion-real.ltl	changed-status	gain	gain		721092608		
120	f-real-real.ltl	changed-status	gain	gain		889643008		
120	finding_nemo_pb_2_pe_.ltl	timing		slower	102879232	102289408	-589824	-0.573316877
120	g-real-real.ltl	timing	faster	faster	245465088	245354496	-110592	-0.045054065
120	g-unreal-110.ltl	timing	faster	faster	215851008	215920640	69632	0.032259289
120	g-unreal-111.ltl	timing		faster	324595712	321060864	-3534848	-1.089000215
120	g-unreal-112.ltl	timing	faster		476368896	412610560	-63758336	-13.384235733
120	g-unreal-114.ltl	timing		faster	676564992	569868288	-106696704	-15.770355437
120	g-unreal-115.ltl	timing	faster	faster	1419304960	1287172096	-132132864	-9.309688032
120	g-unreal-117.ltl	timing		slower	1867116544	1867132928	16384	0.000877503
120	g-unreal-118.ltl	timing	faster	faster	2460241920	2459906048	-335872	-0.013651991
120	g-unreal-120.ltl	timing	faster	faster	3307728896	3307991040	262144	0.007925196
120	g-unreal-18.ltl	timing	faster		123494400	123457536	-36864	-0.029850746
120	g-unreal-19.ltl	timing	faster	faster	194568192	194502656	-65536	-0.033682792
120	g-unreal-310.ltl	memory-increase			1481023488	1746214912	265191424	17.905956668
120	g-unreal-33.ltl	memory-increase			48459776	70709248	22249472	45.913278675
120	g-unreal-34.ltl	timing|memory-increase	faster		45248512	101019648	55771136	123.255182402
120	g-unreal-35.ltl	timing|memory-increase	slower	faster	82698240	115671040	32972800	39.871223378
120	g-unreal-36.ltl	timing|memory-increase	slower		104058880	129609728	25550848	24.55422161
120	g-unreal-37.ltl	memory-increase			112590848	208142336	95551488	84.866123399
120	heim-buechi-real.ltl	timing	faster	slower	192086016	183394304	-8691712	-4.524906175
120	heim-double-x-real.ltl	changed-status|declared-benefit	gain	gain		47734784		
120	heim-double-x10.ltl	timing	slower		122798080	122785792	-12288	-0.010006671
120	heim-double-x11.ltl	timing	slower	slower	134832128	134635520	-196608	-0.145816878
120	heim-double-x8.ltl	timing		slower	72560640	72413184	-147456	-0.203217612
120	heim-double-x9.ltl	timing	slower		116404224	116207616	-196608	-0.168901087
120	infinite-race-u10.ltl	timing|memory-increase	slower		555274240	1010937856	455663616	82.061003946
120	infinite-race-u11.ltl	memory-increase			695435264	1385779200	690343936	99.267893323
120	infinite-race-u12.ltl	timing|memory-increase	slower		2097397760	4243046400	2145648640	102.300511659
120	infinite-race-u13.ltl	timing|memory-increase	slower		1703165952	4667621376	2964455424	174.055582811
120	infinite-race-u14.ltl	timing|memory-increase		slower	2118975488	5127270400	3008294912	141.969311539
120	infinite-race-u15.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	infinite-race-u16.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	infinite-race-u17.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	infinite-race-u18.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	infinite-race-u19.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	infinite-race-u20.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	infinite-race-u21.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	infinite-race-u22.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	infinite-race-u23.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	infinite-race-u24.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	infinite-race-u25.ltl	changed-status	unsolved-kind-change	unsolved-kind-change				
120	infinite-race-u8.ltl	timing	slower		163897344	163913728	16384	0.009996501
120	infinite-race-u9.ltl	timing|memory-increase	slower		551198720	832516096	281317376	51.037378316
120	infinite-race-unequal-26.ltl	timing		faster	2164916224	2164621312	-294912	-0.013622329
120	lift_gr1+_pb_3_pe_.ltl	timing	faster	slower	118759424	111542272	-7217152	-6.077119404
120	lift_pb_3_pe_.ltl	timing|memory-increase	slower	slower	21622784	83955712	62332928	288.274294374
120	lift_pb_4_pe_.ltl	changed-status	loss	loss	51441664			
