instance	benefit_target	control_statuses	control_verdicts	control_solved_count	control_solved	treatment_statuses	treatment_verdicts	treatment_solved_count	treatment_solved	control_seconds	treatment_seconds	paired_delta_seconds	control_median_seconds	treatment_median_seconds	control_noise_seconds	lower_rounds_seconds	higher_rounds_seconds	faster_rounds	slower_rounds	control_scope_memory_peak_bytes	treatment_scope_memory_peak_bytes	paired_delta_scope_memory_peak_bytes	control_median_scope_memory_peak_bytes	treatment_median_scope_memory_peak_bytes	control_noise_scope_memory_peak_bytes	lower_rounds_scope_memory_peak_bytes	higher_rounds_scope_memory_peak_bytes	control_max_process_rss_bytes	treatment_max_process_rss_bytes	paired_delta_max_process_rss_bytes	control_median_max_process_rss_bytes	treatment_median_max_process_rss_bytes	control_noise_max_process_rss_bytes	lower_rounds_max_process_rss_bytes	higher_rounds_max_process_rss_bytes	correctness_fail	lost_verdict_rounds	new_failures	regression_threshold_seconds	regression_flag_seconds	validated_regression_seconds	regression_threshold_scope_memory_peak_bytes	regression_flag_scope_memory_peak_bytes	validated_regression_scope_memory_peak_bytes	regression_failures	regression_unresolved	flags	coverage_benefit	runtime_benefit	memory_benefit
06.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[18.581720738991862, 19.32589955799631, 20.210637841984862, 18.106885674991645, 17.953250186983496]	[18.44928594099474, 19.557196938985726, 20.71006436200696, 18.555022363027092, 17.687748130003456]	[-0.13243479799712077, 0.23129738098941743, 0.499426520022098, 0.44813668803544715, -0.2655020569800399]	18.581720738991862	18.555022363027092	0.6284705520083662	2	3	[1, 5]	[2, 3, 4]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[438083584, 761278464, 761311232, 761352192, 616325120]	[438038528, 438079488, 450916352, 437899264, 508981248]	[-45056, -323198976, -310394880, -323452928, -107343872]	761278464	438079488	73728	5	0	false	[]	[]	0.9290860369495931	false	false	unavailable	false	false	[]	[]	[]	false	false	false
07.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[18.66890182599309, 18.471327276987722, 21.159213223989354, 18.970129332970828, 18.099097586993594]	[18.700602014985634, 18.720680362021085, 18.94334265499492, 20.39709749200847, 18.213093778991606]	[0.03170018899254501, 0.24935308503336273, -2.2158705689944327, 1.4269681590376422, 0.11399619199801236]	18.66890182599309	18.720680362021085	0.3012275069777388	1	4	[3]	[1, 2, 4, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[437878784, 761122816, 437813248, 761212928, 761171968]	[761163776, 437686272, 761384960, 760397824, 760492032]	[323284992, -323436544, 323571712, -815104, -679936]	761122816	760492032	90112	3	2	false	[]	[]	0.9334450912996545	false	false	unavailable	false	false	[]	[]	[]	false	false	false
09.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[8.210671740001999, 7.682909683993785, 8.246996363974176, 8.115387136989739, 7.869531171978451]	[8.229360405006446, 7.548948890995234, 8.431611319014337, 8.144153807021212, 8.33816551498603]	[0.018688665004447103, -0.13396079299855046, 0.18461495504016057, 0.02876667003147304, 0.46863434300757945]	8.115387136989739	8.229360405006446	0.13160922698443756	1	4	[2]	[1, 3, 4, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[317620224, 270131200, 270163968, 270249984, 470282240]	[471248896, 400121856, 383213568, 471183360, 470401024]	[153628672, 129990656, 113049600, 200933376, 118784]	270249984	470401024	118784	0	5	false	[]	[]	0.40576935684948695	false	false	unavailable	false	false	[]	[]	[]	false	false	false
10.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[3.4861063380085398, 3.3534830400021747, 3.510064906993648, 3.4178536100080237, 3.2423338599619456]	[3.5875468679878395, 3.6447198770183604, 3.587182601011591, 3.560222295986023, 3.4748569460352883]	[0.10144052997929975, 0.29123683701618575, 0.077117694017943, 0.14236868597799912, 0.2325230860733427]	3.4178536100080237	3.587182601011591	0.06825272800051607	0	5	[]	[1, 2, 3, 4, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[191643648, 207835136, 188698624, 128933888, 156741632]	[208646144, 126423040, 207851520, 195219456, 208515072]	[17002496, -81412096, 19152896, 66285568, 51773440]	188698624	207851520	19136512	1	4	false	[]	[]	0.17089268050040118	false	false	unavailable	false	false	[]	[]	[]	false	false	false
11.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[3.178657056996599, 3.539107928983867, 3.4535460470069665, 3.3488962320261635, 3.5008466800209135]	[3.449500002025161, 3.553121851000469, 3.506709676992614, 3.384591886017006, 3.3873147240374237]	[0.2708429450285621, 0.01401392201660201, 0.053163629985647276, 0.0356956539908424, -0.11353195598348975]	3.4535460470069665	3.449500002025161	0.08556188197690062	1	4	[5]	[1, 2, 3, 4]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[206848000, 167022592, 205840384, 125362176, 125415424]	[206123008, 206000128, 205930496, 195948544, 177016832]	[-724992, 38977536, 90112, 70586368, 51601408]	167022592	205930496	39825408	1	4	false	[]	[]	0.17267730235034834	false	false	unavailable	false	false	[]	[]	[]	false	false	false
Alarm_06e9cad4.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[1.5785523309896234, 1.709300829010317, 1.5483071790076792, 1.6538541099871509, 1.7661728709936142]	[1.6328470210137311, 1.6944808340049349, 1.8149774280027486, 1.7424497560132295, 1.5694626590120606]	[0.054294690024107695, -0.014819995005382225, 0.2666702489950694, 0.08859564602607861, -0.19671021198155358]	1.6538541099871509	1.6944808340049349	0.07530177899752744	2	3	[2, 5]	[1, 3, 4]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[166825984, 167907328, 164888576, 165371904, 166592512]	[166916096, 167403520, 167272448, 169230336, 165253120]	[90112, -503808, 2383872, 3858432, -1339392]	166592512	167272448	1220608	2	3	false	[]	[]	0.08269270549935755	false	false	unavailable	false	false	[]	[]	[]	false	false	false
Alarm_68c86764.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[1.6777720130048692, 1.7292232759937178, 1.705152419017395, 1.722115512995515, 1.6551684809965082]	[1.7609650070080534, 1.7500632159935776, 1.7375803710019682, 1.6855425569810905, 1.7266866160207428]	[0.08319299400318414, 0.02083993999985978, 0.032427951984573156, -0.03657295601442456, 0.07151813502423465]	1.705152419017395	1.7375803710019682	0.02407085697632283	1	4	[4]	[1, 2, 3, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[168120320, 168210432, 166457344, 168546304, 166465536]	[167309312, 167731200, 168288256, 167641088, 166588416]	[-811008, -479232, 1830912, -905216, 122880]	168120320	167641088	425984	3	2	false	[]	[]	0.08525762095086975	false	false	unavailable	false	false	[]	[]	[]	false	false	false
Alarm_a5f99bc6.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[19.968000491993735, 20.513077153998893, 19.90970255198772, 19.97387839498697, 20.546088951989077]	[19.820271510980092, 20.463388667994877, 20.308662102004746, 20.145539316989016, 20.114191754022613]	[-0.14772898101364262, -0.04968848600401543, 0.3989595500170253, 0.1716609220020473, -0.43189719796646386]	19.97387839498697	20.145539316989016	0.06417584299924783	3	2	[1, 2, 5]	[3, 4]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[1418948608, 1437679616, 1430736896, 1426845696, 1426800640]	[1427595264, 1417633792, 1424855040, 1436119040, 1422524416]	[8646656, -20045824, -5881856, 9273344, -4276224]	1426845696	1424855040	3891200	3	2	false	[]	[]	0.9986939197493485	false	false	unavailable	false	false	[]	[]	[]	false	false	false
AllLights_2c5b09da.ltl	false	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[0.9360097750031855, 1.0061689169961028, 0.8720641280233394, 0.9298629679833539, 0.8509092379827052]	[0.8958677269984037, 0.99662039798568, 0.93253816201468, 0.8719234699965455, 0.9100690149934962]	[-0.04014204800478183, -0.009548519010422751, 0.06047403399134055, -0.05793949798680842, 0.059159777010791004]	0.9298629679833539	0.9100690149934962	0.05779883996001445	3	2	[1, 2, 4]	[3, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[27828224, 27930624, 27967488, 27836416, 27963392]	[27697152, 27709440, 27893760, 27975680, 27746304]	[-131072, -221184, -73728, 139264, -217088]	27930624	27746304	36864	4	1	false	[]	[]	0.05779883996001445	false	false	unavailable	false	false	[]	[]	[]	false	false	false
AllLights_63831f8c.ltl	false	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[1.6665216620021965, 1.6730241879995447, 1.6399258310266305, 1.6362028250005096, 1.5949289230047725]	[1.6134626419807319, 1.6649691040220205, 1.615202663000673, 1.5559448169660755, 1.6247912849648856]	[-0.053059020021464676, -0.008055083977524191, -0.02472316802595742, -0.08025800803443417, 0.02986236196011305]	1.6399258310266305	1.615202663000673	0.02659583097556606	4	1	[1, 2, 3, 4]	[5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[45805568, 45711360, 45776896, 45760512, 45776896]	[45834240, 45551616, 45760512, 45711360, 45711360]	[28672, -159744, -16384, -49152, -65536]	45776896	45711360	16384	4	1	false	[]	[]	0.08199629155133153	false	false	unavailable	false	false	[]	[]	[]	false	false	false
