solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
120s-confirm-B-r4	06.ltl	120	REALIZABLE	18.106885674991645	false	REALIZABLE	120
120s-confirm-B-r4	07.ltl	120	REALIZABLE	18.970129332970828	false	REALIZABLE	120
120s-confirm-B-r4	09.ltl	120	REALIZABLE	8.115387136989739	false	REALIZABLE	120
120s-confirm-B-r4	10.ltl	120	REALIZABLE	3.4178536100080237	false	REALIZABLE	120
120s-confirm-B-r4	11.ltl	120	REALIZABLE	3.3488962320261635	false	REALIZABLE	120
120s-confirm-B-r4	Alarm_06e9cad4.ltl	120	REALIZABLE	1.6538541099871509	false	REALIZABLE	120
120s-confirm-B-r4	Alarm_68c86764.ltl	120	REALIZABLE	1.722115512995515	false	REALIZABLE	120
120s-confirm-B-r4	Alarm_a5f99bc6.ltl	120	REALIZABLE	19.97387839498697	false	REALIZABLE	120
120s-confirm-B-r4	AllLights_2c5b09da.ltl	120	UNREALIZABLE	0.9298629679833539	false	UNREALIZABLE	120
120s-confirm-B-r4	AllLights_63831f8c.ltl	120	UNREALIZABLE	1.6362028250005096	false	UNREALIZABLE	120
120s-confirm-B-r4	AllLights_aeb1d897.ltl	120	UNREALIZABLE	2.7745021649752744	false	UNREALIZABLE	120
120s-confirm-B-r4	AllShades_66f450a4.ltl	120	UNREALIZABLE	1.7092235970194452	false	UNREALIZABLE	120
120s-confirm-B-r4	F-G-contradiction-110.ltl	120	UNREALIZABLE	27.02071693597827	false	UNREALIZABLE	120
120s-confirm-B-r4	F-G-contradiction-111.ltl	120	UNREALIZABLE	28.309913270990364	false	UNREALIZABLE	120
120s-confirm-B-r4	F-G-contradiction-15.ltl	120	UNREALIZABLE	0.3357495390227996	false	UNREALIZABLE	120
120s-confirm-B-r4	F-G-contradiction-16.ltl	120	UNREALIZABLE	8.911856157006696	false	UNREALIZABLE	120
120s-confirm-B-r4	F-G-contradiction-17.ltl	120	UNREALIZABLE	10.395314171037171	false	UNREALIZABLE	120
120s-confirm-B-r4	F-G-contradiction-18.ltl	120	UNREALIZABLE	12.204494926030748	false	UNREALIZABLE	120
120s-confirm-B-r4	F-G-contradiction-19.ltl	120	UNREALIZABLE	13.043268734007142	false	UNREALIZABLE	120
120s-confirm-B-r4	GF-G-contradiction3.ltl	120	UNREALIZABLE	1.717431642988231	false	UNREALIZABLE	120
120s-confirm-B-r4	GF-G-contradiction4.ltl	120	UNREALIZABLE	1.8865715879946947	false	UNREALIZABLE	120
