solver_label	instance	tlsf_file	cap_s	result	seconds	exit_code	timed_out	resource_reason	expectation_source	stdout_bytes	stderr_bytes	run_index	acacia_sha	binary_sha256	preset	timestamp_utc	flags	cpu_seconds	max_process_rss_bytes	scope_memory_peak_bytes	memory_max	memory_swap_max	allowed_cpus	cpu_quota	collect_rusage	worker_records_dir	scope_unit
17s-confirm-S-r2	03.ltl	03.tlsf	17	REALIZABLE	3.3018552950234152	0	false		none	11	32	0	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:31:57.769282Z		13.050000	161222656		8G	0			true		acacia-syntcomp26-coverage-430014-47ea286bbb19.scope
17s-confirm-S-r2	10.ltl	10.tlsf	17	REALIZABLE	3.6830412530107424	0	false		none	11	32	1	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:32:01.483887Z		13.940000	126382080		8G	0			true		acacia-syntcomp26-coverage-430014-fa56190a8d2a.scope
17s-confirm-S-r2	11.ltl	11.tlsf	17	REALIZABLE	3.707655092992354	0	false		none	11	32	2	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:32:05.206031Z		13.630000	205873152		8G	0			true		acacia-syntcomp26-coverage-430014-1b51272c25ba.scope
17s-confirm-S-r2	12.ltl	12.tlsf	17	REALIZABLE	5.671318225970026	0	false		none	11	32	3	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:32:10.891655Z		22.500000	185307136		8G	0			true		acacia-syntcomp26-coverage-430014-ea30d98eba87.scope
17s-confirm-S-r2	13.ltl	13.tlsf	17	REALIZABLE	5.09074207796948	0	false		none	11	32	4	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:32:15.996728Z		20.190000	228405248		8G	0			true		acacia-syntcomp26-coverage-430014-211a9e6c4fc0.scope
17s-confirm-S-r2	Alarm_70523fbe.ltl	Alarm_70523fbe.tlsf	17	REALIZABLE	0.9112810080405325	0	false		status	11	31	5	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:32:16.921934Z		3.550000	103694336		8G	0			true		acacia-syntcomp26-coverage-430014-2f9f06a1d8fd.scope
17s-confirm-S-r2	F-G-contradiction-16.ltl	F-G-contradiction-16.tlsf	17	UNREALIZABLE	9.04237106902292	1	false		none	13	32	6	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:32:25.978220Z		35.820000	762724352		8G	0			true		acacia-syntcomp26-coverage-430014-c500aee10f3a.scope
17s-confirm-S-r2	F-G-contradiction-17.ltl	F-G-contradiction-17.tlsf	17	UNREALIZABLE	10.441033589013387	1	false		none	13	32	7	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:32:36.433786Z		41.300000	901226496		8G	0			true		acacia-syntcomp26-coverage-430014-4d3e01fb3976.scope
17s-confirm-S-r2	F-G-contradiction-18.ltl	F-G-contradiction-18.tlsf	17	UNREALIZABLE	12.010218295967206	1	false		none	13	32	8	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:32:48.457741Z		47.630000	935518208		8G	0			true		acacia-syntcomp26-coverage-430014-d85a78d71ca9.scope
17s-confirm-S-r2	F-G-contradiction-19.ltl	F-G-contradiction-19.tlsf	17	UNREALIZABLE	12.494427568046376	1	false		none	13	32	9	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:00.965810Z		49.620000	958828544		8G	0			true		acacia-syntcomp26-coverage-430014-594b6b69a9b7.scope
17s-confirm-S-r2	GF-G-contradiction3.ltl	GF-G-contradiction3.tlsf	17	UNREALIZABLE	1.6359617710113525	1	false		none	13	31	10	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:02.617221Z		6.430000	166170624		8G	0			true		acacia-syntcomp26-coverage-430014-1a474859273d.scope
17s-confirm-S-r2	GF-G-contradiction4.ltl	GF-G-contradiction4.tlsf	17	UNREALIZABLE	1.8292282210313715	1	false		none	13	31	11	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:04.460757Z		7.190000	186454016		8G	0			true		acacia-syntcomp26-coverage-430014-71e46ed4c221.scope
17s-confirm-S-r2	GF-G-contradiction6.ltl	GF-G-contradiction6.tlsf	17	UNREALIZABLE	16.553296465950552	1	false		none	13	32	12	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:21.027551Z		65.860000	695107584		8G	0			true		acacia-syntcomp26-coverage-430014-4373ed1f9f19.scope
17s-confirm-S-r2	GF-G-contradiction7.ltl	GF-G-contradiction7.tlsf	17	TIMEOUT	17.023772176005878	124	true	timeout	none	13	0	13	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:38.064052Z					8G	0			true		acacia-syntcomp26-coverage-430014-cf081c1102e1.scope
17s-confirm-S-r2	Morning_f2774e0b.ltl	Morning_f2774e0b.tlsf	17	UNREALIZABLE	3.5573599960189313	1	false		status	13	32	14	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:41.636016Z		14.080000	196456448		8G	0			true		acacia-syntcomp26-coverage-430014-51d42892daa5.scope
17s-confirm-S-r2	SPIPureNext.ltl	SPIPureNext.tlsf	17	REALIZABLE	0.5200206789886579	0	false		none	11	30	15	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:42.170561Z		1.980000	30347264		8G	0			true		acacia-syntcomp26-coverage-430014-be81dec88895.scope
17s-confirm-S-r2	amba_decomposed_arbiter_pb_6_pe_.ltl	amba_decomposed_arbiter_pb_6_pe_.tlsf	17	REALIZABLE	1.1890733320033178	0	false		status	11	30	16	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:43.375119Z		4.660000	63328256		8G	0			true		acacia-syntcomp26-coverage-430014-3dd2243951d7.scope
17s-confirm-S-r2	arbiter_on_inpchange_pb_4_pe_.ltl	arbiter_on_inpchange_pb_4_pe_.tlsf	17	REALIZABLE	1.2431406720425002	0	false		none	11	31	17	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:44.631815Z		4.850000	141049856		8G	0			true		acacia-syntcomp26-coverage-430014-5656515aa66d.scope
17s-confirm-S-r2	arbiter_with_buffer_pb_5_pe_.ltl	arbiter_with_buffer_pb_5_pe_.tlsf	17	REALIZABLE	0.8908655110280961	0	false		none	11	30	18	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:45.541172Z		2.870000	55414784		8G	0			true		acacia-syntcomp26-coverage-430014-60d3ea05b904.scope
17s-confirm-S-r2	buffer-storage-real.ltl	buffer-storage-real.tlsf	17	REALIZABLE	0.6444309949874878	0	false		none	11	30	19	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:46.200503Z		2.500000	51888128		8G	0			true		acacia-syntcomp26-coverage-430014-57f62a6de244.scope
17s-confirm-S-r2	chain-simple-40-real.ltl	chain-simple-40-real.tlsf	17	REALIZABLE	0.584784384991508	0	false		none	11	31	20	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:46.803426Z		2.230000	106311680		8G	0			true		acacia-syntcomp26-coverage-430014-58b553e6b408.scope
17s-confirm-S-r2	collector_v2_pb_11_pe_.ltl	collector_v2_pb_11_pe_.tlsf	17	REALIZABLE	0.3258145060390234	0	false		status	11	30	21	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:47.143031Z		1.210000	85454848		8G	0			true		acacia-syntcomp26-coverage-430014-082d3bf96691.scope
17s-confirm-S-r2	finding_nemo_pb_2_pe_.ltl	finding_nemo_pb_2_pe_.tlsf	17	REALIZABLE	4.692422976018861	0	false		none	11	31	22	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:51.851066Z		14.360000	102023168		8G	0			true		acacia-syntcomp26-coverage-430014-16770ac898bb.scope
17s-confirm-S-r2	g-real-real.ltl	g-real-real.tlsf	17	REALIZABLE	2.5056348600191996	0	false		none	11	31	23	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:33:54.370249Z		9.870000	245272576		8G	0			true		acacia-syntcomp26-coverage-430014-a25181e8e6d3.scope
17s-confirm-S-r2	g-unreal-112.ltl	g-unreal-112.tlsf	17	UNREALIZABLE	6.343660235987045	1	false		none	13	32	24	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:00.728730Z		13.840000	392880128		8G	0			true		acacia-syntcomp26-coverage-430014-3da96f7659a6.scope
17s-confirm-S-r2	g-unreal-113.ltl	g-unreal-113.tlsf	17	UNREALIZABLE	7.411692066001706	1	false		none	13	32	25	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:08.154829Z		16.240000	490315776		8G	0			true		acacia-syntcomp26-coverage-430014-f467cee75a0c.scope
17s-confirm-S-r2	g-unreal-115.ltl	g-unreal-115.tlsf	17	TIMEOUT	17.138280718994793	124	true	timeout	none	0	8	26	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:25.330689Z					8G	0			true		acacia-syntcomp26-coverage-430014-ee1bb4c8f751.scope
17s-confirm-S-r2	g-unreal-18.ltl	g-unreal-18.tlsf	17	UNREALIZABLE	1.197082335012965	1	false		none	13	31	27	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:26.541985Z		3.020000	123490304		8G	0			true		acacia-syntcomp26-coverage-430014-60366bd90ed9.scope
17s-confirm-S-r2	g-unreal-19.ltl	g-unreal-19.tlsf	17	UNREALIZABLE	1.97577259701211	1	false		none	13	31	28	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:28.531266Z		4.700000	194416640		8G	0			true		acacia-syntcomp26-coverage-430014-8f1e5a5868d5.scope
17s-confirm-S-r2	g-unreal-33.ltl	g-unreal-33.tlsf	17	UNREALIZABLE	0.5668003580067307	1	false		none	13	30	29	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:29.113865Z		2.170000	70696960		8G	0			true		acacia-syntcomp26-coverage-430014-299df8591a3f.scope
17s-confirm-S-r2	g-unreal-34.ltl	g-unreal-34.tlsf	17	UNREALIZABLE	0.9605263690464199	1	false		none	13	30	30	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:30.089711Z		3.750000	100671488		8G	0			true		acacia-syntcomp26-coverage-430014-5a7532bab1f0.scope
17s-confirm-S-r2	g-unreal-36.ltl	g-unreal-36.tlsf	17	UNREALIZABLE	1.2280655700014904	1	false		none	13	31	31	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:31.331444Z		4.820000	131067904		8G	0			true		acacia-syntcomp26-coverage-430014-564f7b391c87.scope
17s-confirm-S-r2	g-unreal-37.ltl	g-unreal-37.tlsf	17	UNREALIZABLE	1.8899802749510854	1	false		none	13	31	32	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:33.236026Z		7.430000	208166912		8G	0			true		acacia-syntcomp26-coverage-430014-3447c78ac896.scope
17s-confirm-S-r2	g-unreal-38.ltl	g-unreal-38.tlsf	17	UNREALIZABLE	8.747592550993431	1	false		none	13	32	33	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:41.997954Z		34.610000	979124224		8G	0			true		acacia-syntcomp26-coverage-430014-fdf0d4c63abb.scope
17s-confirm-S-r2	heim-buechi-real.ltl	heim-buechi-real.tlsf	17	REALIZABLE	2.0543968160054646	0	false		none	11	31	34	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:44.066343Z		8.060000	180523008		8G	0			true		acacia-syntcomp26-coverage-430014-25baa5d7d3a3.scope
17s-confirm-S-r2	heim-double-x-real.ltl	heim-double-x-real.tlsf	17	REALIZABLE	0.3959645369905047	0	false		none	11	30	35	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:44.477342Z		1.480000	47886336		8G	0			true		acacia-syntcomp26-coverage-430014-97c4a02ced32.scope
17s-confirm-S-r2	heim-double-x10.ltl	heim-double-x10.tlsf	17	UNREALIZABLE	2.3829911680077203	1	false		none	13	31	36	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:46.875060Z		8.300000	123060224		8G	0			true		acacia-syntcomp26-coverage-430014-49b2c7b75a9a.scope
17s-confirm-S-r2	heim-double-x13.ltl	heim-double-x13.tlsf	17	UNREALIZABLE	5.5321435569785535	1	false		none	13	32	37	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:52.420558Z		18.430000	228003840		8G	0			true		acacia-syntcomp26-coverage-430014-6675790d3997.scope
17s-confirm-S-r2	heim-double-x9.ltl	heim-double-x9.tlsf	17	UNREALIZABLE	2.0905498589854687	1	false		none	13	31	38	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:34:54.524901Z		7.200000	116350976		8G	0			true		acacia-syntcomp26-coverage-430014-eef3ea17a2ca.scope
17s-confirm-S-r2	infinite-race-u10.ltl	infinite-race-u10.tlsf	17	UNREALIZABLE	10.764020014030393	1	false		none	13	32	39	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:35:05.302581Z		42.610000	1014620160		8G	0			true		acacia-syntcomp26-coverage-430014-4d0680175898.scope
17s-confirm-S-r2	infinite-race-u11.ltl	infinite-race-u11.tlsf	17	UNREALIZABLE	13.838499902980402	1	false		none	13	33	40	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:35:19.156266Z		54.730000	1391656960		8G	0			true		acacia-syntcomp26-coverage-430014-58b31af0cd28.scope
17s-confirm-S-r2	infinite-race-u6.ltl	infinite-race-u6.tlsf	17	UNREALIZABLE	1.0801218419801444	1	false		none	13	30	41	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:35:20.250598Z		4.210000	102313984		8G	0			true		acacia-syntcomp26-coverage-430014-433eed252158.scope
17s-confirm-S-r2	infinite-race-u7.ltl	infinite-race-u7.tlsf	17	UNREALIZABLE	1.5113991379621439	1	false		none	13	31	42	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:35:21.776094Z		5.920000	130469888		8G	0			true		acacia-syntcomp26-coverage-430014-f1e8b785583f.scope
17s-confirm-S-r2	infinite-race-u9.ltl	infinite-race-u9.tlsf	17	UNREALIZABLE	8.955410167051014	1	false		none	13	32	43	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:35:30.745218Z		35.440000	848781312		8G	0			true		acacia-syntcomp26-coverage-430014-41f7c3378596.scope
17s-confirm-S-r2	infinite-race-unequal-25.ltl	infinite-race-unequal-25.tlsf	17	UNREALIZABLE	13.296331608027685	1	false		none	13	32	44	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:35:44.055462Z		52.830000	634466304		8G	0			true		acacia-syntcomp26-coverage-430014-fa12d1a5bffb.scope
17s-confirm-S-r2	lift_pb_3_pe_.ltl	lift_pb_3_pe_.tlsf	17	REALIZABLE	0.6259940279996954	0	false		none	11	30	45	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:35:44.700932Z		2.420000	84041728		8G	0			true		acacia-syntcomp26-coverage-430014-d35266ef500e.scope
17s-confirm-S-r2	lift_pb_4_pe_.ltl	lift_pb_4_pe_.tlsf	17	TIMEOUT	17.185219736013096	124	true	timeout	none	0	8	46	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:36:01.900234Z					8G	0			true		acacia-syntcomp26-coverage-430014-d75c49041837.scope
17s-confirm-S-r2	lift_unary_enc_pb_3_pe_.ltl	lift_unary_enc_pb_3_pe_.tlsf	17	REALIZABLE	0.703285132010933	0	false		none	11	30	47	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:36:02.619610Z		2.690000	81567744		8G	0			true		acacia-syntcomp26-coverage-430014-6bd331a90c74.scope
17s-confirm-S-r2	lift_unary_enc_pb_4_pe_.ltl	lift_unary_enc_pb_4_pe_.tlsf	17	TIMEOUT	17.13520254503237	124	true	timeout	none	0	8	48	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:36:19.768158Z					8G	0			true		acacia-syntcomp26-coverage-430014-1a27ec1929b5.scope
17s-confirm-S-r2	load_balancer_pb_7_pe_.ltl	load_balancer_pb_7_pe_.tlsf	17	REALIZABLE	4.955643107998185	0	false		status	11	32	49	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:36:24.737399Z		15.390000	154959872		8G	0			true		acacia-syntcomp26-coverage-430014-dbd215b0faa5.scope
17s-confirm-S-r2	load_balancer_unreal1_pb_2_15_pe_.ltl	load_balancer_unreal1_pb_2_15_pe_.tlsf	17	UNREALIZABLE	0.7706481839995831	1	false		status	13	30	50	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:36:25.523460Z		2.250000	66875392		8G	0			true		acacia-syntcomp26-coverage-430014-a460b9de914e.scope
17s-confirm-S-r2	load_balancer_unreal1_pb_3_12_pe_.ltl	load_balancer_unreal1_pb_3_12_pe_.tlsf	17	UNREALIZABLE	0.6344362890231423	1	false		status	13	30	51	50384cf69a733199fa17c9c571da1761d8451991	f80ff3f62daaa6e22a6753a3f30a127baab424d0320949bc9957a6ff62ea5ebe	otf_sparse_formula	2026-09-21T15:36:26.171755Z		1.900000	73641984		8G	0			true		acacia-syntcomp26-coverage-430014-8f84f8bbc547.scope
