logical_instance	family_key	family_display	origin	parameter_confidence	parameter_names	parameter_values_json	inputs	outputs	semantics	effective_target	source_sha256	b_120s_result	b_120s_seconds	s_120s_result	s_120s_seconds	b_17s_result	b_17s_seconds	s_17s_result	s_17s_seconds	verdict_transition	winning_witness_reference
01.ltl	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct:tlsf/gui_glue_code_synthesis/01.tlsf	none		{}	4	3	Mealy	Mealy	1a1cb932aafaf7c6bdd3af79ecdf9774955e824a853c26aaf1e546d07b32db06	REALIZABLE	0.03359310799714876	REALIZABLE	0.024557874996389728	REALIZABLE	0.031307178986025974	REALIZABLE	0.02335098199546337	stable-realizable	
02.ltl	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct:tlsf/gui_glue_code_synthesis/02.tlsf	none		{}	4	4	Mealy	Mealy	7506a3a03d800f341fc044cddddc90d10996592eab8a329fa222b243cb03b1bd	REALIZABLE	0.041759325002203695	REALIZABLE	0.0406583719959599	REALIZABLE	0.05058876099064946	REALIZABLE	0.05724309600191191	stable-realizable	
03.ltl	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct:tlsf/gui_glue_code_synthesis/03.tlsf	none		{}	5	5	Mealy	Mealy	9c602682592e97367de356341470f64cbea937198e49b6a05084160ad400f9fb	REALIZABLE	3.0104767649972928	REALIZABLE	2.9464555039994593	REALIZABLE	3.405358313000761	REALIZABLE	2.966157861985266	stable-realizable	
05.ltl	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct:tlsf/gui_glue_code_synthesis/05.tlsf	none		{}	5	5	Mealy	Mealy	3a6ad0fde1c488d7e8e9cfd4da3772cf68fcf99a15ac531528b8fd952562f448	REALIZABLE	14.041591881003114	REALIZABLE	13.372841657008394	REALIZABLE	13.15309914201498	REALIZABLE	13.640188534016488	stable-realizable	
06.ltl	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct:tlsf/gui_glue_code_synthesis/06.tlsf	none		{}	5	5	Mealy	Mealy	c11ea2e2d94ee3c109b833df27de068ed8306e68a113e671ca3dad1f79b534dd	REALIZABLE	18.125003575001756	REALIZABLE	17.922925520000717	TIMEOUT		TIMEOUT		stable-realizable	
07.ltl	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct:tlsf/gui_glue_code_synthesis/07.tlsf	none		{}	5	5	Mealy	Mealy	ec5f572b0e44856d0c9a707c279bcb53afe3db90c8347dc343f626869a4d801a	REALIZABLE	19.91697950100024	REALIZABLE	20.768214159999843	TIMEOUT		TIMEOUT		stable-realizable	
08.ltl	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct:tlsf/gui_glue_code_synthesis/08.tlsf	none		{}	5	6	Mealy	Mealy	0c6ae710ddd1230dfb828264280f82cd39fb69f812827dcc13d11a1efd831307	REALIZABLE	28.92908145600086	REALIZABLE	29.955598024003848	TIMEOUT		TIMEOUT		stable-realizable	
09.ltl	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct:tlsf/gui_glue_code_synthesis/09.tlsf	none		{}	5	5	Mealy	Mealy	73df54decd8c9bb57bc285a4377d67cd4ca176035fc386c87308b71866dfaf2a	REALIZABLE	7.40375456000038	REALIZABLE	7.793998271998134	REALIZABLE	7.59456632801448	REALIZABLE	7.52920983399963	stable-realizable	
10.ltl	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct:tlsf/gui_glue_code_synthesis/10.tlsf	none		{}	5	5	Mealy	Mealy	eba958d4401be9f10e160cb8efd3c882d0cb1c03073cb7a0bb71d26aeceff4b0	REALIZABLE	3.525196495000273	REALIZABLE	3.575173041997914	REALIZABLE	3.4977983529970516	REALIZABLE	3.572712796012638	stable-realizable	
11.ltl	direct:tlsf/gui_glue_code_synthesis:numeric	numeric	direct:tlsf/gui_glue_code_synthesis/11.tlsf	none		{}	5	5	Mealy	Mealy	ea11a33a7c90773e7d2bf0b5ae5a1d011db943846750f707dfcafc7d0cc8233f	REALIZABLE	3.340208725003322	REALIZABLE	3.30509820700172	REALIZABLE	3.454343424993567	REALIZABLE	3.300434764008969	stable-realizable	
