cap	epoch	instance	kind	baseline_status	baseline_seconds	candidate_status	candidate_seconds	delta_seconds
120	1	09.ltl	slower	REALIZABLE	7.404	REALIZABLE	7.794	+0.390
120	1	Alarm_06e9cad4.ltl	slower	REALIZABLE	1.593	REALIZABLE	1.782	+0.189
120	1	Alarm_68c86764.ltl	slower	REALIZABLE	1.552	REALIZABLE	1.811	+0.258
120	1	Alarm_a5f99bc6.ltl	slower	REALIZABLE	19.675	REALIZABLE	20.832	+1.157
120	1	AllLights_2c5b09da.ltl	faster	UNREALIZABLE	1.013	UNREALIZABLE	0.933	-0.080
120	1	AllLights_aeb1d897.ltl	faster	UNREALIZABLE	2.731	UNREALIZABLE	2.555	-0.176
120	1	AllShades_66f450a4.ltl	faster	UNREALIZABLE	1.786	UNREALIZABLE	1.695	-0.091
120	1	F-G-contradiction-110.ltl	slower	UNREALIZABLE	28.722	UNREALIZABLE	31.369	+2.647
120	1	F-G-contradiction-111.ltl	faster	UNREALIZABLE	29.175	UNREALIZABLE	27.244	-1.931
120	1	F-G-contradiction-15.ltl	slower	UNREALIZABLE	0.292	UNREALIZABLE	0.366	+0.074
120	1	F-G-contradiction-19.ltl	slower	UNREALIZABLE	11.830	UNREALIZABLE	12.897	+1.067
120	1	SPIPureNext.ltl	gain	TIMEOUT		REALIZABLE	0.514	
120	1	amba_case_study_pb_4_pe_.ltl	unsolved-kind-change	MEMOUT		TIMEOUT		
120	1	amba_decomposed_encode_pb_16_pe_.ltl	slower	REALIZABLE	1.003	REALIZABLE	1.056	+0.053
120	1	amba_gr_pb_2_pe_.ltl	gain	TIMEOUT		REALIZABLE	57.918	
120	1	arbiter_on_inpchange_pb_4_pe_.ltl	slower	REALIZABLE	0.774	REALIZABLE	1.206	+0.432
120	1	arbiter_on_inpchange_pb_5_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	arbiter_on_inpchange_pb_6_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	arbiter_on_inpchange_pb_7_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	arbiter_with_buffer_pb_5_pe_.ltl	faster	REALIZABLE	0.920	REALIZABLE	0.868	-0.052
120	1	chain-simple-70-real.ltl	faster	REALIZABLE	1.261	REALIZABLE	1.149	-0.112
