family_key	logical_instance	orientation	trusted_status	baseline_17s_result	parameter_values_json
param:tlsf/amba/amba/parametric/amba_case_study.tlsf	amba_case_study_pb_3_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 3}"
param:tlsf/amba/amba/parametric/amba_case_study.tlsf	amba_case_study_pb_3_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 3}"
param:tlsf/amba/amba/parametric/amba_case_study_unreal.tlsf	amba_case_study_unreal_pb_2_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 2}"
param:tlsf/amba/amba/parametric/amba_case_study_unreal.tlsf	amba_case_study_unreal_pb_2_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 2}"
param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	amba_decomposed_encode_pb_20_pe_.ltl	real	REALIZABLE	TIMEOUT	"{""n"": 20}"
param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	amba_decomposed_lock_pb_13_pe_.ltl	real	REALIZABLE	TIMEOUT	"{""n"": 13}"
param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	abcg_arbiter_pb_3_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 3}"
param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	abcg_arbiter_pb_3_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 3}"
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	arbiter_pb_6_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 6}"
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	arbiter_pb_6_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 6}"
param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	arbiter_on_inpchange_pb_5_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 5}"
param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	arbiter_on_inpchange_pb_5_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 5}"
param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	arbiter_with_buffer_pb_6_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 6}"
param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	arbiter_with_buffer_pb_6_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 6}"
param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	arbiter_with_cancel_pb_6_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 6}"
param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	arbiter_with_cancel_pb_6_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 6}"
param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	rw_arbiter_pb_4_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 4}"
param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	rw_arbiter_pb_4_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 4}"
param:tlsf/chomp_game/parametric/chomp.tlsf	chomp_pb_2_4_pe_.ltl	real	REALIZABLE	TIMEOUT	"{""N"": 2, ""M"": 4}"
param:tlsf/collector/parametric/collector_v3.tlsf	collector_v3_pb_9_pe_.ltl	real	REALIZABLE	TIMEOUT	"{""n"": 9}"
param:tlsf/full_arbiter_log/parametric/full_arbiter_enc.tlsf	full_arbiter_enc_pb_8_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 8}"
param:tlsf/full_arbiter_log/parametric/full_arbiter_enc.tlsf	full_arbiter_enc_pb_8_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 8}"
param:tlsf/generalized_buffer/parametric/generalized_buffer.tlsf	generalized_buffer_pb_6_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 6}"
param:tlsf/generalized_buffer/parametric/generalized_buffer.tlsf	generalized_buffer_pb_6_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 6}"
param:tlsf/lift/parametric/lift.tlsf	lift_pb_5_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 5}"
param:tlsf/lift/parametric/lift.tlsf	lift_pb_5_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 5}"
param:tlsf/lift/parametric/lift_gr1+.tlsf	lift_gr1+_pb_6_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 6}"
param:tlsf/lift/parametric/lift_gr1+.tlsf	lift_gr1+_pb_6_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 6}"
param:tlsf/lift/parametric/lift_gr1.tlsf	lift_gr1_pb_7_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 7}"
param:tlsf/lift/parametric/lift_gr1.tlsf	lift_gr1_pb_7_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 7}"
param:tlsf/lift/parametric/lift_unary_enc.tlsf	lift_unary_enc_pb_5_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 5}"
param:tlsf/lift/parametric/lift_unary_enc.tlsf	lift_unary_enc_pb_5_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 5}"
param:tlsf/load_balancer/parametric/load_balancer.tlsf	load_balancer_pb_8_pe_.ltl	real	REALIZABLE	TIMEOUT	"{""n"": 8}"
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_4_10_pe_.ltl	unreal	UNREALIZABLE	TIMEOUT	"{""n"": 4, ""u"": 10}"
param:tlsf/ltl_with_hints/parametric/simple_arbiter_with_hints.tlsf	simple_arbiter_with_hints_pb_8_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 8}"
param:tlsf/ltl_with_hints/parametric/simple_arbiter_with_hints.tlsf	simple_arbiter_with_hints_pb_8_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 8}"
param:tlsf/prioritized_arbiter/parametric/prioritized_arbiter.tlsf	prioritized_arbiter_pb_7_pe_.ltl	real	REALIZABLE	TIMEOUT	"{""n"": 7}"
param:tlsf/prioritized_arbiter_log/parametric/prioritized_arbiter_enc.tlsf	prioritized_arbiter_enc_pb_8_pe_.ltl	real	REALIZABLE	TIMEOUT	"{""n"": 8}"
param:tlsf/round_robin_arbiter/parametric/round_robin_arbiter.tlsf	round_robin_arbiter_pb_6_pe_.ltl	real	REALIZABLE	TIMEOUT	"{""n"": 6}"
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal1.tlsf	round_robin_arbiter_unreal1_pb_3_10_pe_.ltl	unreal	UNREALIZABLE	TIMEOUT	"{""n"": 3, ""u"": 10}"
param:tlsf/round_robin_arbiter_unreal/parametric/round_robin_arbiter_unreal2.tlsf	round_robin_arbiter_unreal2_pb_5_pe_.ltl	unreal	UNREALIZABLE	TIMEOUT	"{""n"": 5}"
param:tlsf/simple_arbiter_log/parametric/simple_arbiter_enc.tlsf	simple_arbiter_enc_pb_8_pe_.ltl	real	REALIZABLE	TIMEOUT	"{""n"": 8}"
param:tlsf/amba/amba/parametric/amba_case_study.tlsf	amba_case_study_pb_4_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 4}"
param:tlsf/amba/amba/parametric/amba_case_study.tlsf	amba_case_study_pb_4_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 4}"
param:tlsf/amba/amba/parametric/amba_case_study_unreal.tlsf	amba_case_study_unreal_pb_5_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 5}"
param:tlsf/amba/amba/parametric/amba_case_study_unreal.tlsf	amba_case_study_unreal_pb_5_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 5}"
param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	amba_decomposed_encode_pb_25_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 25}"
param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	amba_decomposed_encode_pb_25_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 25}"
param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	amba_decomposed_lock_pb_30_pe_.ltl	real	REALIZABLE	TIMEOUT	"{""n"": 30}"
param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	abcg_arbiter_pb_6_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 6}"
