pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,Error,Expected_result
485262604,LTL-Real/ActionConverter.tlsf,9127917,ltlsynt realizability,29005,seqreallar,359217,complete,0.045385,0.045201,113188.0,NEW-REALIZABLE,-,unknown
485262605,LTL-Real/ActionConverter.tlsf,9127917,ltlsynt realizability,29005,seqrealsd,359218,complete,0.044617,0.0444101,113188.0,NEW-REALIZABLE,-,unknown
485262606,LTL-Real/ActionConverter.tlsf,9127917,ltlsynt realizability,29005,seqrealds,359219,complete,0.044917,0.0446699,113188.0,NEW-REALIZABLE,-,unknown
485262607,LTL-Real/ActionConverter.tlsf,9127917,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,0.130189,0.133952,113188.0,NEW-REALIZABLE,-,unknown
485262608,LTL-Real/ActionConverter.tlsf,9127917,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,0.131523,0.135994,113188.0,NEW-REALIZABLE,-,unknown
485262609,LTL-Real/ActionConverter.tlsf,9127917,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,0.130059,0.131948,113188.0,NEW-REALIZABLE,-,unknown
485262610,LTL-Real/ActionConverter.tlsf,9127917,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,0.129445,0.131562,113188.0,NEW-REALIZABLE,-,unknown
485262772,LTL-Real/amba_case_study_2.tlsf,9158463,ltlsynt realizability,29005,seqreallar,359217,complete,3207.87,3208.17,8514908.0,REALIZABLE,-,realizable
485262773,LTL-Real/amba_case_study_2.tlsf,9158463,ltlsynt realizability,29005,seqrealsd,359218,complete,224.488,224.494,3224592.0,REALIZABLE,-,realizable
485262774,LTL-Real/amba_case_study_2.tlsf,9158463,ltlsynt realizability,29005,seqrealds,359219,complete,1194.48,1194.55,1.1513512E7,REALIZABLE,-,realizable
485262775,LTL-Real/amba_case_study_2.tlsf,9158463,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,232.339,198.643,763356.0,REALIZABLE,-,realizable
485262776,LTL-Real/amba_case_study_2.tlsf,9158463,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,707.478,583.747,758640.0,REALIZABLE,-,realizable
485262777,LTL-Real/amba_case_study_2.tlsf,9158463,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,637.32,584.774,754712.0,REALIZABLE,-,realizable
485262778,LTL-Real/amba_case_study_2.tlsf,9158463,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,224.574,204.966,759400.0,REALIZABLE,-,realizable
485263514,LTL-Real/amba_case_study_3.tlsf,9158569,ltlsynt realizability,29005,seqreallar,359217,timeout (cpu),3600.04,3600.28,5596988.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263515,LTL-Real/amba_case_study_3.tlsf,9158569,ltlsynt realizability,29005,seqrealsd,359218,timeout (cpu),3600.01,3600.28,9.3231232E7,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263516,LTL-Real/amba_case_study_3.tlsf,9158569,ltlsynt realizability,29005,seqrealds,359219,timeout (cpu),3600.04,3600.32,5595080.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263517,LTL-Real/amba_case_study_3.tlsf,9158569,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,timeout (cpu),3600.07,3366.22,837564.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263518,LTL-Real/amba_case_study_3.tlsf,9158569,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,timeout (cpu),3600.01,3368.5,778048.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263519,LTL-Real/amba_case_study_3.tlsf,9158569,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,timeout (cpu),3600.1,3430.25,774180.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263520,LTL-Real/amba_case_study_3.tlsf,9158569,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,timeout (cpu),3600.05,3404.32,833456.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485264221,LTL-Real/amba_decomposed_arbiter_10.tlsf,9158670,ltlsynt realizability,29005,seqreallar,359217,timeout (cpu),3600.02,3600.02,921504.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485264222,LTL-Real/amba_decomposed_arbiter_10.tlsf,9158670,ltlsynt realizability,29005,seqrealsd,359218,complete,1681.3,1681.37,5.0975048E7,REALIZABLE,-,realizable
485264223,LTL-Real/amba_decomposed_arbiter_10.tlsf,9158670,ltlsynt realizability,29005,seqrealds,359219,timeout (cpu),3600.04,3600.22,5985280.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485264224,LTL-Real/amba_decomposed_arbiter_10.tlsf,9158670,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,timeout (cpu),3600.02,3598.2,815296.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485264225,LTL-Real/amba_decomposed_arbiter_10.tlsf,9158670,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,timeout (cpu),3600.03,3598.38,815272.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485264226,LTL-Real/amba_decomposed_arbiter_10.tlsf,9158670,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,timeout (cpu),3600.05,3599.39,811168.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485264227,LTL-Real/amba_decomposed_arbiter_10.tlsf,9158670,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,timeout (cpu),3600.07,3599.25,811192.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263612,LTL-Real/amba_decomposed_arbiter_12.tlsf,9158583,ltlsynt realizability,29005,seqreallar,359217,timeout (cpu),3600.01,3600.77,6429092.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263613,LTL-Real/amba_decomposed_arbiter_12.tlsf,9158583,ltlsynt realizability,29005,seqrealsd,359218,timeout (cpu),3600.04,3600.24,6969516.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263614,LTL-Real/amba_decomposed_arbiter_12.tlsf,9158583,ltlsynt realizability,29005,seqrealds,359219,timeout (cpu),3600.03,3600.5,6977708.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263615,LTL-Real/amba_decomposed_arbiter_12.tlsf,9158583,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,timeout (cpu),3600.04,3600.24,900820.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263616,LTL-Real/amba_decomposed_arbiter_12.tlsf,9158583,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,timeout (cpu),3600.03,3600.32,899632.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263617,LTL-Real/amba_decomposed_arbiter_12.tlsf,9158583,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,timeout (cpu),3600.06,3600.27,896724.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263618,LTL-Real/amba_decomposed_arbiter_12.tlsf,9158583,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,timeout (cpu),3600.04,3600.33,900820.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485264200,LTL-Real/amba_decomposed_arbiter_2.tlsf,9158667,ltlsynt realizability,29005,seqreallar,359217,complete,0.054437,0.054181,113188.0,REALIZABLE,-,realizable
485264201,LTL-Real/amba_decomposed_arbiter_2.tlsf,9158667,ltlsynt realizability,29005,seqrealsd,359218,complete,0.05519,0.0549751,113188.0,REALIZABLE,-,realizable
485264202,LTL-Real/amba_decomposed_arbiter_2.tlsf,9158667,ltlsynt realizability,29005,seqrealds,359219,complete,0.055079,0.0555679,113188.0,REALIZABLE,-,realizable
485264203,LTL-Real/amba_decomposed_arbiter_2.tlsf,9158667,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,0.184771,0.183543,113188.0,REALIZABLE,-,realizable
485264204,LTL-Real/amba_decomposed_arbiter_2.tlsf,9158667,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,0.182643,0.17859,113188.0,REALIZABLE,-,realizable
485264205,LTL-Real/amba_decomposed_arbiter_2.tlsf,9158667,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,0.177372,0.177548,113188.0,REALIZABLE,-,realizable
485264206,LTL-Real/amba_decomposed_arbiter_2.tlsf,9158667,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,0.179622,0.179749,113188.0,REALIZABLE,-,realizable
485263535,LTL-Real/amba_decomposed_arbiter_4.tlsf,9158572,ltlsynt realizability,29005,seqreallar,359217,complete,0.915732,0.915688,256880.0,REALIZABLE,-,realizable
485263536,LTL-Real/amba_decomposed_arbiter_4.tlsf,9158572,ltlsynt realizability,29005,seqrealsd,359218,complete,0.110585,0.110435,113188.0,REALIZABLE,-,realizable
485263537,LTL-Real/amba_decomposed_arbiter_4.tlsf,9158572,ltlsynt realizability,29005,seqrealds,359219,complete,1.22637,1.22617,277524.0,REALIZABLE,-,realizable
485263538,LTL-Real/amba_decomposed_arbiter_4.tlsf,9158572,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,0.612566,0.427422,113188.0,REALIZABLE,-,realizable
485263539,LTL-Real/amba_decomposed_arbiter_4.tlsf,9158572,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,0.645001,0.439825,113188.0,REALIZABLE,-,realizable
485263540,LTL-Real/amba_decomposed_arbiter_4.tlsf,9158572,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,0.444265,0.437635,113188.0,REALIZABLE,-,realizable
485263541,LTL-Real/amba_decomposed_arbiter_4.tlsf,9158572,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,0.434773,0.428112,113188.0,REALIZABLE,-,realizable
485264130,LTL-Real/amba_decomposed_arbiter_6.tlsf,9158657,ltlsynt realizability,29005,seqreallar,359217,complete,1300.71,1300.68,472972.0,REALIZABLE,-,realizable
485264131,LTL-Real/amba_decomposed_arbiter_6.tlsf,9158657,ltlsynt realizability,29005,seqrealsd,359218,complete,1.86139,1.8615,343136.0,REALIZABLE,-,realizable
485264132,LTL-Real/amba_decomposed_arbiter_6.tlsf,9158657,ltlsynt realizability,29005,seqrealds,359219,complete,1505.02,1505.13,6641576.0,REALIZABLE,-,realizable
485264133,LTL-Real/amba_decomposed_arbiter_6.tlsf,9158657,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,5.52665,5.03401,638168.0,REALIZABLE,-,realizable
485264134,LTL-Real/amba_decomposed_arbiter_6.tlsf,9158657,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,12.537,5.80604,638168.0,REALIZABLE,-,realizable
485264135,LTL-Real/amba_decomposed_arbiter_6.tlsf,9158657,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,5.88805,5.8515,634068.0,REALIZABLE,-,realizable
485264136,LTL-Real/amba_decomposed_arbiter_6.tlsf,9158657,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,5.10417,5.05765,634064.0,REALIZABLE,-,realizable
485263430,LTL-Real/amba_decomposed_arbiter_8.tlsf,9158557,ltlsynt realizability,29005,seqreallar,359217,timeout (cpu),3600.01,3600.21,349740.0,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263431,LTL-Real/amba_decomposed_arbiter_8.tlsf,9158557,ltlsynt realizability,29005,seqrealsd,359218,complete,56.2707,56.28,2934604.0,REALIZABLE,-,realizable
485263432,LTL-Real/amba_decomposed_arbiter_8.tlsf,9158557,ltlsynt realizability,29005,seqrealds,359219,timeout (cpu),3600.01,3600.29,1.0631304E7,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263433,LTL-Real/amba_decomposed_arbiter_8.tlsf,9158557,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,144.355,143.377,750204.0,REALIZABLE,-,realizable
485263434,LTL-Real/amba_decomposed_arbiter_8.tlsf,9158557,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,173.669,172.448,750196.0,REALIZABLE,-,realizable
485263435,LTL-Real/amba_decomposed_arbiter_8.tlsf,9158557,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,168.69,168.547,746092.0,REALIZABLE,-,realizable
485263436,LTL-Real/amba_decomposed_arbiter_8.tlsf,9158557,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,143.932,143.714,746100.0,REALIZABLE,-,realizable
485262933,LTL-Real/amba_decomposed_encode_10.tlsf,9158486,ltlsynt realizability,29005,seqreallar,359217,complete,4.40725,4.40712,343336.0,REALIZABLE,-,realizable
485262934,LTL-Real/amba_decomposed_encode_10.tlsf,9158486,ltlsynt realizability,29005,seqrealsd,359218,complete,4.36567,4.3659,343336.0,REALIZABLE,-,realizable
485262935,LTL-Real/amba_decomposed_encode_10.tlsf,9158486,ltlsynt realizability,29005,seqrealds,359219,complete,4.43777,4.43803,343336.0,REALIZABLE,-,realizable
485262936,LTL-Real/amba_decomposed_encode_10.tlsf,9158486,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,1.26334,1.18812,673912.0,REALIZABLE,-,realizable
485262937,LTL-Real/amba_decomposed_encode_10.tlsf,9158486,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,1.12344,1.07829,664172.0,REALIZABLE,-,realizable
485262938,LTL-Real/amba_decomposed_encode_10.tlsf,9158486,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,1.08632,1.09056,659160.0,REALIZABLE,-,realizable
485262939,LTL-Real/amba_decomposed_encode_10.tlsf,9158486,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,1.20024,1.20138,667756.0,REALIZABLE,-,realizable
485264480,LTL-Real/amba_decomposed_encode_12.tlsf,9158707,ltlsynt realizability,29005,seqreallar,359217,complete,30.6537,30.6566,617712.0,REALIZABLE,-,realizable
485264481,LTL-Real/amba_decomposed_encode_12.tlsf,9158707,ltlsynt realizability,29005,seqrealsd,359218,complete,30.6732,30.6726,563948.0,REALIZABLE,-,realizable
485264482,LTL-Real/amba_decomposed_encode_12.tlsf,9158707,ltlsynt realizability,29005,seqrealds,359219,complete,30.4357,30.4378,563948.0,REALIZABLE,-,realizable
485264483,LTL-Real/amba_decomposed_encode_12.tlsf,9158707,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,4.86022,4.78018,833104.0,REALIZABLE,-,realizable
