instance,category,real,n_ins,n_outs,acacia_result,acacia_time,ltlsynt_result,ltlsynt_time,slowdown
01.ltl,both_ok,real,4,3,OK,0.043,OK,0.036,1.2
02.ltl,both_ok,real,4,4,OK,0.052,OK,0.045,1.2
03.ltl,both_ok,real,5,5,OK,3.385,OK,3.23,1.0
05.ltl,acacia_only,real,5,5,OK,14.107,TIMEOUT,17.054,
06.ltl,neither,?,5,5,TIMEOUT,17.033,TIMEOUT,17.053,
07.ltl,neither,?,5,5,TIMEOUT,17.033,TIMEOUT,17.052,
08.ltl,neither,?,5,6,TIMEOUT,17.036,TIMEOUT,17.051,
09.ltl,acacia_only,real,5,5,OK,8.996,TIMEOUT,17.056,
10.ltl,acacia_only,real,5,5,OK,3.574,TIMEOUT,17.06,
11.ltl,acacia_only,real,5,5,OK,3.632,TIMEOUT,17.054,
12.ltl,acacia_only,real,5,6,OK,6.191,TIMEOUT,17.048,
13.ltl,acacia_only,real,5,6,OK,6.333,TIMEOUT,17.043,
ActionConverter.ltl,both_ok,real,5,6,OK,0.022,OK,0.02,1.1
AlarmMin_efe2feaf.ltl,both_ok,real,6,2,OK,0.027,OK,0.021,1.3
Alarm_06e9cad4.ltl,neither,?,14,6,TIMEOUT,17.055,TIMEOUT,17.041,
Alarm_2d1010f8.ltl,both_ok,real,3,3,OK,0.025,OK,0.023,1.1
Alarm_68c86764.ltl,acacia_only,real,11,6,OK,16.26,TIMEOUT,17.041,
Alarm_70523fbe.ltl,acacia_only,real,11,6,OK,9.463,TIMEOUT,17.045,
Alarm_88c5c1c3.ltl,both_ok,real,11,6,OK,0.127,OK,0.022,5.8
Alarm_9cac58d3.ltl,both_ok,real,11,6,OK,0.123,OK,0.019,6.5
Alarm_a5f99bc6.ltl,neither,?,14,6,TIMEOUT,17.051,TIMEOUT,17.039,
Alarm_f2774e0b.ltl,acacia_only,real,10,6,OK,4.457,TIMEOUT,17.044,
AllHeating_d6376bf9.ltl,both_ok,real,6,5,OK,0.051,OK,0.02,2.6
AllLights_2c5b09da.ltl,neither,?,15,8,TIMEOUT,17.054,TIMEOUT,17.037,
AllLights_63831f8c.ltl,neither,?,12,8,TIMEOUT,17.063,TIMEOUT,17.035,
Assumptions_a50cadd7.ltl,both_ok,unreal,25,24,OK,0.023,OK,0.023,1.0
Automata.ltl,both_ok,real,2,13,OK,0.055,OK,0.021,2.6
Automata16S.ltl,ltlsynt_only,real,2,21,TIMEOUT,17.05,OK,0.023,
Automata32S.ltl,ltlsynt_only,real,2,37,TIMEOUT,17.054,OK,0.028,
CheckAlarmBroken1_1a2942e3.ltl,both_ok,real,1,3,OK,0.126,OK,0.016,7.7
CheckAlarm_6bea956e.ltl,both_ok,unreal,1,3,OK,0.024,OK,0.018,1.3
CheckAlarm_88f351a6.ltl,both_ok,unreal,1,3,OK,0.021,OK,0.018,1.2
CheckCoffeMachineBroken1_a5f99bc6.ltl,both_ok,real,4,4,OK,0.025,OK,0.018,1.3
CheckCoffeMachine_1cf58fc1.ltl,both_ok,unreal,4,4,OK,0.025,OK,0.018,1.4
CheckCoffeMachine_3461125b.ltl,both_ok,unreal,4,4,OK,0.024,OK,0.018,1.3
CheckCoffeMachine_f3987563.ltl,both_ok,unreal,4,4,OK,0.025,OK,0.018,1.3
CheckDoor_c2b9e44d.ltl,both_ok,unreal,2,3,OK,0.024,OK,0.017,1.4
CheckHeating_2418b67e.ltl,both_ok,unreal,2,3,OK,0.022,OK,0.017,1.3
CheckHeating_3461125b.ltl,both_ok,unreal,2,3,OK,0.023,OK,0.017,1.3
CheckLight_007df645.ltl,both_ok,unreal,2,4,OK,0.023,OK,0.017,1.3
CheckLight_aeb1d897.ltl,both_ok,unreal,2,4,OK,0.021,OK,0.017,1.2
CheckRoom_06e9cad4.ltl,both_ok,unreal,6,0,OK,0.117,OK,0.017,7.0
CheckRoom_2c5b09da.ltl,both_ok,unreal,7,0,OK,0.024,OK,0.017,1.4
CheckRoom_3916ec59.ltl,both_ok,unreal,5,0,OK,0.103,OK,0.017,6.2
CheckRoom_70523fbe.ltl,both_ok,unreal,4,0,OK,0.106,OK,0.016,6.6
CheckRoom_88c5c1c3.ltl,both_ok,unreal,4,0,OK,0.117,OK,0.018,6.6
CheckShades_1a2942e3.ltl,both_ok,unreal,2,3,OK,0.023,OK,0.018,1.3
CheckShades_3461125b.ltl,both_ok,unreal,2,3,OK,0.024,OK,0.018,1.3
CheckShades_4d4ca5c4.ltl,both_ok,unreal,2,3,OK,0.02,OK,0.017,1.2
CheckShades_aeb1d897.ltl,both_ok,unreal,2,3,OK,0.021,OK,0.018,1.2
CheckTime_3916ec59.ltl,both_ok,unreal,8,0,OK,0.024,OK,0.018,1.3
CheckTime_4b5e6eaa.ltl,both_ok,unreal,5,0,OK,0.021,OK,0.019,1.1
CheckTime_54e1f7d2.ltl,both_ok,unreal,4,0,OK,0.02,OK,0.018,1.1
CheckTime_6479ef9a.ltl,both_ok,unreal,4,0,OK,0.02,OK,0.018,1.1
CheckTimer_54e1f7d2.ltl,both_ok,unreal,1,4,OK,0.02,OK,0.017,1.2
CheckTimer_fa8592c8.ltl,both_ok,unreal,1,4,OK,0.019,OK,0.016,1.2
CheckWarnlightBroken1_70523fbe.ltl,both_ok,real,2,3,OK,0.113,OK,0.017,6.6
CheckWarnlight_1cf58fc1.ltl,both_ok,unreal,3,3,OK,0.02,OK,0.017,1.1
CheckWarnlight_4b5a2bad.ltl,both_ok,unreal,2,3,OK,0.02,OK,0.017,1.2
CheckWarnlight_54e1f7d2.ltl,both_ok,unreal,2,3,OK,0.021,OK,0.018,1.2
CheckWarnlight_6bea956e.ltl,both_ok,unreal,3,3,OK,0.021,OK,0.017,1.2
CheckWindows_2418b67e.ltl,both_ok,unreal,3,0,OK,0.113,OK,0.017,6.6
CheckWindows_54e1f7d2.ltl,both_ok,unreal,3,0,OK,0.112,OK,0.016,6.9
Cockpitboard.ltl,both_ok,real,6,19,OK,0.129,OK,0.016,8.1
Cockpitboard_efe2feaf.ltl,both_ok,real,6,19,OK,0.124,OK,0.017,7.4
CoffeMachine_974f4a68.ltl,both_ok,real,6,4,OK,0.027,OK,0.033,0.8
CoffeMachine_a50cadd7.ltl,both_ok,unreal,4,4,OK,0.027,OK,0.017,1.5
CoffeeMin_88f351a6.ltl,both_ok,real,6,4,OK,0.027,OK,0.019,1.4
Coffee_06e9cad4.ltl,both_ok,real,10,4,OK,0.052,OK,0.04,1.3
Coffee_235467da.ltl,both_ok,real,7,4,OK,0.036,OK,0.095,0.4
Coffee_2c5b09da.ltl,both_ok,real,11,4,OK,0.122,OK,0.026,4.7
Coffee_6479ef9a.ltl,both_ok,real,8,4,OK,0.043,OK,0.041,1.1
Coffee_d6376bf9.ltl,both_ok,real,9,4,OK,0.046,OK,0.038,1.2
Coffee_efe2feaf.ltl,both_ok,real,7,4,OK,0.036,OK,0.095,0.4
Coffee_f1477cc5.ltl,both_ok,unreal,8,4,OK,0.036,OK,0.04,0.9
Core_4b5a2bad.ltl,both_ok,unreal,10,7,OK,0.121,OK,0.066,1.8
Core_66f450a4.ltl,both_ok,unreal,8,5,OK,0.026,OK,0.02,1.3
Core_fa4d4ce3.ltl,both_ok,unreal,8,13,OK,0.193,OK,0.022,8.8
Core_solved_974f4a68.ltl,both_ok,real,10,7,OK,0.128,OK,0.082,1.6
DeviceBehaviorChec_fa8592c8.ltl,both_ok,unreal,4,6,OK,0.025,OK,0.025,1.0
Door_2d1010f8.ltl,both_ok,real,4,3,OK,0.022,OK,0.025,0.9
EnemeyModule.ltl,both_ok,real,2,7,OK,0.115,OK,0.017,6.8
EscalatorBidirectional.ltl,both_ok,real,7,7,OK,0.028,OK,0.02,1.4
EscalatorBidirectionalInit.ltl,both_ok,real,7,8,OK,0.031,OK,0.02,1.6
EscalatorCounting.ltl,both_ok,real,3,6,OK,0.021,OK,0.017,1.2
EscalatorCountingInit.ltl,both_ok,real,3,7,OK,0.023,OK,0.018,1.3
EscalatorNonCounting.ltl,both_ok,real,2,3,OK,0.019,OK,0.017,1.1
EscalatorNonReactive.ltl,both_ok,real,0,2,OK,0.118,OK,0.017,7.1
EscalatorSmart.ltl,both_ok,real,4,3,OK,0.039,OK,0.02,2.0
Example1_d6376bf9.ltl,both_ok,real,6,8,OK,0.025,OK,0.018,1.4
FelixSpecFixed2.2.core_fa8592c8.ltl,both_ok,unreal,5,4,OK,0.023,OK,0.02,1.2
FelixSpecFixed2_fa4d4ce3.ltl,ltlsynt_only,real,36,30,TIMEOUT,17.059,OK,0.027,
FelixSpecFixed3.core_b209ff21.ltl,both_ok,unreal,8,8,OK,0.285,OK,0.133,2.1
FelixSpecFixed3_b0840146.ltl,ltlsynt_only,real,36,30,TIMEOUT,17.058,OK,0.029,
FelixSpecFixed4GuaranteesOnly_88f351a6.ltl,both_ok,unreal,32,14,OK,0.105,OK,0.02,5.3
FelixSpecFixed4_3916ec59.ltl,ltlsynt_only,real,36,30,TIMEOUT,17.059,OK,0.031,
FelixSpecFixed4_dd3a27e1.ltl,ltlsynt_only,real,36,30,TIMEOUT,17.059,OK,0.028,
FelixSpecFixed_2418b67e.ltl,ltlsynt_only,real,36,30,TIMEOUT,17.057,OK,0.027,
Gamelogic.ltl,both_ok,real,5,25,OK,0.028,OK,0.025,1.1
GamemodeChooser.ltl,both_ok,real,9,11,OK,0.033,OK,0.02,1.6
Gamemodule.ltl,both_ok,real,4,4,OK,0.022,OK,0.018,1.2
HeatingMin_d6c5ac79.ltl,both_ok,real,2,3,OK,0.019,OK,0.019,1.0
Heating_235467da.ltl,both_ok,real,3,3,OK,0.023,OK,0.021,1.1
Heating_974f4a68.ltl,both_ok,real,4,3,OK,0.024,OK,0.032,0.8
Heating_b02056d6.ltl,both_ok,real,3,3,OK,0.022,OK,0.019,1.2
Heating_b209ff21.ltl,both_ok,real,3,3,OK,0.021,OK,0.018,1.2
IntendDemo_42dc4fff.ltl,ltlsynt_only,unreal,14,17,TIMEOUT,17.052,OK,0.801,
KitchenTimerV0.ltl,both_ok,real,2,2,OK,0.021,OK,0.017,1.2
KitchenTimerV1.ltl,both_ok,real,2,6,OK,0.026,OK,0.02,1.2
KitchenTimerV10.ltl,both_ok,real,4,11,OK,0.101,OK,0.182,0.6
KitchenTimerV2.ltl,both_ok,real,4,6,OK,0.028,OK,0.021,1.3
KitchenTimerV3.ltl,both_ok,real,4,6,OK,0.032,OK,0.029,1.1
KitchenTimerV4.ltl,both_ok,real,4,6,OK,0.034,OK,0.043,0.8
KitchenTimerV5.ltl,both_ok,real,4,6,OK,0.051,OK,0.068,0.8
KitchenTimerV6.ltl,both_ok,real,4,6,OK,0.085,OK,0.139,0.6
KitchenTimerV7.ltl,both_ok,real,4,8,OK,0.086,OK,0.14,0.6
KitchenTimerV8.ltl,both_ok,real,4,11,OK,0.087,OK,0.137,0.6
KitchenTimerV9.ltl,acacia_slow,real,4,11,OK,0.823,OK,0.256,3.2
LampController_974f4a68.ltl,both_ok,real,5,3,OK,0.03,OK,0.028,1.1
LedMatrix.ltl,ltlsynt_only,real,3,27,TIMEOUT,17.053,OK,0.305,
Light_a50cadd7.ltl,both_ok,unreal,2,4,OK,0.107,OK,0.023,4.6
Light_aeb1d897.ltl,both_ok,unreal,5,4,OK,0.036,OK,0.349,0.1
Light_d65ed84e.ltl,both_ok,real,5,4,OK,0.028,OK,0.032,0.9
Lights2Min_9cbf2546.ltl,both_ok,real,6,6,OK,0.042,OK,0.023,1.8
Lights2_06e9cad4.ltl,both_ok,real,9,8,OK,0.46,OK,1.6,0.3
Lights2_0f5381e9.ltl,both_ok,real,8,8,OK,0.463,OK,1.173,0.4
Lights2_2c5b09da.ltl,acacia_slow,real,10,8,OK,2.198,OK,0.03,74.3
Lights2_9cac58d3.ltl,both_ok,real,7,8,OK,0.418,OK,0.992,0.4
Lights2_b02056d6.ltl,both_ok,real,7,8,OK,0.411,OK,0.991,0.4
Lights2_f1477cc5.ltl,both_ok,unreal,8,8,OK,0.081,OK,0.557,0.1
Lights2_f3987563.ltl,both_ok,real,7,8,OK,0.342,OK,1.579,0.2
Lights3Min_6479ef9a.ltl,both_ok,real,5,4,OK,0.023,OK,0.021,1.1
Lights3_06e9cad4.ltl,both_ok,real,9,4,OK,0.056,OK,0.058,1.0
Lights3_235467da.ltl,both_ok,real,7,4,OK,0.046,OK,0.051,0.9
Lights3_2c5b09da.ltl,both_ok,real,10,4,OK,0.11,OK,0.022,5.1
Lights3_3916ec59.ltl,both_ok,real,8,4,OK,0.057,OK,0.049,1.2
Lights3_6bea956e.ltl,both_ok,real,7,4,OK,0.044,OK,0.051,0.9
Lights3_f1477cc5.ltl,both_ok,real,7,4,OK,0.045,OK,0.061,0.7
LightsMin_6bea956e.ltl,both_ok,real,3,4,OK,0.025,OK,0.02,1.3
LightsTotal_06e9cad4.ltl,acacia_only,real,10,8,OK,1.443,TIMEOUT,17.033,
LightsTotal_2c5b09da.ltl,acacia_slow,unreal,11,8,OK,1.521,OK,0.176,8.6
LightsTotal_9cbf2546.ltl,acacia_only,real,8,8,OK,0.969,TIMEOUT,17.049,
LightsTotal_d65ed84e.ltl,both_ok,real,9,8,OK,1.354,OK,15.107,0.1
Lights_06e9cad4.ltl,both_ok,real,8,4,OK,0.047,OK,0.039,1.2
Lights_2c5b09da.ltl,both_ok,real,9,4,OK,0.092,OK,0.022,4.1
Lights_3461125b.ltl,both_ok,real,6,4,OK,0.044,OK,0.032,1.3
Lights_9cac58d3.ltl,both_ok,real,6,4,OK,0.041,OK,0.032,1.3
Lights_b0840146.ltl,both_ok,real,7,4,OK,0.049,OK,0.034,1.4
Lights_f3987563.ltl,both_ok,real,6,4,OK,0.042,OK,0.037,1.1
